Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Unnamed: 13,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comment,File Data,eodp_id
342-U1406A-1H-CC-PAL,342,U1406,A,1,1-CC,H,CC,PAL,0,5,6.2,6.25,6.23,VG [P21],P,,,,,,F,,F,,,,,,F,,,,A,F,,,,,,,,F,,,P,,,F,F,,,,F,,F,F,,,P,,,,,,F,,F,,,,,P,F,,,,,,,,,P,,F,,,,,F,,F,,,F,,F,P,,P,,,,,,,F,F,,F,A,,,,P,,,P,F,,,32c67c8e16ff662f4802bb116e6b732b
342-U1406A-2H-CC-PAL,342,U1406,A,2,2-CC,H,CC,PAL,0,5,16.01,16.06,16.04,VG [P21],P,,,,,,A,,F,,,P,P,,,,,,A,,,,,,,,,F,,,P,,,F,F,,,,,,,F,,,,,,,,,F,,F,,,,,P,P,,P,,,,,,,,,F,,F,,,,,F,,,F,,F,F,,,,F,,,,,F,,,F,F,,,,P,,P,P,F,,,ac958de63d4b72c8f53990f384797ddc
342-U1406A-3H-CC-PAL,342,U1406,A,3,3-CC,H,CC,PAL,0,5,25.46,25.51,25.49,VG [P21],R,F,,,P,,F,F,F,,,,P,,F,,,,A,,,,,,,,,F,,,P,,,,F,,,,,,F,D,,,F,,,,,,P,,P,,,P,,F,F,,P,,,,,,,,,F,,F,,,,,,,,P,,P,F,,F,,P,,,,,,P,,F,F,,,,F,,,P,P,,,34080cbf1278e6278ea73f5c8fd27174
342-U1406A-4H-CC-PAL,342,U1406,A,4,4-CC,H,CC,PAL,0,5,35.04,35.09,35.07,VG [P21],P,,,,,,F,P,F,,,,F,,,,,,F,,,,,,,,,P,,,F,,,F,F,,,,F,,F,,,,F,,,,,,F,,F,,,,,F,,,,,,,,,,,,,P,P,,,,,P,,,F,,F,P,,P,,,,,,,P,A,,F,A,,,,,,,P,F,,,aafcad0b62f84edf6d702e98c074b0c2
342-U1406A-5H-CC-PAL,342,U1406,A,5,5-CC,H,CC,PAL,0,8,44.39,44.47,44.43,VG [P21],P,,,,,,F,F,F,,,,P,,F,,,,D,F,,,,,,,,,,,,,,F,,,,,F,,P,,,,F,,,,,,P,,P,,,F,,F,,,P,,,,,,,,,P,P,F,,,,,F,,,F,,,F,,,,F,,,A,,,P,,P,F,,,,,,,,F,,,7fb1e2a2667cefe2dfded51fd6b8e8d4
342-U1406A-6H-CC-PAL,342,U1406,A,6,6-CC,H,CC,PAL,0,7,53.89,53.96,53.93,VG [P21],P,,,,,,F,,F,,,,,,F,,,,A,F,,P,,,P,,,P,,,F,,,F,F,P,,,,,,P,,,P,,,,,,F,,F,,,,,P,,,,,,,,,,,,,P,F,,,,,P,,,F,,F,,,P,,,,,,,P,F,,F,A,,,,,,,F,P,,,e00ff7e63b614fe18e9e7d2c5e06bc5e
342-U1406A-7H-CC-PAL,342,U1406,A,7,7-CC,H,CC,PAL,0,8,63.61,63.69,63.65,VG [P21],P,,,,P,,F,,F,,,,,,,,,,D,,,,,,,P,,F,,,,,,F,,,,,,,,,,,P,,,,P,,,,F,,,,,,P,,,,,,,,,,,,P,F,,,P,,P,P,,F,,P,,,F,,F,,,F,,,F,,P,F,,A,,,,,,F,,,db318137c9ee056c59687d43c89e1811
342-U1406A-8H-7-PAL,342,U1406,A,8,8-7,H,7,PAL,0,8,72.59,72.67,72.63,VG [P21],P,,,,,,F,P,A,,,,,,,,,,A,F,,,,,,,,F,,,,,,P,F,,,,F,,,,,,P,,,,,,,,F,,,P,,,F,,,,,,,,,,,F,,F,,,,,F,,,A,,,F,,,,P,,,F,,P,F,,F,F,,,,P,,,,F,,,0ed143e1b2e5fd2f29c115db1e19fda5
342-U1406A-9H-CC-PAL,342,U1406,A,9,9-CC,H,CC,PAL,0,9,82.59,82.68,82.64,VG [P21],P,,,,F,,F,,P,,,,F,,P,,,,A,F,,,,,,,,F,,,F,,,P,A,,,,P,,F,F,,,,,,,,,F,,F,,,,,,,,P,,,,P,,,,,,F,P,,,F,,P,,,P,,P,P,,,,,,,P,,,,,F,A,,,,P,,,,F,,,9e65c91363fd27d4b60dce758036424d
342-U1406A-10H-7-PAL,342,U1406,A,10,10-7,H,7,PAL,0,7,91.61,91.68,91.65,VG [P21],P,,,,P,,A,,P,,,,F,,F,,,,F,P,,,,,,,,,,,P,,,F,F,,,,F,,,P,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,F,,A,,,,,P,P,,F,,P,F,,,,,,,,,F,F,,F,F,,,,P,,F,,F,,,b95913cf7be612dc35898fdcd1054588
