Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1391B-1H-CC-PAL-FORAM,339,U1391,B,1,1-CC,H,CC,PAL,FORAM,0,5,9.61,9.66,,,G,D,A,P,,,,A,,,,,P,,P,,,P,,P,,,R,,,,,,,,,,,R,P,,,,,P,A,,P,,,,,,,R,,,
339-U1391B-2H-CC-PAL-FORAM,339,U1391,B,2,2-CC,H,CC,PAL,FORAM,0,5,19.49,19.54,,,M,D,A,F,,,,F,,,,,P,,,,,R,,P,,R,R,,,,,,,,,,,R,,,,,,P,A,,P,,,,,,,F,,,
339-U1391B-3H-CC-PAL-FORAM,339,U1391,B,3,3-CC,H,CC,PAL,FORAM,0,7,28.82,28.89,,,G,D,A,R,,,,F,P,,,,R,P,,,,P,,,,,P,P,,,,,,,,,,R,P,,,,,,A,,P,,,,,,,,,,
339-U1391B-4H-CC-PAL-FORAM,339,U1391,B,4,4-CC,H,CC,PAL,FORAM,0,5,38.53,38.58,,,G,A,D,P,,,,R,,,P,,R,,,,,,,,,,R,,,,,,,,,,,P,,,,,,,F,P,R,,,,,,,,,,
339-U1391B-5H-CC-PAL-FORAM,339,U1391,B,5,5-CC,H,CC,PAL,FORAM,0,5,47.84,47.89,,,G,D,F,P,,,,F,P,,,,R,,P,,,,,,,,P,,,,,,,,,,,R,,,,,,,D,,R,,,,,,,R,,,
339-U1391B-6H-CC-PAL-FORAM,339,U1391,B,6,6-CC,H,CC,PAL,FORAM,0,5,57.66,57.71,,,G,D,D,F,P,,P,F,,,P,,P,R,P,,,P,,,,P,R,,,,,,,,,,,P,,,P,,,,R,,F,,,,,,,R,,,
339-U1391B-7H-CC-PAL-FORAM,339,U1391,B,7,7-CC,H,CC,PAL,FORAM,0,5,67.02,67.07,,,G,D,A,,,,,P,,,,,P,,,,,,,,,,P,,,,,,,,,,,R,P,,,,,,D,P,R,,,,,,,F,,,
339-U1391B-8H-CC-PAL-FORAM,339,U1391,B,8,8-CC,H,CC,PAL,FORAM,0,5,76.89,76.94,,,G,D,A,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,R,,,,,,,A,,,
339-U1391B-9H-CC-PAL-FORAM,339,U1391,B,9,9-CC,H,CC,PAL,FORAM,0,5,86.19,86.24,,,G,D,A,P,,,,R,,,,,P,P,,,,,,,,,P,P,,,,,,,,,,R,,,,,,,F,P,R,,,,,,,A,,,
339-U1391B-10H-CC-PAL-FORAM,339,U1391,B,10,10-CC,H,CC,PAL,FORAM,0,5,95.64,95.69,,,G,D,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,A,P,R,,,,,,,F,,,
339-U1391B-11H-CC-PAL-FORAM,339,U1391,B,11,11-CC,H,CC,PAL,FORAM,0,5,104.93,104.98,,,G,D,A,P,,,,R,P,,,,P,R,,,,,,R,,,P,P,,,,,,,,,,P,,P,,,,,A,,R,,,,,,,R,,,
