Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Marginulina pediformis,Marginulina spp.,Marginulinopsis spp.,Marsipella elongata,Martinotiella bacillaris,Martinottiella communis,Martinottiella spp.,Massilina sp.,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Melonis zaandamae,Miliammina spp.,Miliolid taxa (large),Miliolid taxa,Miliolinella sp.,Miliolinella subrotunda,Myllostomella cf. advena,Myllostomella fijiensis,Myllostomella spp.?,Neoconorbina spp.,Neoeponides spp.?,Neolenticulina variabilis,Neodiscorbinella rarescens,Nodosariidae indet.,Nodogenerina spp.,Nodosaria spp.,Nonion asterizans,Nonion commune,Nonion spp.,Nonionella cf. bradii,Nonionella labradorica,Nonionidae indet.,Nonionella spp.,Nonionella turgida,Nothia latissima,Nummoloculina contraria,Nuttallides sp,Oolina spp.,Operculina sp.,Oridorsalis spp.,Oridorsalis umbonatus,Orthomorphina challengeriana,Orthomorphina cf. jedlitschkai,Orthomorphina spp.,Osangularia sp.,Osangulariella? sp.,Pattelina corrugata,Parafissurina sp.,Parafissurina spp.,Pararotalia spp.,Paratrochamminoides spp.,Placopsilina confusa,Planulina ariminensis,Planulina sp.,Planoglabratella cf. opercularis,Planorbulina mediterranensis,Plectofrondicularia spp.,Pleurostomella alternans,Pleurostomella cf. alternans,Pleurostomellidae indet.,Pleurostomella recens,Pleurostomella spp.,Porosononion sp.,Praebulimina spp.,Praeglobobulimina ovata,Protelphidium sp.,Proxifrons inaequalis,Psammosphaera spp.,Pseudoclavulina spp.,Pseudoglandulina spp.,Pseudoglandulina spp.?,Pullenia bulloides,Pullenia quinqueloba,Pullenia spp.,Pyramidulina sp.,Pyrgo anomala,Pyrgo laevis,Pyrgo lucernula,Pyrgo murrinha,Pyrgo oblonga,Pyrgo spp.,Pyrgoella sphaera,Pyrgoella spp.?,Pyrulina? angusta,Comment,File Data,eodp_id
339-U1386A-1H-CC-PAL-FORAM,339,U1386,A,1,1-CC,H,CC,PAL,FORAM,0,5,3.81,3.86,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cdd0bc17d2d3b540443d45513ae126b8
339-U1386A-2H-CC-PAL-FORAM,339,U1386,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.48,13.53,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,d2b1f35a6d5291c92a0e888b4ef139cd
339-U1386A-3H-CC-PAL-FORAM,339,U1386,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.22,23.27,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,97b5004eabc73ec37e0e5af362d129e8
339-U1386A-4H-CC-PAL-FORAM,339,U1386,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.11,33.16,,,,,,,R,,A,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,4ba8275bc603e6c9df343e012f93da79
339-U1386A-5H-CC-PAL-FORAM,339,U1386,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.18,42.23,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,,,,e875e014513121de5e56aa7e87e958d8
339-U1386A-6H-CC-PAL-FORAM,339,U1386,A,6,6-CC,H,CC,PAL,FORAM,0,5,50.31,50.36,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c46e751df1745badb425fc1ed1b38867
339-U1386A-7H-CC-PAL-FORAM,339,U1386,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.22,61.27,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,P,,,,,,,,P,,,,,,3ec1ebcafc02c202eaaa9a56641bc123
339-U1386A-8H-CC-PAL-FORAM,339,U1386,A,8,8-CC,H,CC,PAL,FORAM,0,5,70.62,70.67,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,a69f0c60675963000a3d6e6d68bfa2ad
339-U1386A-9H-CC-PAL-FORAM,339,U1386,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.13,80.18,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,6b0fa19327327e9b1baeadbcd884c5d9
339-U1386A-10H-CC-PAL-FORAM,339,U1386,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.23,90.28,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,d5ef3b63619d4d318f1ad26a631906fc
339-U1386A-11H-CC-PAL-FORAM,339,U1386,A,11,11-CC,H,CC,PAL,FORAM,0,5,97.13,97.18,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,db923586c62e723586b14ef7c5ca003c
339-U1386A-12H-CC-PAL-FORAM,339,U1386,A,12,12-CC,H,CC,PAL,FORAM,0,5,108.69,108.74,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,37f0ee05e47d19b87144738b55925d73
339-U1386A-13H-CC-PAL-FORAM,339,U1386,A,13,13-CC,H,CC,PAL,FORAM,0,5,118.3,118.35,,,,,,,,,F,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,75a0bab0f4d9faea0736bc4ddb9ee01b
339-U1386A-14H-CC-PAL-FORAM,339,U1386,A,14,14-CC,H,CC,PAL,FORAM,0,5,126.87,126.92,,,,,,,,,A,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4c8ab4e20f335b57fb2fce3fa1fb375
339-U1386A-15H-CC-PAL-FORAM,339,U1386,A,15,15-CC,H,CC,PAL,FORAM,0,5,136.96,137.01,,,,,,,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,7cc6504559dac8335848927106a17db1
339-U1386A-16H-CC-PAL-FORAM,339,U1386,A,16,16-CC,H,CC,PAL,FORAM,0,5,143.9,143.95,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,34d85014e923cb3572187454d325eda5
339-U1386A-17H-CC-PAL-FORAM,339,U1386,A,17,17-CC,H,CC,PAL,FORAM,0,5,151.59,151.64,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72e0fbf7c35562745b7fdc933cd0a18e
339-U1386A-18H-CC-PAL-FORAM,339,U1386,A,18,18-CC,H,CC,PAL,FORAM,0,5,160.52,160.57,,,,,,,,,D,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,b25ab25eda1b3332ecd2b68627c24323
339-U1386A-19H-CC-PAL-FORAM,339,U1386,A,19,19-CC,H,CC,PAL,FORAM,0,5,167.23,167.28,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,d362fee38b1c07251c7f4a6df24dbb36
339-U1386A-20H-CC-PAL-FORAM,339,U1386,A,20,20-CC,H,CC,PAL,FORAM,0,5,178,178.05,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,adc2382aa8366cc305b4ac00e48e83c8
339-U1386A-21H-CC-PAL-FORAM,339,U1386,A,21,21-CC,H,CC,PAL,FORAM,0,5,183.07,183.12,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6fbc05caef9bab913120c44a5d5fc92c
339-U1386A-22X-CC-PAL-FORAM,339,U1386,A,22,22-CC,X,CC,PAL,FORAM,0,5,188.57,188.62,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58ec24b8eea715881bf12656ad20c83e
339-U1386A-23X-CC-PAL-FORAM,339,U1386,A,23,23-CC,X,CC,PAL,FORAM,0,5,196.22,196.27,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,5d65d5ecdaed36337e27012b99f2a8d8
339-U1386A-24X-CC-PAL-FORAM,339,U1386,A,24,24-CC,X,CC,PAL,FORAM,0,5,205.33,205.38,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27da92e256bda3b7dca9db96fa574215
339-U1386A-26X-CC-PAL-FORAM,339,U1386,A,26,26-CC,X,CC,PAL,FORAM,0,5,224.53,224.58,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,3d1b7f17c3fe219c55e99e5debe1c599
339-U1386A-27X-CC-PAL-FORAM,339,U1386,A,27,27-CC,X,CC,PAL,FORAM,0,5,234.63,234.68,,,,,,P,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958f0928866f1992178dc8d2c4280613
339-U1386A-28X-CC-PAL-FORAM,339,U1386,A,28,28-CC,X,CC,PAL,FORAM,0,5,244.37,244.42,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,9ecb2c9837829515158404fb08bb5067
339-U1386A-29X-CC-PAL-FORAM,339,U1386,A,29,29-CC,X,CC,PAL,FORAM,0,5,253.72,253.77,,,,,,,,,R,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,240cd0618408638112bc0ffba271561d
339-U1386A-30X-CC-PAL-FORAM,339,U1386,A,30,30-CC,X,CC,PAL,FORAM,0,5,263.5,263.55,,,,,,,,,A,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,5fc3f4343d026cf3d0c8db51e17774ef
339-U1386A-31X-CC-PAL-FORAM,339,U1386,A,31,31-CC,X,CC,PAL,FORAM,0,5,273.41,273.46,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,,,,12e36db4b7502ad4f6a866a8c57b1a76
339-U1386A-32X-CC-PAL-FORAM,339,U1386,A,32,32-CC,X,CC,PAL,FORAM,0,5,282.61,282.66,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,798505eed4dcc8c044058e02c5cfc7c3
339-U1386A-33X-CC-PAL-FORAM,339,U1386,A,33,33-CC,X,CC,PAL,FORAM,0,5,292.17,292.22,,,,,,,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14ef87b9f29f441914b7e4a46c9f3aa3
339-U1386A-34X-CC-PAL-FORAM,339,U1386,A,34,34-CC,X,CC,PAL,FORAM,0,5,301.67,301.72,,,,,,,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,44e8d819e759e470493844f479230741
339-U1386A-35X-CC-PAL-FORAM,339,U1386,A,35,35-CC,X,CC,PAL,FORAM,0,5,310.59,310.64,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,b73a0c536a4a08d8117b398daba9ed68
339-U1386A-36X-CC-PAL-FORAM,339,U1386,A,36,36-CC,X,CC,PAL,FORAM,0,5,320.92,320.97,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,c0fabeb2ad684973c0e1c207a6086296
339-U1386A-37X-CC-PAL-FORAM,339,U1386,A,37,37-CC,X,CC,PAL,FORAM,0,5,330.1,330.15,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,F,,,,,,,,,P,,,,,,353f6d3b2e96f23b08269e5e9ca8f95d
339-U1386A-38X-CC-PAL-FORAM,339,U1386,A,38,38-CC,X,CC,PAL,FORAM,0,5,338.6,338.65,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,P,R,,,,,,,,,,,,,,a58333ff226670dee859f3f74a9f2700
