Exp,Site,Hole,Core,Core-Sect,Type,Section,Piece,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Preservation,Abundance,Amaurolithus delicatus,Calcidiscus macintyrei,Ship File Links,Shore File Links,Discoaster deflandrei,Discoaster druggii,Discoaster kugleri,Discoaster pentaradiatus,Reticulofenestra pseudoumbilica,Reticulofenestra pseudoumbilicus,File Data,Sample,eodp_id
324,U1348,A,1,1-1,W,1,1,PAL92,,0,6,0.0,0.06,,,C,,,F [320_Ns],C [320_Ns],Freq,Freq,,,C,,,324-U1348A-1W-1-PAL92,e1d88a8aff950c110e5fff2302b065e9
324,U1348,A,2,2-1,R,1,,W,1/1-PAL93,0,0,84.21,84.21,,G,C,R,C,F [320_Ns],C [320_Ns],,,,,,,,324-U1348A-2R-1-W 1/1-PAL93,00786ea4ff6abf962c991e05b184a4e8
324,U1348,A,2,2-1,R,1,,W,2/2-PAL94,0,0,84.22,84.22,,G,C,,C,F [320_Ns],C [320_Ns],,Freq,,,,,,324-U1348A-2R-1-W 2/2-PAL94,2ba0896bd5f5e4c49c536a6b66fec443
324,U1348,A,2,2-1,R,1,,W,6/6-Nanno_grey,0,0,84.26,84.26,,G,C,,C,C [320_Ns],F [320_Ns],,,,R,,,,324-U1348A-2R-1-W 6/6-Nanno_grey,7244a103a666715051c7839f628db017
