Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data,eodp_id
323-U1341B-1H-CC-PAL-FORAM73,323,U1341,B,1,1-CC,H,CC,PAL,FORAM73,0,0,8.62,8.62,"dominant diatoms, abundant IRD, few sponge spicules",G [323_PF],A,,,,,,R,,,,,,,,,,,A,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,30a1d68e76c6388d4aa6f36c831fe0ed
323-U1341B-2H-CC-PAL-FORAM6,323,U1341,B,2,2-CC,H,CC,PAL,FORAM6,0,0,18.48,18.48,"dominant diatoms, abundant IRD, few sponge spicules",G [323_PF],F,,,,,,P,,,,,,,,,,,F,,,,,,,,,,0f9aab267ce961241b2f924480cbceff
323-U1341B-3H-CC-PAL-FORAM11,323,U1341,B,3,3-CC,H,CC,PAL,FORAM11,0,0,28.08,28.08,"dominant IRD, few diatoms, few sponge spicules",G [323_PF],D,,,,,,P,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,3e3afc741f2400111d504c5fe45b2c28
323-U1341B-4H-CC-PAL-FORAM22,323,U1341,B,4,4-CC,H,CC,PAL,FORAM22,0,0,37.6,37.6,"dominant IRD, ABUNDANT diatoms, few sponge spicules",G [323_PF],A,,,,,,,,,,,,,,,,,A,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,423253fcede9bee2f9f0154132e46a12
323-U1341B-5H-CC-PAL-FORAM16,323,U1341,B,5,5-CC,H,CC,PAL,FORAM16,0,0,47.04,47.04,"dominant IRD, abundant diatoms, few sponge spicules",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,68ea4fb4f56d8d1cdec22f7278914949
323-U1341B-6H-CC-PAL-FORAM17,323,U1341,B,6,6-CC,H,CC,PAL,FORAM17,0,0,56.58,56.58,"dominant diatoms, abundant IRD, few sponge spicules",M [323_PF],A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,565dfcaf6f70a85146ed9948497888f3
323-U1341B-7H-CC-PAL-FORAM74,323,U1341,B,7,7-CC,H,CC,PAL,FORAM74,0,2,66.08,66.1,"dominant diatoms, abundant IRD, few sponge spicules, fragments of wood",G [323_PF],D,,,,,,,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,a431b10ddfa9b9b5f76ee9ab7ba958f3
323-U1341B-8H-CC-PAL-FORAM22,323,U1341,B,8,8-CC,H,CC,PAL,FORAM22,0,0,75.65,75.65,"dominant diatoms, abundant IRD, few sponge spicules",G [323_PF],A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,29a6f36be0a077680a257f319d0136fe
323-U1341B-9H-CC-PAL-FORAM27,323,U1341,B,9,9-CC,H,CC,PAL,FORAM27,0,0,85.14,85.14,"dominant IRD, abundant diatoms, few sponge spicules",G [323_PF],A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,a605d11edbbee51e3813badaf6ad66d9
323-U1341B-10H-CC-PAL-FORAM32,323,U1341,B,10,10-CC,H,CC,PAL,FORAM32,0,0,94.1,94.1,"dominant IRD, abundant diatoms, few sponge spicules",G [323_PF],F,,,,,,,,,,,,,,,,,F,,,,,,,,,,45d3fff442155390c9454de2cebce7b8
