Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,eodp_id
342-U1407A-2H-4-W 50/52-FORAM,342,U1407,A,2,2-4,H,4,W,50/52-FORAM,0,2,11.6,11.62,11.61,P,A,,,,,,,,7dbe04fe0619ee89d556907e3c3d8209
342-U1407A-3H-4-W 110/112-FORAM,342,U1407,A,3,3-4,H,4,W,110/112-FORAM,0,2,21.9,21.92,21.91,G,P,,,,,,,,887426b97248923d75299cb3767a3892
342-U1407A-4H-4-W 100/102-FORAM,342,U1407,A,4,4-4,H,4,W,100/102-FORAM,0,2,31.3,31.32,31.31,VG,P,,,,,,,,eea02e048e02fa7b80a5c25640ac9d5b
342-U1407A-5H-4-W 110/112-FORAM,342,U1407,A,5,5-4,H,4,W,110/112-FORAM,0,2,40.9,40.92,40.91,VG,P,,,,,,,,5184b44524d39593e6324f7208662230
342-U1407A-6H-4-W 110/112-FORAM,342,U1407,A,6,6-4,H,4,W,110/112-FORAM,0,2,50.4,50.42,50.41,VG,P,,,,,,,,5d4d7931b7e969f22f8491e7f7273c8f
342-U1407A-7H-4-W 110/112-FORAM,342,U1407,A,7,7-4,H,4,W,110/112-FORAM,0,2,59.9,59.92,59.91,VG,P,,,,,,,,d4b00e3ff4f24c5f8f180fe2a1da1dab
342-U1407A-8H-4-W 100/102-FORAM,342,U1407,A,8,8-4,H,4,W,100/102-FORAM,0,2,69.3,69.32,69.31,G,P,,,,,,,,fa3f46248b2189e5da32a578705d4f5d
342-U1407A-9H-2-W 100/102-FORAM,342,U1407,A,9,9-2,H,2,W,100/102-FORAM,0,2,75.8,75.82,75.81,VG,P,,,,,,,,79238d7f181e0be536b0d1e09f84cb4e
342-U1407A-9H-4-W 100/102-FORAM,342,U1407,A,9,9-4,H,4,W,100/102-FORAM,0,2,78.8,78.82,78.81,G,P,,,,,,,,b7d4308bc79139fcd2e573c57647cb10
342-U1407A-10H-2-W 110/112-FORAM,342,U1407,A,10,10-2,H,2,W,110/112-FORAM,0,2,85.4,85.42,85.41,G,P,,,,,,,,1e7408c5e6744d01fdaa91a4e4f68553
342-U1407A-10H-4-W 100/102-FORAM,342,U1407,A,10,10-4,H,4,W,100/102-FORAM,0,2,88.3,88.32,88.31,VG,P,,,,,,,,69221d022e0b88026d9d8d93940691bb
342-U1407A-11H-2-W 100/102-FORAM,342,U1407,A,11,11-2,H,2,W,100/102-FORAM,0,2,94.8,94.82,94.81,VG,P,,,,,,,,c1b5aa2ddbefcaddef129a659e34fc93
342-U1407A-11H-4-W 100/102-FORAM,342,U1407,A,11,11-4,H,4,W,100/102-FORAM,0,2,97.8,97.82,97.81,G,P,,,,,,,,81faf5e5f5e1760302394e6470bd53a2
342-U1407A-12H-1-W 25/27-FORAM,342,U1407,A,12,12-1,H,1,W,25/27-FORAM,0,2,102.05,102.07,102.06,VG,P,,,,,,,,7d19143978d3963b7c04e4d400b5526f
342-U1407A-16X-1-W 35/37-FORAM,342,U1407,A,16,16-1,X,1,W,35/37-FORAM,0,2,122.25,122.27,122.26,G,P,,,,,,,,45bee6c3c85a8cf1d3f8db8d35d75973
342-U1407A-18X-1-W 76/78-FORAM,342,U1407,A,18,18-1,X,1,W,76/78-FORAM,0,2,136.66,136.68,136.67,VG,P,,,,,,,,8cdbc9595a7f7daadc533eb429ef56b9
342-U1407A-18X-2-W 106/108-FORAM,342,U1407,A,18,18-2,X,2,W,106/108-FORAM,0,2,138.46,138.48,138.47,VG,P,,,,,,,,2285136902e95b7d62601bcc86659ee7
342-U1407A-19X-1-W 77/78-FORAM,342,U1407,A,19,19-1,X,1,W,77/78-FORAM,0,1,146.27,146.28,146.28,VG,P,,,,,,,,7fba21c6da371e044f316a3b03f82869
342-U1407A-19X-3-W 1/3-FORAM,342,U1407,A,19,19-3,X,3,W,1/3-FORAM,0,2,148.32,148.34,148.33,VG,P,,,,,,,,2dcc18b403f2ca181c355a01b2672718
342-U1407A-20X-2-W 49/51-FORAM,342,U1407,A,20,20-2,X,2,W,49/51-FORAM,0,2,157.09,157.11,157.1,G,P,,,,,,,,c5bbf80d87b5c2188da0dd20d5786598
342-U1407A-20X-4-W 4/6-FORAM,342,U1407,A,20,20-4,X,4,W,4/6-FORAM,0,2,159.64,159.66,159.65,M,F,,,,,,,,38bc67a194b59d59b4282511d595876d
342-U1407A-21X-2-W 38/40-FORAM,342,U1407,A,21,21-2,X,2,W,38/40-FORAM,0,2,166.58,166.6,166.59,VG,P,,,,,,,,c5372c48a57ce2cbefd053b50c658812
342-U1407A-21X-4-W 32/34-FORAM,342,U1407,A,21,21-4,X,4,W,32/34-FORAM,0,2,169.52,169.54,169.53,VG,P,,,,,,,,8d71300aba73f1f1b91ec20ccafccb24
342-U1407A-22X-2-W 85/87-FORAM,342,U1407,A,22,22-2,X,2,W,85/87-FORAM,0,2,176.65,176.67,176.66,G,P,,,,,,,,040bed5aeaeb71d73ac6584338122629
342-U1407A-22X-4-W 100/102-FORAM,342,U1407,A,22,22-4,X,4,W,100/102-FORAM,0,2,179.8,179.82,179.81,M,R,,,,,,,,987339f8d53713cfe62338dd9a3bfccc
342-U1407A-22X-CC-W 10/12-FORAM,342,U1407,A,22,22-CC,X,CC,W,10/12-FORAM,0,2,181.91,181.93,181.92,G,P,,,,,,,,53fa2efad73d9911c5b21797f9fa880e
342-U1407A-22X-CC-W 30/32-FORAM,342,U1407,A,22,22-CC,X,CC,W,30/32-FORAM,0,2,182.11,182.13,182.12,M,P,,,,,,,,ef2062b38904d49233905f291c857748
342-U1407A-23X-2-W 114/115-FORAM,342,U1407,A,23,23-2,X,2,W,114/115-FORAM,0,1,186.54,186.55,186.55,G,P,,,,,,,,5554614fa3834f731773f719291f4fdd
342-U1407A-23X-2-W 126/127-FORAM,342,U1407,A,23,23-2,X,2,W,126/127-FORAM,0,1,186.66,186.67,186.67,M,P,,,,,,,,e822d9ab702c20e7f96105636c486a80
342-U1407A-23X-2-W 135/136-FORAM,342,U1407,A,23,23-2,X,2,W,135/136-FORAM,0,1,186.75,186.76,186.76,G,P,,,,,,,,f3a553f6dbd7b7e0d6150abee2495d96
342-U1407A-23X-2-W 33/35-FORAM,342,U1407,A,23,23-2,X,2,W,33/35-FORAM,0,2,185.73,185.75,185.74,VG,P,,,,,,,,c3d887dad5fc4e86b9dad35ac0a6a6fa
342-U1407A-23X-4-W 13/15-FORAM,342,U1407,A,23,23-4,X,4,W,13/15-FORAM,0,2,188.53,188.55,188.54,M,P,,,,,,,,5be9f850448dfc025a163ed836ba63aa
342-U1407A-24X-2-W 81/85-FORAM,342,U1407,A,24,24-2,X,2,W,81/85-FORAM,0,4,195.81,195.85,195.83,G,D,,,,,,,,24a5e47446e74199fb7290fb26c9334b
342-U1407A-24X-4-W 19/21-FORAM,342,U1407,A,24,24-4,X,4,W,19/21-FORAM,0,2,198.19,198.21,198.2,P,D,,,,,,,,8eeb3c936bb32d8ea688f4f37ca7b63e
342-U1407A-25X-1-W 66/68-FORAM,342,U1407,A,25,25-1,X,1,W,66/68-FORAM,0,2,203.76,203.78,203.77,G,P,,,,,,,,72d32147ee82425c2d7c545929525581
342-U1407A-25X-3-W 38/40-FORAM,342,U1407,A,25,25-3,X,3,W,38/40-FORAM,0,2,206.04,206.06,206.05,G,P,,,,,,,,b29e88f61fc3be3a6b70811190989acf
342-U1407A-27X-2-W 39/41-FORAM,342,U1407,A,27,27-2,X,2,W,39/41-FORAM,0,2,224.19,224.21,224.2,G,R,,,,,,,,d1d584d0b311273cee6aec2b559edac3
342-U1407A-27X-4-W 65/67-FORAM,342,U1407,A,27,27-4,X,4,W,65/67-FORAM,0,2,227.45,227.47,227.46,M,P,,,,,,,,40ea7e222b8d589b7037d0516339c224
342-U1407A-27X-6-W 26/27-FORAM,342,U1407,A,27,27-6,X,6,W,26/27-FORAM,0,1,230.06,230.07,230.07,G,P,,,,,,,,7cf30e2ff81c803cbe44dc87e3c1226e
342-U1407A-28X-2-W 14/15-FORAM,342,U1407,A,28,28-2,X,2,W,14/15-FORAM,0,1,233.54,233.55,233.55,G,P,,,,,,,,ca618291664ece0f27c59df1a24a4d16
342-U1407A-28X-4-W 44/45-FORAM,342,U1407,A,28,28-4,X,4,W,44/45-FORAM,0,1,236.84,236.85,236.85,G,P,,,,,,,,d164521ddc92815e1189ccb6684d329a
342-U1407A-29X-2-W 85/86-FORAM,342,U1407,A,29,29-2,X,2,W,85/86-FORAM,0,1,243.85,243.86,243.86,G,P,,,,,,,,26a297462eeb695f75f244f3efbd3baa
342-U1407A-29X-4-W 85/86-FORAM,342,U1407,A,29,29-4,X,4,W,85/86-FORAM,0,1,246.85,246.86,246.86,M,R,,,,,,,,9da0de882fca8598947080c13b3cf58c
342-U1407A-30X-2-W 90/91-FORAM,342,U1407,A,30,30-2,X,2,W,90/91-FORAM,0,1,253.5,253.51,253.51,G,P,,,,,,,,02c726571b4a7bc2f2681a76883cc70e
342-U1407A-30X-4-W 90/91-FORAM,342,U1407,A,30,30-4,X,4,W,90/91-FORAM,0,1,256.5,256.51,256.51,G,P,,,,,,,,4b25a136ee5da881d5bae35d5523d7c7
342-U1407A-31X-3-W 106/107-FORAM,342,U1407,A,31,31-3,X,3,W,106/107-FORAM,0,1,264.76,264.77,264.77,G,P,,,,,,,,4b3d49935f3c44720e274f869cb23a2a
342-U1407A-31X-5-W 70/71-FORAM,342,U1407,A,31,31-5,X,5,W,70/71-FORAM,0,1,267.4,267.41,267.41,P,P,,,,,,,,ff3dd7aa97eb02032b8e44af95cddaf5
