Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (sinsitral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
341-U1418C-11H-CC-PAL,0,5,82.35,82.4,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,F,P,,F,,,,,P,,,,,,D,P,,P,,,"sandy, pebbles, pyratilized foram (1), light brown foram",,,,341,U1418,C,11,H,CC,PAL,3f5738e5371c41ecd4afe1b7226e2284
341-U1418C-13H-CC-PAL,0,5,91.83,91.88,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,F,R,,D,P,,,,,,,,,R,D,P,,R,,,"sandy, pebbles, light brown foram",,,,341,U1418,C,13,H,CC,PAL,96bf2ad83e484eb958cc30c76de4d457
341-U1418C-15H-CC-PAL,0,5,101.15,101.2,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,F,,,F,,,,,,,,,,,D,,,P,,,"sandy, pebbles, light brown and orange foram",,,,341,U1418,C,15,H,CC,PAL,60ba44f63cb577a63b59ee4beddbc479
341-U1418C-17H-CC-PAL,0,5,110.55,110.6,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,R,R,,A,,,,,,,,,,R,D,P,,R,,,"sandy, pebbles, light brown and orange forams",,,,341,U1418,C,17,H,CC,PAL,feb607cbc2ca562f718bc6e7cd08ef3c
341-U1418C-19H-CC-PAL,0,5,118.18,118.23,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,F,P,,A,P,,,,,,,,,,D,,,P,,,"sandy, light brown and orange foram",,,,341,U1418,C,19,H,CC,PAL,06d0fa6fdadb991bb678d32ccdfb80e1
341-U1418C-21H-7-PAL,0,30,136.93,137.23,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,F,R,,F,,,,,,,,,,R,D,,,R,,,sandy,,,,341,U1418,C,21,H,7,PAL,09ebd6402179696d41f459b7ed758c40
341-U1418C-23H-CC-PAL,0,5,155.32,155.37,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,F,F,,A,R,,,,,,,,,P,D,R,,R,,,"sandy, pebbles, frosted quartz",,,,341,U1418,C,23,H,CC,PAL,37f3b06998687d5224afa19503310a53
341-U1418C-25H-CC-PAL,0,7,174.02,174.09,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,A,A,,A,,,,,,,,,,,D,R,,P,,,,,,,341,U1418,C,25,H,CC,PAL,74bac9ac5e6414fbcdc381c982d2982c
341-U1418C-27H-CC-PAL,0,5,191.88,191.93,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,A,A,,A,,,,,,,,,,,D,P,,,,,,,,,341,U1418,C,27,H,CC,PAL,7fde15f7f164fa979b24ca71ef6d4a70
341-U1418C-29H-6-PAL,0,10,209.59,209.69,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,A,F,,A,R,,,,,,,,,,D,,,,,,pebbles,,,,341,U1418,C,29,H,6,PAL,c1c7f52864c09726d2bd257e8c65a6c3
341-U1418C-31H-5-PAL,0,10,224.43,224.53,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,F,F,,F,R,,,,,,,,,P,D,P,,,,,pebbles,,,,341,U1418,C,31,H,5,PAL,c1b1d315afe257f07c2e05de24c97153
