Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
341-U1418E-2H-CC-PAL-RADS,0,0,87.33,87.33,B. aquilonaris,Botyrostrobus aquilonaris,"LO Lychnocanoma nipponica sakaii (Morley et Nigrini, 1995)",G [P28],A,,,,,,,,R,C,,,,,,,,,A,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,C,C,,,,,,,,R,,,,R,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,341,U1418,E,2,H,CC,PAL,4e433bf703b1855f8e57f2499e0dbc0b
341-U1418E-4H-CC-RADS,0,5,96.64,96.69,B. aquilonaris,Botyrostrobus aquilonaris,,M [P28],F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,341,U1418,E,4,H,CC,RADS,f41411133162566b4f8fbe068b4853bd
341-U1418E-5H-CC-PAL-RADS,0,5,106.42,106.47,B. aquilonaris,Botyrostrobus aquilonaris,,P [P28],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,E,5,H,CC,PAL,8b92935b7dc06227e13813e32996ccf3
341-U1418E-6H-CC-PAL-RADS,0,5,115.5,115.55,B. aquilonaris,Botyrostrobus aquilonaris,,P [P28],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,E,6,H,CC,PAL,8f9cf794f2baeeb9ad7d35a7a744eae9
341-U1418E-7H-CC-PAL-RADS,0,5,125.48,125.53,B. aquilonaris,Botyrostrobus aquilonaris,,P [P28],R,,,,,,,,R,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,341,U1418,E,7,H,CC,PAL,f440ce8bb807cf02b452427c8e3f1462
341-U1418E-8H-CC-PAL-RADS,0,10,134.42,134.52,B. aquilonaris,Botyrostrobus aquilonaris,,P [P28],F,,,,,,,,,F,,,,,,,,,F,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,R,,,,,R,,,,,,,,,R,,,,R,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,341,U1418,E,8,H,CC,PAL,6657e74fb88ffa7bbf357c81b21d082d
341-U1418E-9H-CC-PAL-RADS,0,5,144.27,144.32,B. aquilonaris,Botyrostrobus aquilonaris,,P [P28],R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,E,9,H,CC,PAL,c2742e0370bea16e2527cf18ac93e101
341-U1418E-10H-CC-PAL-RADS,0,7,152.82,152.89,B. aquilonaris,Botyrostrobus aquilonaris,,P [P28],R,,,,,,,,R,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,341,U1418,E,10,H,CC,PAL,78d285defb7b2ea14ea15d1d5a9f461d
341-U1418E-11H-CC-PAL-RADS,0,5,162.89,162.94,B. aquilonaris,Botyrostrobus aquilonaris,,P [P28],R,,,,,,,,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,E,11,H,CC,PAL,87c6d765bccb8f333e677925c035b5ca
341-U1418E-12H-CC-PAL-RADS,0,6,172.25,172.31,B. aquilonaris,Botyrostrobus aquilonaris,,G [P28],A,,,,,,,,C,R,,,,R,A,,,,,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,R,A,,,,,,R,,R,R,,,C,,,,,A,A,R,A,,,,,,,,,,,F,,,,,,,,,341,U1418,E,12,H,CC,PAL,f51e1b559fa585444191e09df0b30b3d
341-U1418E-13H-CC-PAL-RADS,0,5,181.59,181.64,B. aquilonaris,Botyrostrobus aquilonaris,,G [P28],A,,,,,,,,C,C,,,,,,,,,A,,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,A,R,,,,,,C,,F,,,,C,,,,,F,F,R,,,,,,,,,,,,,,,,,,,,,341,U1418,E,13,H,CC,PAL,ec1542d461c13a042db297b2596eac58
