Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,eodp_id
342-U1411B-3H-3-W 110/112-FORAM,342,U1411,B,3,3-3,H,3,W,110/112-FORAM,0,2,14.5,14.52,M [P21],P,,,,,,,,a2fd3c2859fd92e5508bc07d88f78108
342-U1411B-3H-5-W 110/112-FORAM,342,U1411,B,3,3-5,H,5,W,110/112-FORAM,0,2,17.5,17.52,G [P21],P,,,,,,,,f2473204e332a562d714155575321422
342-U1411B-4H-2-W 110/112-FORAM,342,U1411,B,4,4-2,H,2,W,110/112-FORAM,0,2,22.5,22.52,G [P21],P,,,,,,,,38ce2779d2dbbc472a5e1b6faedf113c
342-U1411B-4H-5-W 120/122-FORAM,342,U1411,B,4,4-5,H,5,W,120/122-FORAM,0,2,27.1,27.12,,B,,,,,,,,3c82e9efff516c03562a812c7280c8c9
342-U1411B-15H-2-W 110/112-FORAM,342,U1411,B,15,15-2,H,2,W,110/112-FORAM,0,2,126.92,126.94,VG [P21],P,,,,,,,,f7e406edad141f8df53a71c76b82000c
342-U1411B-15H-4-W 110/112-FORAM,342,U1411,B,15,15-4,H,4,W,110/112-FORAM,0,2,129.86,129.88,G [P21],P,,,,,,,,cc07cbba2a4bff8c705712f13a6b0e83
342-U1411B-16H-2-W 110/112-FORAM,342,U1411,B,16,16-2,H,2,W,110/112-FORAM,0,2,136.2,136.22,G [P21],R,,,,,,,,39c4fbc7f02650b341ba08a66d8874a9
342-U1411B-16H-5-W 110/112-FORAM,342,U1411,B,16,16-5,H,5,W,110/112-FORAM,0,2,140.7,140.72,G [P21],P,,,,,,,,68d6c413cf943ed6b8a838781609074b
342-U1411B-17H-2-W 116/118-FORAM,342,U1411,B,17,17-2,H,2,W,116/118-FORAM,0,2,145.76,145.78,G [P21],P,,,,,,,,c9c5defa690403e93847b964d8bfbbff
342-U1411B-17H-5-W 106/108-FORAM,342,U1411,B,17,17-5,H,5,W,106/108-FORAM,0,2,150.16,150.18,VG [P21],P,,,,,,,,fa786c36dc5834bb0f905ef19acf1eca
342-U1411B-18H-2-W 110/112-FORAM,342,U1411,B,18,18-2,H,2,W,110/112-FORAM,0,2,155.2,155.22,G [P21],P,,,,,,,,501075f58a1d29e8c9814bbb4df6d5f7
342-U1411B-18H-5-W 110/112-FORAM,342,U1411,B,18,18-5,H,5,W,110/112-FORAM,0,2,159.7,159.72,VG [P21],D,,,,,,,,9cd79f6b53e40cb7fba487b0246db3a6
