Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1340A-1H-CC-PAL7      -FORAM12,323,U1340,A,1,1-CC,H,CC,PAL7,FORAM12,0,1.99,3.8,3.82,dominant IRD,VG [323_PF],D [323_PFs],,,,,,,,,,,,,,,,,D,,,P,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,
323-U1340A-2H-CC-PAL37     -FORAM43,323,U1340,A,2,2-CC,H,CC,PAL37,FORAM43,0,0.0,13.82,13.82,dominant IRD and diatoms,G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,R,,,,,,,,,
323-U1340A-3H-CC-PAL74     -FORAM82,323,U1340,A,3,3-CC,H,CC,PAL74,FORAM82,0,0.0,23.39,23.39,,P [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1340A-4H-CC-PAL9      -FORAM27,323,U1340,A,4,4-CC,H,CC,PAL9,FORAM27,0,0.0,32.75,32.75,,G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1340A-5H-CC-PAL54     -FORAM62,323,U1340,A,5,5-CC,H,CC,PAL54,FORAM62,0,0.0,42.35,42.35,,G [323_PF],A [323_PFs],,,,,,P,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,
323-U1340A-6H-CC-PAL89     -FORAM25,323,U1340,A,6,6-CC,H,CC,PAL89,FORAM25,0,0.0,51.92,51.92,,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-7H-CC-PAL19     -FORAM30,323,U1340,A,7,7-CC,H,CC,PAL19,FORAM30,0,0.0,61.41,61.41,,G [323_PF],A [323_PFs],,,,,,F,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1340A-8H-CC-PAL59     -FORAM92,323,U1340,A,8,8-CC,H,CC,PAL59,FORAM92,0,0.0,70.98,70.98,,G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,R,,,,,,,,,
323-U1340A-9H-CC-PAL-FORAM97,323,U1340,A,9,9-CC,H,CC,PAL,FORAM97,0,0.0,80.35,80.35,,VG [323_PF],D [323_PFs],,,,,,F,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1340A-10H-CC-PAL-FORAM2,323,U1340,A,10,10-CC,H,CC,PAL,FORAM2,0,0.0,89.83,89.83,,G [323_PF],D [323_PFs],,,,,,,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
