Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,physical_constituent_name,pc_fossil_name,pc_fossil_group,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1341A-1H-CC-PAL26     -RADS67,323,U1341,A,1,1-CC,H,CC,PAL26,RADS67,0,0,2.92,2.92,,G [323_Rs],C [323_Rs],F [323_Rs],,,,,F [323_Rs],,F [323_Rs],,C [323_Rs],,,,,F [323_Rs],,,,,,,,,,,,,,,,F [323_Rs],,,,,F [323_Rs],F [323_Rs],,,,,,,
323-U1341A-2H-CC-PAL72     -RADS72,323,U1341,A,2,2-CC,H,CC,PAL72,RADS72,0,0,12.54,12.54,,G [323_Rs],C [323_Rs],,,F [323_Rs],,,F [323_Rs],,F [323_Rs],,C [323_Rs],,,,,,,,,,F [323_Rs],,,,F [323_Rs],,,,,F [323_Rs],,F [323_Rs],,,,,F [323_Rs],F [323_Rs],,,,,,,
323-U1341A-3H-CC-PAL70     -RADS77,323,U1341,A,3,3-CC,H,CC,PAL70,RADS77,0,0,22.33,22.33,,G [323_Rs],C [323_Rs],F [323_Rs],,C [323_Rs],,F [323_Rs],C [323_Rs],,F [323_Rs],,C [323_Rs],,,,,,,,,,,,,,F [323_Rs],,,,F [323_Rs],,,,,,,,F [323_Rs],F [323_Rs],,,,,,,
323-U1341A-4H-CC-PAL57     -RADS82,323,U1341,A,4,4-CC,H,CC,PAL57,RADS82,0,0,31.67,31.67,,G [323_Rs],C [323_Rs],F [323_Rs],,F [323_Rs],,,C [323_Rs],,,,C [323_Rs],,,,,,,,,,,,,,F [323_Rs],,,,,,,,F [323_Rs],,,,C [323_Rs],C [323_Rs],,,,,,,
323-U1341A-5H-CC-PAL42     -RADS66,323,U1341,A,5,5-CC,H,CC,PAL42,RADS66,0,0,41.22,41.22,,G [323_Rs],C [323_Rs],,,,,,F [323_Rs],,F [323_Rs],,C [323_Rs],,,,,,,,,,,,,,,,,,F [323_Rs],C [323_Rs],,F [323_Rs],F [323_Rs],,,,,F [323_Rs],,,,,,,
323-U1341A-6H-CC-PAL16     -RADS80,323,U1341,A,6,6-CC,H,CC,PAL16,RADS80,0,0,50.85,50.85,,G [323_Rs],C [323_Rs],F [323_Rs],,,,,F [323_Rs],,F [323_Rs],,A [323_Rs],,,,,,,,,,,,,,,,,,,F [323_Rs],,,,,,,,,,,,,,,
323-U1341A-7H-CC-PAL70     -RADS85,323,U1341,A,7,7-CC,H,CC,PAL70,RADS85,0,0,60.41,60.41,,G [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,F [323_Rs],,F [323_Rs],,,,,F [323_Rs],,,,,,,,,,,,,,F [323_Rs],,F [323_Rs],,,,,,,,,,,,,
323-U1341A-8H-CC-PAL23     -RADS90,323,U1341,A,8,8-CC,H,CC,PAL23,RADS90,0,0,69.31,69.31,,G [323_Rs],C [323_Rs],F [323_Rs],,,,,C [323_Rs],,F [323_Rs],,F [323_Rs],,,,,,,,,,,,,,,,,,F [323_Rs],F [323_Rs],,,,,,,,,,,,,,,
323-U1341A-9H-CC-PAL92     -RADS99,323,U1341,A,9,9-CC,H,CC,PAL92,RADS99,0,0,79.56,79.56,,G [323_Rs],F [323_Rs],F [323_Rs],,,F [323_Rs],,F [323_Rs],,F [323_Rs],,C [323_Rs],,,,,F [323_Rs],,,,,,,,,,,,,,,,F [323_Rs],,,,,,,,,,,,,
323-U1341A-10H-CC-PAL-RADS57,323,U1341,A,10,10-CC,H,CC,PAL,RADS57,0,0,89.02,89.02,,G [323_Rs],C [323_Rs],,,F [323_Rs],F [323_Rs],,C [323_Rs],,F [323_Rs],,C [323_Rs],,,,,F [323_Rs],,,,,F [323_Rs],,,,,,,,,,F [323_Rs],,,,,,,,,,,,,,
323-U1341A-11H-CC-PAL-RADS62,323,U1341,A,11,11-CC,H,CC,PAL,RADS62,0,0,98.41,98.41,,G [323_Rs],C [323_Rs],,,,F [323_Rs],,F [323_Rs],,F [323_Rs],,C [323_Rs],F [323_Rs],,,,,,,,,,,,,,,,,,F [323_Rs],F [323_Rs],,,,,,,,,,,,,,
323-U1341A-12H-CC-PAL-RADS67,323,U1341,A,12,12-CC,H,CC,PAL,RADS67,0,0,108.06,108.06,,G [323_Rs],F [323_Rs],,,,F [323_Rs],F [323_Rs],,,,,F [323_Rs],,,,,,,,,,,,,,,,,,,F [323_Rs],F [323_Rs],,,,,,,,,,,,,,
323-U1341A-13H-CC-PAL-RADS72,323,U1341,A,13,13-CC,H,CC,PAL,RADS72,0,0,117.6,117.6,,G [323_Rs],F [323_Rs],,,,F [323_Rs],F [323_Rs],F [323_Rs],,,,F [323_Rs],F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341A-14H-CC-PAL-RADS77,323,U1341,A,14,14-CC,H,CC,PAL,RADS77,0,0,127,127,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,,,F [323_Rs],,,,,,,,F [323_Rs],,,,,,,,,,F [323_Rs],,F [323_Rs],,F [323_Rs],,,F [323_Rs],,,,,,,,,
323-U1341A-15H-CC-PAL-RADS30,323,U1341,A,15,15-CC,H,CC,PAL,RADS30,0,0,136.16,136.16,,G [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,F [323_Rs],,C [323_Rs],,,,,F [323_Rs],,,F [323_Rs],,,,,,,,,,,,,,,,,,F [323_Rs],,,,,,,,
323-U1341A-16H-CC-PAL-RADS70,323,U1341,A,16,16-CC,H,CC,PAL,RADS70,0,0,145.97,145.97,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,,,,,,,,,,,F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341A-17H-CC-PAL-RADS75,323,U1341,A,17,17-CC,H,CC,PAL,RADS75,0,0,155.53,155.53,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,,,,,F [323_Rs],F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341A-18H-CC-PAL-RADS80,323,U1341,A,18,18-CC,H,CC,PAL,RADS80,0,0,164.92,164.92,,M [323_Rs],F [323_Rs],,,,C [323_Rs],,,,,,,F [323_Rs],,,,,,,,,,,,,,,,,,,F [323_Rs],F [323_Rs],,,,,,,,,,,,,
323-U1341A-19H-CC-PAL-RADS85,323,U1341,A,19,19-CC,H,CC,PAL,RADS85,0,0,174.39,174.39,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,,,,,,F [323_Rs],,,,,,,,,F [323_Rs],,,,,,,,,,F [323_Rs],F [323_Rs],F [323_Rs],,,,,,,,,,,,
323-U1341A-20H-CC-PAL-RADS90,323,U1341,A,20,20-CC,H,CC,PAL,RADS90,0,0,183.82,183.82,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,F [323_Rs],F [323_Rs],,,,,,,,,,,,,
323-U1341A-21H-CC-PAL-RADS68,323,U1341,A,21,21-CC,H,CC,PAL,RADS68,0,0,193.25,193.25,,G [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,F [323_Rs],,F [323_Rs],F [323_Rs],,,,,,,,,,,,,,,,,,,,F [323_Rs],,,,,,,,,,,,,
323-U1341A-22H-CC-PAL-RADS73,323,U1341,A,22,22-CC,H,CC,PAL,RADS73,0,0,203.03,203.03,,G [323_Rs],F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [323_Rs],F [323_Rs],,,,,,,,,,,,
323-U1341A-23H-CC-PAL-RADS78,323,U1341,A,23,23-CC,H,CC,PAL,RADS78,0,0,212.53,212.53,,M [323_Rs],F [323_Rs],,,,,,,,,,F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341A-24H-CC-PAL-RADS83,323,U1341,A,24,24-CC,H,CC,PAL,RADS83,0,0,221.24,221.24,,G [323_Rs],F [323_Rs],,,,,,F [323_Rs],,,,F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,F [323_Rs],,,,,,,,,
