Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Abathomphalus intermedius,Abathomphalus mayaroensis,Archaeoglobigerina australis,Archaeoglobigerina blowi,Archaeoglobigerina bosquensis,Archaeoglobigerina cretacea,Archaeoglobigerina mateola,Contusotruncana contusa,Contusotruncana fornicata,Contusotruncana patelliformis,Contusotruncana plicata,Contusotruncana plummerae,Contusotruncana walfischensis,Dicarinella algeriana,Dicarinella asymetrica,Dicarinella concavata,Falsotruncana maslakovae,Gansserina gansseri,Gansserina wiedenmayeri,Globigerinelloides barri,Globigerinelloides bollii,Globigerinelloides caseyi,Globigerinelloides prairiehillensis,Globigerinelloides ultramicrus,Globotruncana aegyptiaca,Globotruncana arca,Globotruncana bulloides,Globotruncana dupeublei,Globotruncana esnehensis,Globotruncana falsostuarti,Globotruncana hilli,Globotruncana insignis,Globotruncana lapparenti,Globotruncana linneiana,Globotruncana marginata,Globotruncana mariei,Globotruncana morozovae,Globotruncana obliqua,Globotruncana orientalis,Globotruncana rosetta,Globotruncana rugosa,Globotruncana ventricosa,Globotruncanella citae,Globotruncanella havanensis,Globotruncanella minuta,Globotruncanella petaloidea,Globotruncanella pschadae,Globotruncanita angulata,Globotruncanita atlantica,Globotruncanita calcarata,Globotruncanita conica,Globotruncanita elevata,Globotruncanita pettersi,Globotruncanita stuarti,Globotruncanita stuartiformis,Globotruncanita subspinosa,Globoturborotalita rubescens,Guembelitrioides higginsi,Hastigerinoides subdigitata,Hedbergella delrioensis,Hedbergella holmdelensis,Hedbergella monmouthensis,Hedbergella planispira,Hedbergella simplex,Helvetoglobotruncana helvetica,Helvetoglobotruncana praehelvetica,Heterohelix dentata,Heterohelix glabrans,Heterohelix globulosa,Heterohelix labellosa,Heterohelix moremani,Heterohelix navarroensis,Heterohelix palpebra,Heterohelix planata,Heterohelix pulchra,Heterohelix punctulata,Heterohelix rajagopalani,Heterohelix reussi,Heterohelix semicostata,Heterohelix striata,Igorina albeari,Igorina broedermanni,Laeviheterohelix pulchra,Marginotruncana coronata,Marginotruncana pseudolinneiana,Marginotruncana renzi,Marginotruncana schneegansi,Marginotruncana sigali,Marginotruncana sinuosa,Planoglobulina acervulinoides,Planoglobulina carseyae,Planoglobulina multicamerata,Planoglobulina riograndensis,Planomalina buxtorfi,Planorotalites palmerae,Praeglobotruncana delrioensis,Praeglobotruncana gibba,Praeglobotruncana stephani,Praemurica inconstans,Pseudoguembelina costulata,Pseudoguembelina excolata,Pseudoguembelina hariaensis,Pseudoguembelina kempensis,Pseudoguembelina palpebra,Pseudohastigerina danvillensis,Pseudotextularia elegans,Pseudotextularia intermedia,Pseudotextularia nuttalli,Pulleniatina finalis,Racemiguembelina fructicosa,Racemiguembelina powelli,Radotruncana calcarata,Radotruncana subspinosa,Rotalipora appenninica,Rotalipora cushmani,Rotalipora globotruncanoides,Rotalipora greenhornensis,Rotalipora montsalvensis,Rotalipora reicheli,Rotalipora ticinensis,Rugoglobigerina hexacamerata,Rugoglobigerina macrocephala,Rugoglobigerina milamensis,Rugoglobigerina pennyi,Rugoglobigerina pilula,Rugoglobigerina reicheli,Rugoglobigerina rotundata,Rugoglobigerina rugosa,Rugoglobigerina scotti,Rugotruncana subcircumnodifer,Rugotruncana subpennyi,Sphaeroidinella dehiscens,Whiteinella archaeocretacea,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W
342-U1407A-22X-CC-PAL,0,5,182.24,182.29,KS26,,,M,A,,,,C,R,,,F,R,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,22,X,CC,PAL
342-U1407A-22X-CC-W 30/32-FORAM,0,2,182.11,182.13,<KS30,,,G [P15],A,,,,,,,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,22,X,CC,W
342-U1407A-23X-2-W 33/35-FORAM,0,2,185.73,185.75,P1,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,23,X,2,W
342-U1407A-23X-4-W 13/15-FORAM,0,2,188.53,188.55,,,,G,A,,,,,,,,P,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,R,,,,,C,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,23,X,4,W
342-U1407A-23X-6-W 12/15-FORAM,0,3,191.52,191.55,KS27,,,G,A,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,23,X,6,W
342-U1407A-23X-CC-PAL,0,5,193.1,193.15,KS25,,,G,C,,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,F,,,,,F,,,,,,,,,,,,,F,,,R,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,23,X,CC,PAL
342-U1407A-24X-2-W 81/85-FORAM,0,4,195.81,195.85,,,,P,R,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,24,X,2,W
342-U1407A-24X-4-W 19/21-FORAM,0,2,198.19,198.21,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,24,X,4,W
342-U1407A-24X-CC-PAL,0,6,199.37,199.43,KS24,,,P,R,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,24,X,CC,PAL
342-U1407A-25X-1-W 66/68-FORAM,0,2,203.76,203.78,,,,P,C,,,,,,,,,R,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,25,X,1,W
