Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,eodp_id
339-U1391A-1H-CC-PAL-FORAM,339,U1391,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.11,4.16,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,R,,P,,,,,,,P,,,,,,,,,e94f15b0faade0d12253e301ece857ae
339-U1391A-2H-CC-PAL-FORAM,339,U1391,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.8,13.85,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,F,,P,,,R,R,,,,,R,,,,,,,,,,,,92048990fa7ed6fef0fa1ab1db18cce0
339-U1391A-4H-CC-PAL-FORAM,339,U1391,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.92,32.97,M,A,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,A,P,,,,,,,,P,P,,,,,,,,f29049c23a3808578d16e1c8b6ca6559
339-U1391A-6H-CC-PAL-FORAM,339,U1391,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.13,52.18,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,439c7d1fbb2d6dcb5191bf685d8f1b83
339-U1391A-8H-CC-PAL-FORAM,339,U1391,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.13,71.18,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,R,,,,P,P,P,,,,,,3caf0ea36d5a486f890623620d4b7b1a
339-U1391A-10H-CC-PAL-FORAM,339,U1391,A,10,10-CC,H,CC,PAL,FORAM,0,8,90.09,90.17,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,F,,,,,F,R,,,,,,,,,P,,,,,R,,,4ef00ccd48b5b822beb67e4e29b9b8ed
339-U1391A-12H-CC-PAL-FORAM,339,U1391,A,12,12-CC,H,CC,PAL,FORAM,0,5,109.12,109.17,G,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,P,,,F,P,,,,,P,,,,,,R,,,,,,3bcdec10bdcb5a3c995adeaba5ce904b
339-U1391A-14H-CC-PAL-FORAM,339,U1391,A,14,14-CC,H,CC,PAL,FORAM,0,5,128.14,128.19,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,A,R,,,,,R,,,,P,,R,,,,,,1796ead12ead422fcbaacf9e6701ae2d
339-U1391A-16H-CC-PAL-FORAM,339,U1391,A,16,16-CC,H,CC,PAL,FORAM,0,5,147.98,148.03,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,A,P,,,,,A,,,,R,,R,,,,,,fddaa09d8a2cfee924225aa2c1e71623
339-U1391A-18H-CC-PAL-FORAM,339,U1391,A,18,18-CC,H,CC,PAL,FORAM,0,5,167.17,167.22,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,R,,,,,,ff5d69077572ae59243c3a799823ad95
339-U1391A-19H-4-PAL-FORAM,339,U1391,A,19,19-4,H,4,PAL,FORAM,0,5,171.05,171.1,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,R,,,,,R,,,,P,,R,,,,,,ff0309eae64c88430b81f9bab998d246
339-U1391A-20X-CC-PAL-FORAM,339,U1391,A,20,20-CC,X,CC,PAL,FORAM,0,5,179.82,179.87,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,R,,,,,,,be69a0bf00c0e5065e912110bf32ff95
339-U1391A-21X-CC-PAL-FORAM,339,U1391,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.22,189.27,G,A,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,P,,,,R,,,,,,4b72a8a36d0db843e97c067fbaa81132
339-U1391A-22X-CC-PAL-FORAM,339,U1391,A,22,22-CC,X,CC,PAL,FORAM,0,5,199.35,199.4,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,P,,,,,,,,,,R,,,,,,,,2da353cbcf710d345695426cc0f5bf79
