Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (sinsitral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
341-U1418A-1H-CC-PAL,0,7,4.8,4.87,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,A,R,,D,,,,,,,,,,R,D,P,,R,,,"pebbles, sandy",,,,341,U1418,A,1,H,CC,PAL,3b6307ea4ced75fb6a9fd395efb56777
341-U1418A-3H-CC-PAL,0,5,23.92,23.97,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],D,F,,D,,,,,,,,,,R,D,R,,F,,,"pebbles, sandy",,,,341,U1418,A,3,H,CC,PAL,350a2d434ca3a02deed9cbfb3d6ad6a0
341-U1418A-5H-CC-PAL,0,5,42.91,42.96,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,VG [P15],A,R,,A,R,,,,P,,,,,P,D,P,,R,,,pebble,,,,341,U1418,A,5,H,CC,PAL,6670cdb723ad3f824ff50368baeb6994
341-U1418A-7H-CC-PAL,0,5,62.14,62.19,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,VG [P15],D,R,,A,,,,,,,,,,P,D,R,,R,,,"pebbles, dark brown foram, likely reworked",,,,341,U1418,A,7,H,CC,PAL,1dfbcb9cacc0323fa462a4886d122f75
341-U1418A-9H-CC-PAL,0,5,80.95,81.0,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],A,P,,F,,,,,,,,,,,D,R,,,,,"orange/brown foram, wood fragment",,,,341,U1418,A,9,H,CC,PAL,e5c08d4f3f9f13f74140eaf64973bc97
341-U1418A-11H-CC-PAL,0,5,100.07,100.12,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],A,R,,D,P,,,,,,,,,R,D,P,,R,,,,,,,341,U1418,A,11,H,CC,PAL,adf12bc2a5ce60384678950caed3bd24
341-U1418A-13H-CC-PAL,0,6,118.34,118.4,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],F,P,,A,,,,,,,,,,,D,P,,P,,,pebbles,,,,341,U1418,A,13,H,CC,PAL,2e88a465391373c7482499c67f6f497f
341-U1418A-15H-CC-PAL,0,5,128.12,128.17,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],F,R,,F,R,,,,R,,,,,,D,F,,,,,,,,,341,U1418,A,15,H,CC,PAL,35ff2d61b4861230ca2257065e7597b2
341-U1418A-17H-CC-PAL,0,5,137.53,137.58,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F,,,R,,,,,,,,,,R,D,R,,F,,,"pebbles, sandy, fainted colored (light brown) forams",,,,341,U1418,A,17,H,CC,PAL,300f1174099d694d9904c76635aa1292
341-U1418A-19H-CC-PAL,0,5,146.88,146.93,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],R,R,,F,,,,,,,,,,,D,F,,,,,"pebbles, fainted colored planktic forams and brown colored benthics.",,,,341,U1418,A,19,H,CC,PAL,eed82debe897e8bc62509a405c0d2c70
341-U1418A-20H-CC-PAL,0,5,151.47,151.52,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],F,,,A,R,,,,P,,,,,,D,R,,,,,light brown colored forams,,,,341,U1418,A,20,H,CC,PAL,ea1127e4c712c2e368ff25b08c1fdf44
341-U1418A-21H-CC-PAL,0,5,156.31,156.36,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],D,F,,A,R,,,,P,,,,,P,D,,,R,,,radiolarian rich,,,,341,U1418,A,21,H,CC,PAL,4f251255b65fa66cb9a835fc3097d8ef
341-U1418A-22H-CC-PAL,0,5,161.01,161.06,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],D,R,,A,R,,,,,,,,,P,D,R,,R,,,orange forams,,,,341,U1418,A,22,H,CC,PAL,f3aea2ff5d7cb6d63984d57eccf2a18a
341-U1418A-23H-CC-PAL,0,5,165.63,165.68,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F,R,,A,,,,,,,,,,P,D,R,,F,,,"pebbles, sandy",,,,341,U1418,A,23,H,CC,PAL,67263e327877cd94db8c0bc23f7ad984
341-U1418A-25H-CC-PAL,0,5,175.04,175.09,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,VG [P15],F,R,,A,P,,,,,,,,,P,D,R,,F,,,,,,,341,U1418,A,25,H,CC,PAL,585b686cdc68f12814b2c0d0cfec0175
341-U1418A-27H-CC-PAL,0,5,184.44,184.49,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F,P,,A,P,,,,,,,,,P,D,R,,P,,,"pyratilized foram (1), sandy, pebbles",,,,341,U1418,A,27,H,CC,PAL,97ae9a980cfcb5573e3f62c9935148af
341-U1418A-29H-CC-PAL,0,5,193.72,193.77,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,VG [P15],A,R,,A,P,,,,,,,,,P,D,R,,R,,,,,,,341,U1418,A,29,H,CC,PAL,4c25e62ff57e602d5db94466c39b7313
341-U1418A-31H-CC-PAL,0,5,203.19,203.24,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],A,R,,F,P,,,,,,,,,P,D,R,,,,,sandy,,,,341,U1418,A,31,H,CC,PAL,7453367f67170e800387194bd867760d
341-U1418A-33H-CC-PAL,0,5,209.88,209.93,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F,R,,A,,,,,,,,,,R,D,R,,R,,,"pebbles, sandy",,,,341,U1418,A,33,H,CC,PAL,ac82b42b7acfc10d4a186eb5e2fab0b3
