Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1341C-1H-CC-PAL-FORAM46,323,U1341,C,1,1-CC,H,CC,PAL,FORAM46,0,0,5.44,5.44,"dominant ird, few diatoms, rare sponge spic",VG [323_PF],D,,,,,,R,,,,,,,,,,,D,,,,,,,,,
323-U1341C-2H-CC-PAL-FORAM51,323,U1341,C,2,2-CC,H,CC,PAL,FORAM51,0,0,15.34,15.34,"dominant diatoms, abundant IRD, few sponge spicules",G [323_PF],F,,,,,,,,,,,,,,,,,F,,,,,,,,,
323-U1341C-3H-CC-PAL-FORAM56,323,U1341,C,3,3-CC,H,CC,PAL,FORAM56,0,0,24.82,24.82,"dominant diatoms, abundant IRD, few sponge spicules",G [323_PF],D,,,,,,P,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1341C-4H-CC-PAL-FORAM61,323,U1341,C,4,4-CC,H,CC,PAL,FORAM61,0,0,34.41,34.41,"dominant ird, few diatoms, rare sponge spic",G [323_PF],D,,,,,,R,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1341C-5H-CC-PAL-FORAM66,323,U1341,C,5,5-CC,H,CC,PAL,FORAM66,0,0,41.69,41.69,"dominant ird, few diatoms, rare sponge spic",G [323_PF],A,,,,,,R,,,,,,,,,,,A,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1341C-6H-CC-PAL-FORAM15,323,U1341,C,6,6-CC,H,CC,PAL,FORAM15,0,0,53.52,53.52,"dominant ird, few diatoms, rare sponge spic",G [323_PF],D,,,,,,R,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,
323-U1341C-7H-CC-PAL-FORAM20,323,U1341,C,7,7-CC,H,CC,PAL,FORAM20,0,0,62.14,62.14,"dominant ird, few diatoms, rare sponge spic",G [323_PF],D,,,,,,P,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1341C-8H-CC-PAL-FORAM25,323,U1341,C,8,8-CC,H,CC,PAL,FORAM25,0,0,70.96,70.96,"dominant ird, few diatoms, rare sponge spic",G [323_PF],D,,,,,,P,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1341C-9H-CC-PAL-FORAM30,323,U1341,C,9,9-CC,H,CC,PAL,FORAM30,0,0,80.52,80.52,"dominant ird, few diatoms, rare sponge spic",G [323_PF],D,,,,,,P,,,,,,,,,,,D,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1341C-10H-CC-PAL-FORAM35,323,U1341,C,10,10-CC,H,CC,PAL,FORAM35,0,0,89.95,89.95,"dominant datoms, abundant IRD, rare sponge spic",G [323_PF],D,,,,,,,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
