Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (sinsitral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1418F-22R-CC-PAL,0,5,462.68,462.73,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],R [A83],P [A84],,F [A84],,,,,,,,,,,D [A84],R [A84],,,,,"pebbles, sandy",,,,341,U1418,F,22,R,CC,PAL
341-U1418F-23R-CC-PAL,0,5,470.03,470.08,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],R [A83],R [A84],,A [A84],,,,,,,,P [A84],,P [A84],D [A84],R [A84],,P [A84],,,"pebbles, sandy, N. kagaensis could be reworked",,,,341,U1418,F,23,R,CC,PAL
341-U1418F-24R-CC-PAL,0,5,479.25,479.3,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],R [A83],F [A84],,A [A84],P [A84],,,,,,,,,R [A84],D [A84],P [A84],,R [A84],,,"pebbles, sandy",,,,341,U1418,F,24,R,CC,PAL
341-U1418F-25R-CC-PAL,0,5,492.74,492.79,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F [A83],A [A84],,A [A84],,,,,,,,P [A84],,R [A84],D [A84],P [A84],,R [A84],,,"pebbles, sandy, N.kagaesis could be reworked",,,,341,U1418,F,25,R,CC,PAL
341-U1418F-27R-CC-PAL,0,6,509.8,509.86,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],A [A84],,,,,,,,,,,,,D [A84],,,,,,"pebbles, sandy",,,,341,U1418,F,27,R,CC,PAL
341-U1418F-29R-CC-PAL,0,5,530.89,530.94,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],R [A83],R [A84],,R [A84],,,,,P [A84],,,,,,D [A84],R [A84],,,,,"sandy, difficult to disaggregate",,,,341,U1418,F,29,R,CC,PAL
341-U1418F-31R-CC-PAL,0,5,550.68,550.73,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],A [A83],F [A84],,R [A84],P [A84],,,,,,,,P [A84],P [A84],D [A84],R [A84],,P [A84],,,"sandy, difficult to disaggregate",,,,341,U1418,F,31,R,CC,PAL
341-U1418F-33R-CC-PAL,0,5,570.56,570.61,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],F [A83],A [A84],,A [A84],R [A84],,,,,,,,,,D [A84],P [A84],,R [A84],,,difficult to disaggregate,,,,341,U1418,F,33,R,CC,PAL
341-U1418F-35R-CC-PAL,0,5,589.93,589.98,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],A [A83],R [A84],,R [A84],,,,,,,,,,,D [A84],,,R [A84],,,"pebbles, light brown forams",,,,341,U1418,F,35,R,CC,PAL
341-U1418F-37R-CC-PAL,0,5,607.96,608.01,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F [A83],A [A84],,A [A84],,,,,,,,,,,D [A84],F [A84],,P [A84],,,,,,,341,U1418,F,37,R,CC,PAL
