File Data,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data.1,Sample,eodp_id
342-U1409A-4H-2-W 110/112-FORAM,342,U1409,A,4,4-2,H,2,W,110/112-FORAM,0,2,22.7,22.72,P,D,,,,,,,,342-U1409A-4H-2-W 110/112-FORAM,e374cf39b138d45a2624e3aa3a9c3386
342-U1409A-4H-5-W 110/112-FORAM,342,U1409,A,4,4-5,H,5,W,110/112-FORAM,0,2,27.2,27.22,P,D,,,,,,,,342-U1409A-4H-5-W 110/112-FORAM,641f17277b91f975ef63c99c582d8d81
342-U1409A-5H-2-W 110/112-FORAM,342,U1409,A,5,5-2,H,2,W,110/112-FORAM,0,2,32.2,32.22,P,D,,,,,,,,342-U1409A-5H-2-W 110/112-FORAM,b4c82a589ec577e39ae754c8010f4789
342-U1409A-5H-5-W 91/93-FORAM,342,U1409,A,5,5-5,H,5,W,91/93-FORAM,0,2,36.51,36.53,VG,P,,,,,,,,342-U1409A-5H-5-W 91/93-FORAM,8ced25063a13ba921648332c4a0f2318
342-U1409A-6H-2-W 111/113-PAL,342,U1409,A,6,6-2,H,2,W,111/113-PAL,0,2,41.71,41.73,VG,P,,,,,,,,342-U1409A-6H-2-W 111/113-PAL,d64863cc4b3c8530cdf7d27dd7ae55bf
342-U1409A-6H-5-W 30/32-PAL,342,U1409,A,6,6-5,H,5,W,30/32-PAL,0,2,45.4,45.42,VG,P,,,,,,,,342-U1409A-6H-5-W 30/32-PAL,de46e0e5d31fc280d5c9b7a881e076ef
342-U1409A-7H-2-W 57/59-PAL,342,U1409,A,7,7-2,H,2,W,57/59-PAL,0,2,50.67,50.69,G,P,,,,,,,,342-U1409A-7H-2-W 57/59-PAL,c79869d8e3e8ddbde8f86cd504aadb14
342-U1409A-7H-5-W 69/71-PAL,342,U1409,A,7,7-5,H,5,W,69/71-PAL,0,2,55.3,55.32,G,P,,,,,,,,342-U1409A-7H-5-W 69/71-PAL,db9a4ee8afa5f8421a604e967c43b055
342-U1409A-8H-2-W 50/52-PAL,342,U1409,A,8,8-2,H,2,W,50/52-PAL,0,2,60.1,60.12,VG,P,,,,,,,,342-U1409A-8H-2-W 50/52-PAL,6abf8ad040bc8c60d57c46f2ae1f4aac
342-U1409A-8H-5-W 119/121-PAL,342,U1409,A,8,8-5,H,5,W,119/121-PAL,0,2,65.29,65.31,VG,P,,,,,,,,342-U1409A-8H-5-W 119/121-PAL,8ffd34bbd02eae92b71fc4ccfd569d1b
342-U1409A-9H-2-W 110/112-FORAM,342,U1409,A,9,9-2,H,2,W,110/112-FORAM,0,2,70.2,70.22,VG,P,,,,,,,,342-U1409A-9H-2-W 110/112-FORAM,23136615714a05c6680ce851cff013cc
342-U1409A-9H-5-W 110/112-FORAM,342,U1409,A,9,9-5,H,5,W,110/112-FORAM,0,2,74.71,74.73,VG,P,,,,,,,,342-U1409A-9H-5-W 110/112-FORAM,f8847f9fd27c4d9f49b2af105f7533f1
342-U1409A-10H-2-W 110/112-FORAM,342,U1409,A,10,10-2,H,2,W,110/112-FORAM,0,2,79.7,79.72,VG,P,,,,,,,,342-U1409A-10H-2-W 110/112-FORAM,1b18b2cab17d55769f66862387e525c1
342-U1409A-10H-5-W 110/112-FORAM,342,U1409,A,10,10-5,H,5,W,110/112-FORAM,0,2,84.2,84.22,VG,P,,,,,,,,342-U1409A-10H-5-W 110/112-FORAM,9fb703c236e7eea73f76fa72cd561acf
342-U1409A-11H-2-W 110/112-FORAM,342,U1409,A,11,11-2,H,2,W,110/112-FORAM,0,2,89.2,89.22,VG,P,,,,,,,,342-U1409A-11H-2-W 110/112-FORAM,3789d4b457a62390527562d291b980a9
342-U1409A-11H-5-W 110/112-FORAM,342,U1409,A,11,11-5,H,5,W,110/112-FORAM,0,2,93.7,93.72,VG,P,,,,,,,,342-U1409A-11H-5-W 110/112-FORAM,8297e8a04dfe3e4ec3a3a79771a47a8f
342-U1409A-12H-2-W 120/122-FORAM,342,U1409,A,12,12-2,H,2,W,120/122-FORAM,0,2,98.8,98.82,VG,P,,,,,,,,342-U1409A-12H-2-W 120/122-FORAM,0f277426b32ee62129c7fd1e7bf26d05
342-U1409A-12H-4-W 41/43-FORAM,342,U1409,A,12,12-4,H,4,W,41/43-FORAM,0,2,101.01,101.03,VG,P,,,,,,,,342-U1409A-12H-4-W 41/43-FORAM,e1ebdb09538db7c8e83b68d8ac30a8e3
342-U1409A-13H-2-W 100/102-FORAM,342,U1409,A,13,13-2,H,2,W,100/102-FORAM,0,2,108.13,108.15,VG,P,,,,,,,,342-U1409A-13H-2-W 100/102-FORAM,8493028a2d2a7b477df2afd02048a05f
342-U1409A-13H-5-W 100/102-FORAM,342,U1409,A,13,13-5,H,5,W,100/102-FORAM,0,2,112.64,112.66,VG,P,,,,,,,,342-U1409A-13H-5-W 100/102-FORAM,a30a47cea23bb89d5e3cf6ad32ab6ba1
342-U1409A-14H-2-W 110/112-FORAM,342,U1409,A,14,14-2,H,2,W,110/112-FORAM,0,2,117.7,117.72,VG,P,,,,,,,,342-U1409A-14H-2-W 110/112-FORAM,b80cd0acf615f44b68576f165cab9e07
342-U1409A-14H-5-W 110/112-FORAM,342,U1409,A,14,14-5,H,5,W,110/112-FORAM,0,2,122.2,122.22,G,P,,,,,,,,342-U1409A-14H-5-W 110/112-FORAM,37aaca675ace16752ea0927fd8ad9793
342-U1409A-17X-1-W 114/116-FORAM,342,U1409,A,17,17-1,X,1,W,114/116-FORAM,0,2,128.14,128.16,G,A,,,,,,,,342-U1409A-17X-1-W 114/116-FORAM,a5b93c1a5f5c88c38c6d58669db2b78d
342-U1409A-17X-2-W 114/116-FORAM,342,U1409,A,17,17-2,X,2,W,114/116-FORAM,0,2,129.64,129.66,VG,P,,,,,,,,342-U1409A-17X-2-W 114/116-FORAM,8fd6ea1fc819787241da60a66cd66baf
342-U1409A-18X-2-W 118/120-FORAM,342,U1409,A,18,18-2,X,2,W,118/120-FORAM,0,2,134.28,134.3,VG,P,,,,,,,,342-U1409A-18X-2-W 118/120-FORAM,6cf81dbd97d1152122156922a686c79e
342-U1409A-18X-4-W 94/96-FORAM,342,U1409,A,18,18-4,X,4,W,94/96-FORAM,0,2,137.04,137.06,G,P,,,,,,,,342-U1409A-18X-4-W 94/96-FORAM,a3bcc400b1ba7f1bb407999acfd1ce79
342-U1409A-20X-2-W 110/112-FORAM,342,U1409,A,20,20-2,X,2,W,110/112-FORAM,0,2,153.4,153.42,G,P,,,,,,,,342-U1409A-20X-2-W 110/112-FORAM,7cf8921df3edec85bf9491670411d8c1
342-U1409A-20X-5-W 114/115-FORAM,342,U1409,A,20,20-5,X,5,W,114/115-FORAM,0,1,157.94,157.95,M,P,,,,,,,,342-U1409A-20X-5-W 114/115-FORAM,19bdc6778895dd1aebf0ae06b9a454ff
342-U1409A-21X-1-W 133/134-FORAM,342,U1409,A,21,21-1,X,1,W,133/134-FORAM,0,1,161.73,161.74,G,P,,,,,,,,342-U1409A-21X-1-W 133/134-FORAM,846febb85c703ec35006dcd8a70af6a0
342-U1409A-22X-4-W 100/102-FORAM,342,U1409,A,22,22-4,X,4,W,100/102-FORAM,0,2,175.5,175.52,G,P,,,,,,,,342-U1409A-22X-4-W 100/102-FORAM,0e88fc93ea31b6a8fca6abc8d4926af7
342-U1409A-23X-2-W 107/108-FORAM,342,U1409,A,23,23-2,X,2,W,107/108-FORAM,0,1,182.17,182.18,P,F,,,,,,,,342-U1409A-23X-2-W 107/108-FORAM,fa4ffe62f52eb0656715ffd0d9479ff8
342-U1409A-23X-5-W 101/102-FORAM,342,U1409,A,23,23-5,X,5,W,101/102-FORAM,0,1,186.61,186.62,M,P,,,,,,,,342-U1409A-23X-5-W 101/102-FORAM,c2a586f8986ec6f4c9e79722934efa55
342-U1409A-24X-2-W 84/85-FORAM,342,U1409,A,24,24-2,X,2,W,84/85-FORAM,0,1,191.54,191.55,M,P,,,,,,,,342-U1409A-24X-2-W 84/85-FORAM,a615aedb95ff7e2981764aa93cd28c55
342-U1409A-24X-5-W 59/60-FORAM,342,U1409,A,24,24-5,X,5,W,59/60-FORAM,0,1,195.79,195.8,M,P,,,,,,,,342-U1409A-24X-5-W 59/60-FORAM,c03f9f95b698ac693c75c8bdc614b3bd
