Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,
339-U1390A-1H-CC-PAL-NANNO,339,U1390,A,1,1-CC,H,CC,PAL,NANNO,0,5,3.58,3.63,G ,A ,,,,,R ,F ,F ,F ,,,,,,,,,,R ,C ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,P ,F ,,,F ,F ,F ,,A ,,,F ,,,,,,,,,,F ,,,,,,,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,F ,,,
339-U1390A-2H-CC-PAL-NANNO,339,U1390,A,2,2-CC,H,CC,PAL,NANNO,0,5,13.4,13.45,M-P ,A ,,,,,,,,R ,,,,,,,,,,,F ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,C ,F ,,,C ,,,,A ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,
339-U1390A-3H-CC-PAL-NANNO,339,U1390,A,3,3-CC,H,CC,PAL,NANNO,0,5,22.88,22.93,M-P ,C ,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,,,F ,,,,C ,,,F ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,
339-U1390A-4H-CC-PAL-NANNO,339,U1390,A,4,4-CC,H,CC,PAL,NANNO,0,5,32.25,32.3,M-P ,A ,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,,,F ,,,,C ,,,C ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,
339-U1390A-5H-CC-PAL-NANNO,339,U1390,A,5,5-CC,H,CC,PAL,NANNO,0,5,41.09,41.14,M-P ,A ,,,,,,R ,,R ,,,,,,,,,,R ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,C ,,,P ,C ,,F ,,C ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1390A-6H-CC-PAL-NANNO,339,U1390,A,6,6-CC,H,CC,PAL,NANNO,0,5,50.95,51,G ,VA ,,,,,,F ,,F ,,,,,,,,,,,F ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,,,A ,,,,A ,,,F ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,
339-U1390A-7H-CC-PAL-NANNO,339,U1390,A,7,7-CC,H,CC,PAL,NANNO,0,5,61.22,61.27,G ,A ,,,,,,F ,,R ,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,,P ,C ,F ,F ,,C ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,R ,,,
339-U1390A-8H-CC-PAL-NANNO,339,U1390,A,8,8-CC,H,CC,PAL,NANNO,0,5,70.48,70.53,G ,VA ,,,,,,F ,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,R ,,,,A ,,R ,,A ,,,F ,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,R ,,,
339-U1390A-9H-CC-PAL-NANNO,339,U1390,A,9,9-CC,H,CC,PAL,NANNO,0,5,76.65,76.7,G ,VA ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,R ,,,,,,,C ,,,F ,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,R ,,,
339-U1390A-10X-CC-PAL-NANNO,339,U1390,A,10,10-CC,X,CC,PAL,NANNO,0,5,84.32,84.37,G ,VA ,,,,,,,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,VA ,,C ,,,F ,,,,,,,,,,,R ,,,,,,,,,,,,,F ,,,,,,,,,,,,R ,,,,,,,,,
