Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,PF Group Abundance,Beella digitata,Beella praedigitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Clavatorella nicobarensis,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globosa,Dentoglobigerina praedehiscens,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella kugleri,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina falconensis,Globigerina glutinata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina rubescens,Globigerina umbilicata,Globigerinatella insueta,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella pseudobesa,Globigerinita iota,Globigerinoides altiaperturus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides elongatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconella conoidea,Globoconella conomiozea,Globoconella incognita,Globoconella inflata,Globoconella miozea,Globoconella nana,Globoconella panda,Globoconella praescitula,Globoconella puncticulata,Globoconella sphericomiozea,Globoconella zealandica,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia bermudezi,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia menardii,Globorotalia merotumida,Globorotalia paralenguaensis,Globorotalia plesiotumida,Globorotalia scitula,Globorotalia theyeri,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagonus,Globorotaloides suteri,Globorotaloides variabilis,Hastigerina pelagica,Hastigerinopsis riedeli,Hirsutella challengeri,Hirsutella cibaoensis,Hirsutella hirsuta,Hirsutella juanai,Hirsutella margaritae,"Hirsutella scitula (Brady, 1882)",Jenkinsella acrostoma,Jenkinsella bella,Jenkinsella mayeri,Jenkinsella semivera,Jenkinsella siakensis,Menardella archeomenardii,Menardella exilis,Menardella limbata,Menardella menardii,Menardella miocenica,Menardella multicamerata,Menardella pertenuis,Menardella praemenardii,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina universa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina transitoria,Protentella prolixa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis (dex.),Pulleniatina primalis (sin.),Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Streptochilus globigerum,Tenuitella anfracta,Tenuitella clemenciae,Tenuitella munda,Truncorotalia cavernula,Truncorotalia crassaformis,Truncorotalia crassula,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Turborotalita cristata,Turborotalita humilis,Zeaglobigerina apertura,Zeaglobigerina brazieri,Zeaglobigerina connecta,Zeaglobigerina decoraperta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina woodi,PF Comment,File Data,eodp_id
340-U1394A-1H-CC-PAL-FORAMP,340,U1394,A,1,1-CC,H,CC,PAL,FORAMP,0,0,4.8,4.8,G,D,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,R,,,,F,,,,,,,,,R,A,A,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,ade851504bb98913a1ff0619289a7fda
340-U1394A-2H-CC-PAL-FORAMP,340,U1394,A,2,2-CC,H,CC,PAL,FORAMP,0,0,14.55,14.55,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,R,,,,,,,,R,,R,,,,,,,,,,,F,A,F,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,R,,,R,,,,,,,,,,,,,,,R,,R,P,,,,,,,,,,,,,e86d4a83e0011a3a251295c16792e4f6
340-U1394A-3H-CC-PAL-FORAMP,340,U1394,A,3,3-CC,H,CC,PAL,FORAMP,0,0,23.67,23.67,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,R,,R,,,,,,,,,P,,R,A,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,3c570ddb0701f8513bdadffca7df5775
340-U1394A-4H-CC-PAL-FORAMP,340,U1394,A,4,4-CC,H,CC,PAL,FORAMP,0,0,23.85,23.85,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,f4ef596b99834da37b3c72fba2c3931b
340-U1394A-7X-CC-PAL-FORAMP,340,U1394,A,7,7-CC,X,CC,PAL,FORAMP,0,0,43.47,43.47,G,D,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,A,,,R,,,,,,,,,F,,A,,,,,,,,,,,F,A,A,,,,,,,,,,,,,,,,,,,,P,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,f9d988473fb47255a4eb549cc6794d75
340-U1394A-9X-CC-PAL-FORAMP,340,U1394,A,9,9-CC,X,CC,PAL,FORAMP,0,0,63.14,63.14,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,F,,,A,,,R,,,,,,,,,R,,F,,,,,,,,,,,A,D,A,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,P,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,P,,,,,P,,,,,,,,,P,R,,,R,,,,,,,,,,,,,3907f545ecfc21219cbf2979bbd76393
340-U1394A-10X-CC-PAL-FORAMP,340,U1394,A,10,10-CC,X,CC,PAL,FORAMP,0,0,72.41,72.41,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,P,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,888c26adb8ac4926a6785de271d2edd3
340-U1394A-13X-CC-PAL-FORAMP,340,U1394,A,13,13-CC,X,CC,PAL,FORAMP,0,0,100.96,100.96,M,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,F,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,196ae9cae0bd5390a2b49fd5b4cc993c
340-U1394A-14X-CC-PAL-FORAMP,340,U1394,A,14,14-CC,X,CC,PAL,FORAMP,0,0,112.83,112.83,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,befdedaf934565ae1b0a2072eaf43c8d
340-U1394A-15X-CC-PAL-FORAMP,340,U1394,A,15,15-CC,X,CC,PAL,FORAMP,0,0,120.78,120.78,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,b9b57d1589c44948e9677b307511af1f
340-U1394A-16X-CC-PAL-FORAMP,340,U1394,A,16,16-CC,X,CC,PAL,FORAMP,0,0,132.48,132.48,M,D,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,R,,,,,,,,,,,,D,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,d0a1db5d55ed90af1eb9231d5b5626c3
340-U1394A-17X-CC-PAL-FORAMP,340,U1394,A,17,17-CC,X,CC,PAL,FORAMP,0,0,148.01,148.01,M,D,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,P,,,F,,,,,,,,,F,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,209e70718f6721d48755ad9aa662a514
340-U1394A-18X-CC-PAL-FORAMP,340,U1394,A,18,18-CC,X,CC,PAL,FORAMP,0,0,154.95,154.95,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,R,,,,,P,,,,,,,,,,,P,R,,,,,,,,,,,,,,890604cdc120d8203d2af5265b272785
