Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Abundance,Ahmuellerella octoradiata,Ahmuellerella regularis,Amphizygus brooksii,Amphizygus minimus,Arkhangelskiella confusa,Arkhangelskiella cymbiformis,Arkhangelskiella maastrichtiana,Arkhangelskiella sp.,Aspidolithus parcus,Aspidolithus parcus constrictus,Aspidolithus parcus parcus,Assipetra infracretacea,Assipetra terebrodentarius,Axopodorhabdus albianus,Axopodorhabdus cylindratus,Axopodorhabdus dietzmannii,Biantholithus sparsus,Biscutum,Biscutum constans,Biscutum coronum,Biscutum dissimilis,Biscutum dorsetensis,Biscutum ellipticum,Biscutum melaniae,Biscutum notaculum,Biscutum sp.,Braarudosphaera africana,Braarudosphaera bigelowii,Braarudosphaera hockwoldensis,Braarudosphaera turbinea,Braloweria boletiformis,Broinsonia cenomanica,Broinsonia enormis,Broinsonia furtiva,Broinsonia galloisii,Broinsonia matalosa,Broinsonia parca,Broinsonia parca ssp constricta,Broinsonia signata,Broinsonia verecundia,Broinsonia viriosa,Bukrylithus ambiguus,Calcicalathina alta,Calcicalathina oblongata,Calciosolenia fossilis,Calculites obscurus,Calculites percenis,Calyculus,Ceratolithina,Ceratolithoides aculeus,Ceratolithoides arcuatus,Ceratolithoides,Ceratolithoides indiensis,Ceratolithoides kamptneri,Ceratolithoides longissimus,Ceratolithoides perangustus,Ceratolithoides pricei,Ceratolithoides prominens,Ceratolithoides quasiarcuatus,Ceratolithoides sagittus sp.,Ceratolithoides self-trailiae,Ceratolithoides sesquipedalis,Ceratolithoides ultimus,Ceratolithoides verbeekii,Chiastozygus,Chiastozygus litterarius,Chiastozygus platyrhethus,Chiastozygus spissus,Chiastozygus trabalis,Cleistorhabdus williamsii,Clepsilithus maculosus,Conusphaera mexicana mexicana,Conusphaera mexicana minor,Conusphaera mexicana,Conusphaera rothii,Conusphaera,Corollithion exiguum,Corollithion kennedyi,Corollithion madagaskarensis,Corollithion signum,Crepidolithus burwellensis,Crepidolithus crassus,Crepidolithus,Crepidolithus parvulus,Cretarhabdus angustiforatus,Cretarhabdus conicus,Cretarhabdus crenulatus,Cretarhabdus striatus,Cribrocorona echinus,Cribrocorona gallica,Cribrosphaerella ehrenbergii,Crucibiscutum bosunensis,Crucibiscutum hayi,Crucibiscutum salebrosum,Crucicribrum anglicum,Cruciellipsis cuvillieri,Cyclagelosphaera argoensis,Cyclagelosphaera brezae,Cyclagelosphaera deflandrei,Cyclagelosphaera jiangii,Cyclagelosphaera margerelii,Cyclagelosphaera reinhardtii,Cyclagelosphaera rotaclypeata,Cylindralithus biarcus,Cylindralithus,Cylindralithus nieliae,Cylindralithus nudus,Cylindralithus sculptus,Cylindralithus serratus,Diadorhombus rectus,Diazomatolithus lehmanii,Diloma primitiva,Eifellithus hancockii,Eifellithus,Eiffellithus eximius,Eiffellithus gorkae,Eiffellithus monechiae,Eiffellithus parallelus,Eiffellithus primus,Eiffellithus striatus,Eiffellithus turriseiffelii,Eiffellithus windii,Eprolithus antiquus,Eprolithus apertior,Eprolithus floralis,Eprolithus moratus,Eprolithus octopetalus,Ethmorhabdus hauterivianus,Flabellites oblongus,Florisphaera profunda,Gaarderella granulifera,Gartnerago chiasta,Gartnerago nanum,Gartnerago obliquum,Gartnerago ponticula,Gartnerago praeobliquum,Gartnerago segmentatum,Gartnerago stenostaurion,Gartnerago theta,Grantarhabdus bukryi,Grantarhabdus coronadventis,Grantarhabdus meddii,Haqius circumradiatus,Haqius ellipticus,Haqius peltatus sp.,Hayesites albiensis,Hayesites irregularis,Helenea chiastia,Helenea conus,Helenea quadrata,Helenea staurolithina,Helicolithus anceps,Helicolithus compactus,Helicolithus leckiei,Helicolithus trabeculatus,Hemipodorhabdus gorkae,Hexalithus gardetiae,Hexapodorhabdus cuvillieri,Kamptnerius magnificus,Kokia borealis,Kokia curvata,Kokia stellata,Laguncula dorotheae,Lapideacassis asymmetrica,Lapideacassis,Lapideacassis cornuta,Lapideacassis glans,Lapideacassis mariae,Lapideacassis tricornus,Lithastrinus grillii,Lithastrinus quadricuspis,Lithastrinus septenarius,Lithraphidites acutus,Lithraphidites alatus,Lithraphidites bollii,Lithraphidites carniolensis,Lithraphidites praequadratus,Lithraphidites pseudoquadratus,Lithraphidites quadratus,Loxolithus armilla,Loxolithus,Loxolithus thiersteinii,Lucianorhabdus cayeuxii,Lucianorhabdus maleformis,Manivitella pemmatoidea,Markalius inversus,Marthasterites furcatus,Mattiola furva sp.,Micrantholithus,Micrantholithus hoschulzii,Micrantholithus obtusus,Microrhabdulus belgicus,Microrhabdulus decoratus,Microrhabdulus helicoideus,Microrhabdulus undosus,Micula adumbrata,Micula clypeata,Micula cubiformis,Micula decussata,Micula murus,Micula praemurus,Micula premolisilvae,Micula prinsii,Micula staurophora,Micula swastica,Micula,Miravetesina favula,Miravetesina ficula,Misceomarginatus pleniporus,Nannoconus abundans,Nannoconus,Nannoconus ligius,Nannoconus sp.,Nannoconus steinmannii,Nannoconus steinmannii minor,Nannoconus steinmannii steinmannii,Nannoconus truitti,Neocrepidolithus cohenii,Nephrolithus frequens,Nephrolithus,Octolithus multiplus,Owenia dispar,Perchnielsenella stradneri,Percivalia fenestrata,Perissocyclus plethotretus,Petrobrasiella bownii,Pickelhaube furtiva,Placozygus fibuliformis,Pleurochrysis,Podorhabdus grassei,Polycostella beckmannii,Prediscosphaera arkhangelskyi,Prediscosphaera columnata,Prediscosphaera cretacea,Prediscosphaera grandis,Prediscosphaera incohatus,Prediscosphaera majungae,Prediscosphaera microrhabdulina,Prediscosphaera ponticula,eodp_id
330-U1374A-2R-4-W 32/32-NANNO 1 LT-NANNO,330,U1374,A,2,2-4,R,4,W,32/32-NANNO 1 LT-NANNO,0,0,13.75,13.75,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e9a70a1dab1848d2f1c83c4c7922dd57
330-U1374A-2R-4-W 32/32-NANNO 2 DK-NANNO,330,U1374,A,2,2-4,R,4,W,32/32-NANNO 2 DK-NANNO,0,0,13.75,13.75,,P[330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bff38bea3a0fe7624978895ec10feec8
330-U1374A-3R-1-W 70/70-NANNO 1-NANNO-NANNO,330,U1374,A,3,3-1,R,1,W,70/70-NANNO 1-NANNO-NANNO,0,0,15.1,15.1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66be06f7c82c2ea491f0f316f774ed15
330-U1374A-3R-1-W 70/70-NANNO 2-NANNO,330,U1374,A,3,3-1,R,1,W,70/70-NANNO 2-NANNO,0,0,15.1,15.1,,P[330],,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,2df934fc71ce7f502ed85291c8b545de
