Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comment,File Data,eodp_id
339-U1387A-1H-CC-PAL-FORAM,339,U1387,A,1,1-CC,H,CC,PAL,FORAM,0,5,5.02,5.07,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,16d105d3a2e7b5280aa283e3a3249fcc
339-U1387A-3H-CC-PAL-FORAM,339,U1387,A,3,3-CC,H,CC,PAL,FORAM,0,4,24.27,24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,3f0184be84ae8faf0872e54ad980acb5
339-U1387A-5H-CC-PAL-FORAM,339,U1387,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.64,42.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,785463c074277a0a25ba37bc488faa46
339-U1387A-7X-CC-PAL-FORAM,339,U1387,A,7,7-CC,X,CC,PAL,FORAM,0,5,52.51,52.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,33d2ddee2d92b106ea12c23bfffad611
339-U1387A-9X-CC-PAL-FORAM,339,U1387,A,9,9-CC,X,CC,PAL,FORAM,0,4,74.72,74.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,2db0a8acafacc767e027d20d29ec4707
339-U1387A-11X-6-PAL-FORAM,339,U1387,A,11,11-6,X,6,PAL,FORAM,0,5,92.37,92.42,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,76be2d4650c909f27d152da37437425a
339-U1387A-13X-CC-PAL-FORAM,339,U1387,A,13,13-CC,X,CC,PAL,FORAM,0,5,113.34,113.39,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,ade0c1bd8db7233e6ead4e566ca0c574
339-U1387A-15X-CC-PAL-FORAM,339,U1387,A,15,15-CC,X,CC,PAL,FORAM,0,5,132.38,132.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,R,,R,R,,,,05178f1015cd654b848a5aae19643104
339-U1387A-17X-CC-PAL-FORAM,339,U1387,A,17,17-CC,X,CC,PAL,FORAM,0,5,151.28,151.33,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,46fc8053c2ceeaf47180ca4e931fdd1e
339-U1387A-19X-CC-PAL-FORAM,339,U1387,A,19,19-CC,X,CC,PAL,FORAM,0,5,170.6,170.65,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,7045398f36e1022db1bf98339e4844c1
