Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,Unnamed: 23,eodp_id
342-U1410A-4H-1-W 100/102-FORAM,342,U1410,A,4,4-1,H,1,W,100/102-FORAM,0,2,28.5,28.52,G [P21],F,,,,,,,,,7028ad9c752ba13f33753d6262400abc
342-U1410A-4H-2-W 100/102-FORAM,342,U1410,A,4,4-2,H,2,W,100/102-FORAM,0,2,30.0,30.02,M [P21],F,,,,,,,,,effa845f1e2c5197ff8e76e288e2ac06
342-U1410A-4H-3-W 100/102-FORAM,342,U1410,A,4,4-3,H,3,W,100/102-FORAM,0,2,31.5,31.52,G [P21],F,,,,,,,,,d185ff14137734d7359dd5f3c35b92ff
342-U1410A-4H-4-W 100/102-FORAM,342,U1410,A,4,4-4,H,4,W,100/102-FORAM,0,2,33.0,33.02,M [P21],P,,,,,,,,,b345818fe0c6972d22475303f249fc5a
342-U1410A-4H-5-W 100/102-FORAM,342,U1410,A,4,4-5,H,5,W,100/102-FORAM,0,2,34.5,34.52,P [P21],F,,,,,,,,,7b5b87c82fa4de9935c4d88f030106db
342-U1410A-4H-6-W 100/102-FORAM,342,U1410,A,4,4-6,H,6,W,100/102-FORAM,0,2,36.0,36.02,G [P21],P,,,,,,,,,ffc391de29ba00a4ddb4931e193cbaca
342-U1410A-5H-1-W 100/102-FORAM,342,U1410,A,5,5-1,H,1,W,100/102-FORAM,0,2,38.0,38.02,M [P21],P,,,,,,,,,beb68c7bacede11ab5480523432d425c
342-U1410A-5H-2-W 100/102-FORAM,342,U1410,A,5,5-2,H,2,W,100/102-FORAM,0,2,39.5,39.52,G [P21],P,,,,,,,,,49199df706bb3be4abf681ae2a7a63ca
342-U1410A-5H-3-W 100/102-FORAM,342,U1410,A,5,5-3,H,3,W,100/102-FORAM,0,2,41.0,41.02,M [P21],P,,,,,,,,,200239c9a910277bf8f10aa17768544b
342-U1410A-5H-4-W 100/102-FORAM,342,U1410,A,5,5-4,H,4,W,100/102-FORAM,0,2,42.5,42.52,,B,,,,,,,,,322fde31814640def5095191088c7691
342-U1410A-5H-5-W 100/102-FORAM,342,U1410,A,5,5-5,H,5,W,100/102-FORAM,0,2,44.0,44.02,,P,,,,,,"only agglutinated speciemns, so no preservation rating",,,d3f75fef97e4090bdc9a176388823e80
342-U1410A-5H-6-W 90/92-FORAM,342,U1410,A,5,5-6,H,6,W,90/92-FORAM,0,2,45.4,45.42,M [P21],P,,,,,,,,,e1da9a21f1beefa6638cdf29a48932ae
342-U1410A-6H-2-W 100/102-FORAM,342,U1410,A,6,6-2,H,2,W,100/102-FORAM,0,2,49.0,49.02,P [P21],D,,,,,,,,,1f04c82ed1a526c622322334b4bcccad
342-U1410A-6H-4-W 100/102-FORAM,342,U1410,A,6,6-4,H,4,W,100/102-FORAM,0,2,52.0,52.02,P [P21],D,,,,,,,,,4bc8de73f0956d3c3efe438d8a18bbb1
342-U1410A-6H-6-W 100/102-FORAM,342,U1410,A,6,6-6,H,6,W,100/102-FORAM,0,2,55.0,55.02,P [P21],D,,,,,,,,,ddd0a9b893a4dc2ef5122f13395ef968
342-U1410A-7H-2-W 100/102-FORAM,342,U1410,A,7,7-2,H,2,W,100/102-FORAM,0,2,58.52,58.54,P [P21],D,,,,,,,,,cfab79d096be4291875e6a3347134624
342-U1410A-7H-5-W 100/102-FORAM,342,U1410,A,7,7-5,H,5,W,100/102-FORAM,0,2,61.89,61.91,M [P21],A,,,,,,,,,7edfe9be83d2f5cda1176daa9b85e1ff
342-U1410A-7H-7-W 100/102-FORAM,342,U1410,A,7,7-7,H,7,W,100/102-FORAM,0,2,64.55,64.57,G [P21],P,,,,,,,,,f2399229542f56d7113ade6322989872
342-U1410A-7H-7-W 28/30-FORAM,342,U1410,A,7,7-7,H,7,W,28/30-FORAM,0,2,63.83,63.85,,B,,,,,,,,,7fa86e73016e7b666b6208971b9df0d2
342-U1410A-8H-1-W 110/112-FORAM,342,U1410,A,8,8-1,H,1,W,110/112-FORAM,0,2,66.6,66.62,G [P21],P,,,,,,,,,310a0640bc6310825da67ee9d675f21e
342-U1410A-8H-2-W 110/112-FORAM,342,U1410,A,8,8-2,H,2,W,110/112-FORAM,0,2,68.1,68.12,VG [P21],P,,,,,,,,,1e2f1de73087300915403b72dadb6a53
342-U1410A-8H-3-W 110/112-FORAM,342,U1410,A,8,8-3,H,3,W,110/112-FORAM,0,2,69.6,69.62,G [P21],P,,,,,,,,,ecfa8671522aab928e715b532fc29eca
342-U1410A-8H-4-W 110/112-FORAM,342,U1410,A,8,8-4,H,4,W,110/112-FORAM,0,2,71.1,71.12,VG [P21],P,,,,,,,,,39ea77761ae9f30247aed4e4e04e3dcf
342-U1410A-8H-5-W 110/112-FORAM,342,U1410,A,8,8-5,H,5,W,110/112-FORAM,0,2,72.6,72.62,G [P21],P,,,,,,,,,70e1e6e996f6ecbaf082a18e332f3613
342-U1410A-8H-6-W 110/112-FORAM,342,U1410,A,8,8-6,H,6,W,110/112-FORAM,0,2,74.1,74.12,G [P21],P,,,,,,,,,894d4718cf4369b9bc7b2df2febc2e59
342-U1410A-9H-2-W 110/112-FORAM,342,U1410,A,9,9-2,H,2,W,110/112-FORAM,0,2,77.6,77.62,VG [P21],P,,,,,,,,,675bcdb1827beec7380d6bc6823ae129
342-U1410A-9H-5-W 110/112-FORAM,342,U1410,A,9,9-5,H,5,W,110/112-FORAM,0,2,81.25,81.27,G [P21],P,,,,,,,,,c856d9a5842d8559b0834602e8d05c39
342-U1410A-10H-2-W 45/47-FORAM,342,U1410,A,10,10-2,H,2,W,45/47-FORAM,0,2,85.45,85.47,G [P21],P,,,,,,,,,7d8b75332df33b4ab28d5690c74ae393
342-U1410A-10H-3-W 90/92-FORAM,342,U1410,A,10,10-3,H,3,W,90/92-FORAM,0,2,86.58,86.6,VG [P21],P,,,,,,,,,ad849cb851910c77360d6a2d6e84d50c
342-U1410A-10H-4-W 90/92-FORAM,342,U1410,A,10,10-4,H,4,W,90/92-FORAM,0,2,88.05,88.07,G [P21],P,,,,,,,,,d23b1b5b5417051dc516baaf9aa3ff19
342-U1410A-10H-5-W 90/92-FORAM,342,U1410,A,10,10-5,H,5,W,90/92-FORAM,0,2,89.15,89.17,G [P21],P,,,,,,,,,9ab501b25276170f6eed9848eaecd3bc
342-U1410A-10H-6-W 90/92-FORAM,342,U1410,A,10,10-6,H,6,W,90/92-FORAM,0,2,90.55,90.57,VG [P21],P,,,,,,,,,ae412088f57431baf25f92af79cdfbff
