Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Unnamed: 14,Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,eodp_id
342-U1406A-2H-2-W 100/102-PAL,342,U1406,A,2,2-2,H,2,W,100/102-PAL,0,2,8.7,8.72,8.71,VG [P21],P,R,R,A,A,P,,,47d767d8ec0a070be10679921e881db9
342-U1406A-2H-4-W 100/102-PAL,342,U1406,A,2,2-4,H,4,W,100/102-PAL,0,2,11.7,11.72,11.71,VG [P21],P,P,R,A,A,P,,,1f224e8abef2903d4c083821a26eb0df
342-U1406A-2H-5-W 100/102-PAL,342,U1406,A,2,2-5,H,5,W,100/102-PAL,0,2,13.2,13.22,13.21,VG [P21],P,F,A,A,A,A,,,f2835a22d6d4f97d352aeb2c005d3360
342-U1406A-3H-4-W 100/102-PAL,342,U1406,A,3,3-4,H,4,W,100/102-PAL,0,2,21.08,21.1,21.09,VG [P21],P,A,A,F,D,A,,,95727d93049cc17f1be66505e0853d3f
342-U1406A-3H-6-W 100/102-PAL,342,U1406,A,3,3-6,H,6,W,100/102-PAL,0,2,24.08,24.1,24.09,VG [P21],P,F,A,F,D,A,,,2dd54faaa0f5196283d6efb51ef84f74
342-U1406A-4H-2-W 100/102-PAL,342,U1406,A,4,4-2,H,2,W,100/102-PAL,0,2,27.7,27.72,27.71,VG [P21],A,A,A,A,D,A,,,1aebe12fa58b06a6c333f5acf9521b83
342-U1406A-4H-4-W 100/102-PAL,342,U1406,A,4,4-4,H,4,W,100/102-PAL,0,2,30.7,30.72,30.71,VG [P21],P,A,D,R,A,F,,,bdfa90db86768457f77420d8a685f788
342-U1406A-5H-2-W 100/102-PAL,342,U1406,A,5,5-2,H,2,W,100/102-PAL,0,2,37.2,37.22,37.21,VG [P21],A,A,A,F,D,A,,,1543a27574f10d9e81453655eb8ac2ac
342-U1406A-5H-4-W 100/102-PAL,342,U1406,A,5,5-4,H,4,W,100/102-PAL,0,2,40.2,40.22,40.21,VG [P21],P,R,D,F,D,F,,,c8824ea29e71fcafb1bfeef0e4cde4c9
342-U1406A-6H-2-W 100/102-PAL,342,U1406,A,6,6-2,H,2,W,100/102-PAL,0,2,46.7,46.72,46.71,VG [P21],R,A,A,F,A,A,,,494024a4b4c46d4e4c4d2b319efb24e8
342-U1406A-6H-4-W 100/102-PAL,342,U1406,A,6,6-4,H,4,W,100/102-PAL,0,2,49.7,49.72,49.71,VG [P21],R,F,A,F,D,A,,,a1a4af96fc8e6f369561b3cb75043560
342-U1406A-7H-2-W 110/112-FORAM,342,U1406,A,7,7-2,H,2,W,110/112-FORAM,0,2,56.3,56.32,56.31,G [P21],R,A,A,R,D,A,,,db54642927937b19abfe096294156baa
342-U1406A-7H-4-W 110/112-FORAM,342,U1406,A,7,7-4,H,4,W,110/112-FORAM,0,2,59.3,59.32,59.31,VG [P21],R,F,A,F,D,A,,,0d2104de00a04890cbe78e0e5ea0a37f
