Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,eodp_id
341-U1417A,341,U1417,A,,,,,,0,16800,0.0,168.0,E. matuyamai,Eucyrtidium matuyamai,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,C,C,,,,,,,,,,,,d27a2d4d3f3c61803250432962b09bfb
341-U1417A-1H-CC-PAL,341,U1417,A,1,2-CC,H,CC,PAL,0,18,5.43,5.61,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,F,C,,,,,R,,,,C,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,R,,,,R,,C,,F,,,,C,,,,,C,C,,R,,,,,,,,,,,F,,,,F,,,,,2be9ebf824237ffbb4a782eb8a9d1934
341-U1417A-2H-CC-PAL,341,U1417,A,2,2-CC,H,CC,PAL,0,21,15.32,15.53,B. aquilonaris,Botyrostrobus aquilonaris,,M,C,,,,,,,,R,C,,,,,R,,,,A,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,R,,,,R,,C,,F,,,,F,,,,,F,R,,R,,,,,,,,,,,R,,,,F,,,,,bc6d386ce97ab2c8d368ad365af3bfc9
341-U1417A-3H-CC-PAL,341,U1417,A,3,3-CC,H,CC,PAL,0,18,24.62,24.8,B. aquilonaris,Botyrostrobus aquilonaris,"LO Lychnocanoma nipponica sakaii (Morley et Nigrini, 1995)",G,A,,,,,,,,F,A,,,,,R,,,,C,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,C,F,,,,R,,C,,C,,,,C,,,,,C,R,,,,,,,,,,,,,F,,,,F,,,,,505d616f37929b55153cdd3e1f9249f1
341-U1417A-4H-CC-PAL,341,U1417,A,4,4-CC,H,CC,PAL,0,36,34.54,34.9,B. aquilonaris,Botyrostrobus aquilonaris,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88377a15ab4d7a25fe7a89f9211b8d58
341-U1417A-5H-CC-PAL,341,U1417,A,5,5-CC,H,CC,PAL,0,17,42.19,42.36,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,F,F,,,,,R,,,,A,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,F,R,,,,,,,,R,,,,F,,,,,C,F,,R,,,,,,,,,,,R,,,,R,,,,,d22a743780a0e43ce8b14dfeb0e2e452
341-U1417A-6H-CC-PAL,341,U1417,A,6,6-CC,H,CC,PAL,0,18,44.85,45.03,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,F,F,,,,,F,,,,A,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,,C,F,,,,R,,,,R,,,,R,,,,,C,A,,F,,,,,,,,,,,R,,,,C,,,,,8a567bade0bdaf858b47935c3ae034b3
341-U1417A-7H-CC-PAL,341,U1417,A,7,7-CC,H,CC,PAL,0,34,54.92,55.26,B. aquilonaris,Botyrostrobus aquilonaris,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a5cbe4bf299886e6c431147a45d1bc8
341-U1417A-8H-CC-PAL,341,U1417,A,8,8-CC,H,CC,PAL,0,28,56.86,57.14,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,,F,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,R,,,,,R,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,07f68873b95b7192ae88cdf467ac3b2e
341-U1417A-9H-CC-PAL,341,U1417,A,9,9-CC,H,CC,PAL,0,17,65.87,66.04,B. aquilonaris,Botyrostrobus aquilonaris,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df2c965ccd70b299855214af61a81182
