Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Abundance,Preservation,Amaurolithus delicatus,Amaurolithus primus,Arkhangelskiella sp.,Amaurolithus tricorniculatus,Biantholithus sparsus,Bomolithus elegans,Bramletteus serrculoides,Camplyosphera eodela,Calcidiscus leptoporus ,Calcidiscus mcintyrei,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus  rugosus,Ceratolithus telesmus,Chiasmolithus bidens,Chiasmolithus consuetus,Chiasmolithus danicus,Chiasmolithus expansus,Chiasmolithus gigas,Chiasmolithus grandis,Chiasmolithus oamuruensis,Chiasmolithus solitus,Coccolithus eopelagicus,Coccolithus miopelagicus,Coccolithus pelagicus,Cribrocentrum reticulatum,Cruciplacolithus nitidus,Cruciplacolithus primus,Cyclicargolithus abisectus,Cyclicargolithus floridans,Cyclogalesphaera alta,Dictyococcites bisectus,Dictyococcites daviesii,Discoaster adamanteus,Discoaster asymetricus,Discoaster barbadensis,Discoaster bellus,Discoaster bergrenii,Discoaster bifax,Discoaster bolli,Discoaster braarudi,Discoaster brouwerii,Discoaster challengerii,Discoaster deflandreii,Discoaster diastypus,Discoaster druggi,Discoaster exilis,Discoaster hamatus,Discoaster kuglerii,Discoaster kuepperii,Discoaster lodoensis,Discoaster loeblichi,Discoaster mendomobensis,Discoaster mohleri,Discoaster moori,Discoaster multiradiatus,Discoaster musicus,Discoaster neohamatus,Discoaster nobilis,Discoaster nodifer,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster quintatus,Discoaster saipanensis,Discoaster signus,Discoaster strictus,Discoaster sublodoensis,Discoaster tamalus,Discoaster tanii,Discoaster variabilis,Eiffellithus gorkae,Eiffellithus turriseiffelii,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia cava,Ericsonia formosa,Ericsonia insolita,Ericsonia ovalis,Ericsonia robusta,Fasciculithus alanii,Fasciculithus pileatus,Fasciculithus typaniformis,Gephyrocapsa sp.,Gyphyrocapsa caribbeanica,Gyphyrocapsa oceania,Heliolithus klienpelli,Hayaster perplexus,Helicosphaera ampliaperta,Helicosphera inversa,Helicosphaera kamptnerii,Helicosphaera recta,Helicosphaera sellii,Illselithina fusa,Isthmolithus recurvus,Lanternolithus minutus,Lophodolithus nascens,Markalius astroporus,Micrantholithus flos,Micula concava ,Micrantholithus inequalaris,Micrantholithus pinguis,Neochiastozygus perfectus,Nephrolithus frequens ,Neochiastozygus primitivus,Orthorhabdulus serratus,Pontesphaera multipora,Prinsius dimorphus,Prinsius bisulcus,Prinsius martini,Psuedoemiliania annula,Psuedoemiliania lacunosa,Psuedotriquetrorhabdus inversus,Reticulafenestra dictyoda,Reticulafenestra gartnerii,Reticulafenestra hillae,Reticulafenestra minuta,Reticulafenestra oamaruensis,Reticulafenestra perplexa,Reticulafenestra psuedoumbilica,Reticulafenestra rotaria,Reticulafenestra umbilica,Reticulafenestra samidurovii,Rhabdospaera claviger,Rhabdospaera inflata,Sphenolithus anarrhopus,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus ciperoensis,Sphenolithus conspicuous,Sphenolithus delphix,Sphenolithus distentus,Sphenolithus dissimilis,Sphenolithus furcatalithoides,Sphenolithus heteromorpha,Sphenolithus neoabies,Sphenolithus orphanknollensis,Sphenolithus predistentus,Sphenolithus primus,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus stellatus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius pertusis,Tranversipontus obliquipons,Tranversipontus pulcher,Triquetrorhabdus rugosus,Triquetrorhabdus carniatus,Umbilicosphaera sigbogae,Comment,FileData
330-U1373A-1R-3-PAL,330,U1373,A,1,1-3,R,3,PAL,,0,2,2.43,2.45,,,,,,,,,,,F,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,C,R,R,,,,,F,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330-U1373A-1R-3-PAL-NANNO-NANNO,330,U1373,A,1,1-3,R,3,PAL,NANNO-NANNO,0,0,2.43,2.43,,M,,,,,,,,,F,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,C,R,R,,,,,F,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
