Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1391C-2R-CC-PAL-FORAM,339,U1391,C,2,2-CC,R,CC,PAL,FORAM,0,5,345,345.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,60327c4c279195a0cf317a7f80cb60f4
339-U1391C-3R-CC-PAL-FORAM,339,U1391,C,3,3-CC,R,CC,PAL,FORAM,0,5,354.48,354.53,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,,,,,,,eb168bcb0060b500631a7b7545c016f9
339-U1391C-4R-CC-PAL-FORAM,339,U1391,C,4,4-CC,R,CC,PAL,FORAM,0,7,357.91,357.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,9a42e18b0933c6077678eaedf603320f
339-U1391C-5R-CC-PAL-FORAM,339,U1391,C,5,5-CC,R,CC,PAL,FORAM,0,5,374.48,374.53,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,R,,,,1a751e07eaf454bcbabbe6c405dfc902
339-U1391C-6R-CC-PAL-FORAM,339,U1391,C,6,6-CC,R,CC,PAL,FORAM,0,5,377.32,377.37,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,b64624a66a3521e96d620ec633634c8c
339-U1391C-7R-CC-PAL-FORAM,339,U1391,C,7,7-CC,R,CC,PAL,FORAM,0,5,391.44,391.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,41a2bbc693230e3d9621449db2112c25
339-U1391C-8R-CC-PAL-FORAM,339,U1391,C,8,8-CC,R,CC,PAL,FORAM,0,5,399.87,399.92,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,5191d2698ca62a6ed3b0ff03c1482327
339-U1391C-10R-CC-PAL-FORAM,339,U1391,C,10,10-CC,R,CC,PAL,FORAM,0,5,419.55,419.6,,,,,,R,,,P,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,6abd8273376178819988a0571f8c87ac
339-U1391C-12R-CC-PAL-FORAM,339,U1391,C,12,12-CC,R,CC,PAL,FORAM,0,5,441.6,441.65,,,P,,,P,P,,R,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,63d258a474812fe720e1fdc328231800
339-U1391C-14R-CC-PAL-FORAM,339,U1391,C,14,14-CC,R,CC,PAL,FORAM,0,5,460.79,460.84,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,F,,,,,,,,P,,,,3f2baab4809392095ec47febedb3ee29
339-U1391C-16R-CC-PAL-FORAM,339,U1391,C,16,16-CC,R,CC,PAL,FORAM,0,5,478.47,478.52,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,,,R,,,,,,,,,P,,,90d31d2847929e86ee45be1dfd64bf72
339-U1391C-18R-CC-PAL-FORAM,339,U1391,C,18,18-CC,R,CC,PAL,FORAM,0,9,498.66,498.75,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,d8486f57ca605a67bdf58087e6067551
339-U1391C-20R-CC-PAL-FORAM,339,U1391,C,20,20-CC,R,CC,PAL,FORAM,0,5,511.47,511.52,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,c5c12f3a8fd020823e7ee3b49c77e9ba
339-U1391C-22R-CC-PAL-FORAM,339,U1391,C,22,22-CC,R,CC,PAL,FORAM,0,5,537.17,537.22,,,,,,P,P,,,,,,,,,,,,,,,P,,,,,,,,,P,P,,,,,,,,,,,,b945155882062b239098f2b098d13d9f
339-U1391C-24R-CC-PAL-FORAM,339,U1391,C,24,24-CC,R,CC,PAL,FORAM,0,5,556.57,556.62,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,fe9d4a4414612f3f17e1594bd68a0991
339-U1391C-25R-CC-PAL-FORAM,339,U1391,C,25,25-CC,R,CC,PAL,FORAM,0,5,566.05,566.1,,,,,,,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,8ec420ea8bd4957036b733ef80ff5d8f
339-U1391C-27R-CC-PAL-FORAM,339,U1391,C,27,27-CC,R,CC,PAL,FORAM,0,5,584.14,584.19,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,6dc1e90a5a8198aa6aad2edc95862f62
339-U1391C-31R-CC-PAL-FORAM,339,U1391,C,31,31-CC,R,CC,PAL,FORAM,0,6,623.39,623.45,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,b9f45a6c6ec1b7fdb1f28d69f83f69ee
339-U1391C-33R-6-PAL-FORAM,339,U1391,C,33,33-6,R,6,PAL,FORAM,0,5,641.55,641.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,f22bca67225369914b551604523bb3d4
339-U1391C-36R-CC-PAL-FORAM,339,U1391,C,36,36-CC,R,CC,PAL,FORAM,0,5,670.93,670.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,P,,,,,,,,,,0dff069469bec5d4354e74da222491c6
