Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,calcispheres,Biantholithus sparsus,Cribrosphaerella daniae,Micula prinsii,Ceratolithoides kamptneri,Nephrolithus frequens,Micula murus,Cribrocorona gallica,Lithraphidites quadratus,Reinhardtites levis,Tranolithus orionatus,Uniplanarius trifidus,Broinsonia parca constricta,Eiffellithus eximius,Acuturris scotus,Ahmuellerella regularis,Arkhangelskiella confusa,Arkhangelskiella cymbiformis,Arkhangelskiella maastrichtiana,Biscutum coronum,Biscutum magnum,Calculites obscurus,Ceratolithoides ultimus,Ceratolithoides spp.,Chiastozygus amphipons,Chiastozygus litterarius,Corollithion exiguum,Corollithion completum,Cretarhabdus conicus,Cribrosphaerella ehrenbergii,Cylindralithus echinus,Cylindralithus nudus,Cylindralithus serratus,Discorhabdus ignotus,Eiffellithus turriseiffelii,Gartnerago segmentatum,Gorkaea pseudoanthophorus,Helicolithus anceps,Helicolithus trabeculatus,Loxolithus armilla,Manivitella pemmatoidea,Markalius inversus,Micula praemurus,Micula staurophora,Micula swastika,Misceomarginatus pleniporus,Lithraphidites carniolensis,Nephrolithus miniporus,Microrhabdulus spp.,Monomarginatus quaternarius,Neocrepidolithus cruciatus,Neocrepidolithus neocrassus,Orastrum campanensis,Perchnielsenella stradneri,Petrarhabdus copulatus,Placozygus fibuliformis,Prediscosphaera cretacea,Prediscosphaera grandis,Prediscosphaera stoveri,Prediscosphaera spinosa,Pseudomicula quadrata,Reinhardtites anthophorus,Retecapsa angustiforata,Retecapsa crenulata,Retecapsa schizobrachiata,Retecapsa surirella,Rhagodiscus angustus,Rhagodiscus indistinctus,Rhagodiscus reniformis,Rucinolithus magnus,Seribiscutum primitivum,Staurolithites spp.,Tegumentum stradneri,Tetrapodorhabdus decorus,Tortolithus caistorensis,Tranolithus minimus,Uniplanarius gothicus,Watznaueria barnesiae,Zeugrhabdotus bricresenticus,Zeugrhabdotus embergeri,Zeugrhabdotus sigmoides,Comments,File Data,eodp_id
342-U1403A-26X-5-W 13/14-NANNO,342,U1403,A,26,26-5,X,5,W,13/14-NANNO,0,1,220.63,220.64,,,,M-G,A,,,,Freq,,,Freq,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8845ceaf9418fcc499cbabcf717cf6d9
342-U1403A-26X-5-W 20/21-NANNO,342,U1403,A,26,26-5,X,5,W,20/21-NANNO,0,1,220.7,220.71,,,,M-G,A,,,,Freq,,Freq,Freq,Freq,,,,,,,,,,C,,,,,,,,,,,,C,,,,,C,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8f1cc6282e8d147a1d8d189873fe47f0
342-U1403A-26X-CC-PAL,342,U1403,A,26,26-CC,X,CC,PAL,,0,5,224.16,224.21,,,,M [P07],A,,,,Freq,,,Freq,Freq,R,,,,,,,,,C,,,,,,Freq,,,,,Freq,C,,,Freq,,Freq,,,,,,,,,C,,,,,C,,,,,,,,C,R,,,R,,,,Freq,,,,,,,,,,,,,C,,,,,,a3dc8e08e77ef31324352eae22cb4990
342-U1403A-27X-CC-PAL,342,U1403,A,27,27-CC,X,CC,PAL,,0,5,233.19,233.24,,,,,A,,,?2,,,,R,R,Freq,,,,,,,,,C,,,,,,Freq,,,,,,C,,,,,Freq,,,,,,,,,C,,,,,C,,,,,,,,C,R,,,C,,,,,,,,,,,,,,,,,C,,,,,,95476b52286b48dd541ebf79314710fb
342-U1403A-28X-CC-PAL,342,U1403,A,28,28-CC,X,CC,PAL,,0,5,242.25,242.3,,,,,,,,,,,,Freq,1,,,,,,,,,,C,,,,,,R,,,,,,Freq,,Freq,Freq,,Freq,,,,,C,,,,C,,,,,C,,,,,1,,,C,R,R,,,,,,,C,,,,,,,,,,,,A,,,,,,181f20e370fc378249b54229ceb1f2ce
