Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Alabaminella sp.,Alabaminella weddellensis,Angulogerina fluens,Astacolus sp.,Astrononion sp.,Astrorhiza sp.,Baggina philippinensis,Bolivina alata,Bolivina decussata,Bolivina pacifica,Bolivina sp.,Bolivina spathulata,Bolivina spissa,Bolivina spp.,Botellina labyrinthica,Brizalina earlandi,Brizalina pygmaea,Buccella frigida,Buccella inusitata,Buccella sp.,Buccella spp.,Bulimina sp.,Bulimina striata,Buliminella elegantissima,Buliminella sp.,Buliminella tenuata,Cassidulina californica,Cassidulina cushmani,Cassidulina laevigata var. carinata,Cassidulina mexicana,Cassidulina sp.,Cassidulina teretis,Cassidulina translucens,Cassidulinoides cornuta,Cassidulinoides parkerianus,Cassidulinoides tenuis,Chilostomella oolina,Chilostomellina frimbriata,Cibicides fletcheri,Cibicides lobatulus,Cibicides mckannai,Cibicides sp.,Cibicides spiralis,Cibicides spp.,Cibicidoides mundulus,Cibicidoides sp.,Cibicidoides subhaidingerii,Cribrostomoides jeffreysii,Cribrostomoides subglobosus,Cyclammina cancellata,Dentalina sp.,Dentalinoides sp.,Discorbis sp.,Dorothia pseudofiliformis,Eggerella advena,Eggerella bradyi,Ehrenbergina sp.,Eilohedra vitrea,Elphidiella sp.,Elphidiellia groenlandica,Elphidium bartletti,Elphidium batialis,Elphidium clavatum,Elphidium excavatum,Elphidium frigidum,Elphidium hughesi,Elphidium sp.,Elphidium spp.,Epistominella pacifica,Epistominella pulchella,Epistominella sp.,Epistominella vitrea,Eponides healdi,Eponides sp.,Eubuliminella exilis,Fissurina lucida,Fissurina sp.,Fursenkoina bradyi,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidina gemma,Gyroidina lamarckiana,Gyroidina spp.,Gyroidinoides soldanii,Gyroidinoides sp.,Haplophragmoides sp.,Haynesina sp.,Hormosinella guttifera,Hyalinonetrion gracillima,Hyperammina sp.,Ioanella sp.,Islandiella norcrossi,Islandiella sp.,Karreriella baccata,Karreriella parkerae,Laevidentalina advena,Lagena elongata,Lagena gracilis,Lagena laevis,Lagena meridionalis,Lagena sp.,Lagena spp.,Lagena striata,Laticarinina pauperata,Lenticulina sp.,Lenticulina spp.,Liebusella soldanii,Martinottiella communis,Melonis barleeanus,Melonis pompilioides,Neugeborina longiscata,Nodosaria aff. pyrula,Nodosaria sp.,Nonion sp.,Nonionella labradorica,Nonionella pulchella,Nonionella sp.,Nonionella spp.,Nonionella turgida,Nonionella turgida digitata,Oolina globosa,Oolina laevigata,Oolina sp.,Oolina spp.,Oridorsalis sp.,Oridorsalis umbonatus,Paratrochammina challengeri,Planulina ariminensis,Planulina wuellerstorfi,Plectofrondicularia sp.,Pleurostomella alternans,Portatrochammina karica,Psammosphaera fusca,Pseudononion auricula,Pullenia bulloides,Pullenia salisburyi,Pullenia sp.,Pygmaeoseistron hispidum,Pyrgo sp.,Pyrgo spp. N/A,Quinqueloculina sp.,Quinqueloculina stalkeri,Reophax dentaliniformis,Reophax pilulifer,Reophax sp.,Reussella sp.,Rhabdammina sp.,Rhizammina algaeformis,Saccammina sp.,Sigmoilina distorta,Sigmoilinita sp.,Sphaeroidina bulloides,Spiroculina sp.,Stainforthia fusiformis,Stainforthia sp.,Subreophax aduncus,Takayanagia delicata,Trichohyalus ornatissimus,Trifarina angulosa,Trifarina sp.,Triloculina sp.,Triloculina trihedra,Trochammina globigeriniformis,Trochammina globorotaliformis,Trochammina sp.,Uvigerina akitaensis,Uvigerina auberiana,Uvigerina cf. proboscidea,Uvigerina juncea,Uvigerina peregrina,Uvigerina senticosa,Uvigerina sp.,Uvigerina spp.,Valvulineria sp.,Veleroninoides sp.,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
341-U1419A-1H-CC-PAL,0,5,7.38,7.43,G [P20],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,D,,,,,,F,,,,,,,,,,,,,P,,,,,,,,,A,,,,,,,,,,,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,A,,,,,,,,,,,,,P,,,,,,P,,,,,A,,,,,,,,,,,,,,341,U1419,A,1,H,CC,PAL,641a0829244bdc0b47c50e39cb8386e6
341-U1419A-2H-CC-PAL,0,5,17.15,17.2,G [P20],A,,,,,,,,,,P,,R,P,,,P,,P,,,,,,,,,,,,,P,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,F,,D,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,341,U1419,A,2,H,CC,PAL,091be4a0c423f0003e96c004a13abcc0
341-U1419A-3H-CC-PAL,0,5,26.6,26.65,G [P20],A,,,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,D,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,341,U1419,A,3,H,CC,PAL,dbec684d14d8ac5131d9f9ebbb35d10a
341-U1419A-5H-CC-PAL,0,1,35.91,35.92,G [P20],F,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,D,,,,,,R,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,341,U1419,A,5,H,CC,PAL,2d68412edfe18a20671a4921a702eaa8
341-U1419A-6H-CC-PAL,0,5,48.04,48.09,G [P20],F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,A,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,P,,,,,,,,,,,,,,,,,,,341,U1419,A,6,H,CC,PAL,80abf4612149993bdd8f6fe34ab04b54
341-U1419A-8H-CC-PAL,0,5,68.16,68.21,G [P20],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,8,H,CC,PAL,ce9a243509d6b2a78dcfd417a060e04f
341-U1419A-9H-CC-PAL,0,5,75.02,75.07,M [P20],F,,,,,,,,,,,,,,,,,,,P,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,A,,,,,,P,,,,,P,,,,,,,,,,,,,,341,U1419,A,9,H,CC,PAL,2c34d1ce0527f509eaf219b40d9380fd
341-U1419A-10H-CC-PAL,0,5,83.74,83.79,VG [P20],D,,,,,,,,R,,A,,P,,,,,,,,,,,,,,,,D,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,341,U1419,A,10,H,CC,PAL,1394439c9d91bf42b271a9b52b0e3595
341-U1419A-11H-CC-PAL,0,5,88.24,88.29,VG [P20],D,,,,,,,,,,P,,P,R,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,D,,,,,,D,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,A,,,,,,,,,,,,,,341,U1419,A,11,H,CC,PAL,8e4c8f715625dde2faa9769600b26666
341-U1419A-12H-CC-PAL,0,5,97.71,97.76,G [P20],D,,,,,,,,R,,,,,R,,,P,,,P,,,,,,,,,F,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,A,,,,,,F,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,P,,,,,,,R,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,341,U1419,A,12,H,CC,PAL,a54cb9de31c8de114aecbf60025bbc84
341-U1419A-13H-CC-PAL,0,5,98.36,98.41,G [P20],R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,D,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,341,U1419,A,13,H,CC,PAL,77974d8cff647a75486fec54607554a6
341-U1419A-14H-CC-PAL,0,5,102.44,102.49,P [P20],F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,A,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,A,,,,,,,,,D,,,,,,,,,,P,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,P,,,,,R,,,,,,,,,,,,,,341,U1419,A,14,H,CC,PAL,df440ad33035459468cb34611c1ab638
