Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Group preservation,Group abundance,XBroken,XCorroded,XCrumpled,Unknown taxa,Exotic,Pinus,Cedrus,Abies,Picea,Acer,Alnus,Betula,Carpinus,Castanea,Corylus,Fagus,Fraxinus excelsior type,Fraxinus ornus type,Ilex,Juglans,Platanus,Populus,Pterocarya,Taxus,Tilia,Ulmus,Ulmus Zelkova,Quercus deciduous type,Quercus evergreen type,Quercus suber type,Buxus,Cistus,Coriaria myrtifolia,Daphne,Olea,Phillyrea,Pistacia,Rhamnus type,Rhus type,Ulex type,Cupressaceae,Euonymus,Helianthemum,Halimium_Tuberaria,Hedera helix,Hippophäe,Myrica,Salix,Sambucus,Tamarix,Viburnum,Vitis,Ericaceae,Calluna,Chenopodiaceae,Ephedra distachya type,Ephedra fragilis type,Artemisia,Ambrosia type,Anthemis type,Aster type,Centaurea cyanus type,Centaurea nigra type,Centaurea scabiosa type,Cirsium type,Echinops,Serratula type,Taraxacum,Apiaceae,Brassicaceae,Cannabis_Humulus,Convolvulus,Caryophyllaceae,Corrigiola litoralis,Epilobium,Lamiaceae,Liliaceae,Asphodelus,Mercurialis type,Plantago,Plantago lanceolata type,Plumbaginaceae,Poaceae,Lygeum spartum,Ranunculaceae,Rumex,Sanguisorba minor,Sanguisorba officinalis,Saxifragaceae,Scabiosa,Arceuthobium,Boraginaceae,Bupleurum type,Campanulaceae,Centaurium,Crassulaceae,Cereal type,Cyperaceae,Erodium,Euphorbia,Fabaceae,Filipendula,Galium type,Gentianaceae,Geranium,Herniaria type,Jasione type,Knautia type,Linum,Littorella uniflora,Lythrum,Melampyrum,Mentha type,Papaveraceae,Pedicularis,Polygonum aviculare type,Primulaceae,Resedaceae,Rosaceae,Scrofulariaceae,Sedum type,Solanaceae,Spartium junceum,Spergularia type,Thalictrum,Urtica,Valerianaceae,Veronica type,Vicia type,Viscum,Podocarpus,Stereisporites,Tsuga,Cryptomeria,Zelkova,Carya,Nyssa,Liquidambar,Sciadopitis,Taxodium,Sequoia,Engelhardia,Aesculus,Eleagnus,Palmae,Symplocos,Phellodendron,Eucommia,Ostrya,Alisma type,Lemna,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum verticillatum,Nuphar,Nymphaea alba type,Polygonum persicaria type,Potamogeton,Typha_Sparganium,Isoetes,Polypodium vulgare type,Monolete psilate,Monolete ornamented,Anogramma leptophylla,Botrychium type,Cryptogramma,Huperzia selago,Lycopodium clavatum type,Ophioglossum lusitanicum,Osmunda,Pilularia globulifera,Pteridium,Selaginella denticulata,Selaginella selaginoides,Sphagnum,Taxodiaceae/Cupressaceae,Trilete ornamented,Trilete psilate,Trilete reworked,Comments,File Data,
339-U1389A-1H-CC-PAL-PALY,339,U1389,A,1,1-CC,H,CC,PAL,PALY,0,5,4.25,4.3,G,A,,6,,,55,A,,,,,,,,,,,F,,,,,,,,,,,C,C,F,,,,,,,,,,,C,,,,,,,,,,,,F,,F,,F,,,,,,,,,,,C,F,C,,,,,,,,,,,,,F,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,,,Also observed microcharcoal particles and dinocysts,,
339-U1389A-6H-CC-PAL-PALY,339,U1389,A,6,6-CC,H,CC,PAL,PALY,0,5,52.38,52.43,G,A,1,11,,2,105,A,F,,,,,R,,,,,,,,,,,,,,,,C,C,,,,,,F,,,,,,,,,,,,,,,,,,,,F,R,,F,,F,,,,,,,,A,,R,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,F,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,,
339-U1389A-12X-CC-PAL-PALY,339,U1389,A,12,12-CC,X,CC,PAL,PALY,0,5,102.5,102.55,M,A,,23,2,,35,A,C,,,,F,,,,,,,,,,,,,,,,,A,C,,,,,,,,,,,,,,,,,,,,,,,,C,,A,F,C,C,,,C,,,,,,,A,,C,,,F,,,,,,,F,,,A,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,Also observed microcharcoal particles and dinocysts,,
339-U1389A-18X-CC-PAL-PALY,339,U1389,A,18,18-CC,X,CC,PAL,PALY,0,5,158.26,158.31,M,A,,18,,,111,C,F,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,R,,C,F,,C,,R,C,,,,,,,F,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,,
339-U1389A-25X-CC-PAL-PALY,339,U1389,A,25,25-CC,X,CC,PAL,PALY,0,5,226.44,226.49,P,A,2,22,2,1,55,C,,,,,,F,,,,,,,,,,,,,,,,C,F,,,,,,C,,,,,,,,,,,,,,,,,,F,,C,F,,C,,C,,,,,,,,A,C,C,,,,,,,,F,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,,
339-U1389A-31X-CC-PAL-PALY,339,U1389,A,31,31-CC,X,CC,PAL,PALY,0,5,283.56,283.61,M,A,,25,,,30,A,F,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,,,C,,,,,,,,,,,,,,A,C,F,A,,F,A,,,,,,,A,C,C,,,,,,,,,,C,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,,
339-U1389A-37X-CC-PAL-PALY,339,U1389,A,37,37-CC,X,CC,PAL,PALY,0,5,336.43,336.48,M,A,1,19,,,108,C,,,R,,R,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,C,,C,,R,C,,,F,,,,,,,C,F,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,,
