Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,,eodp_id
339-U1391B-1H-CC-PAL-NANNO,339,U1391,B,1,1-CC,H,CC,PAL,NANNO,0,5,9.61,9.66,G,A,,,,,,R,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,F,,,C,,R,,A,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,R,,,,cbcc066e6d5db444b98aced4b51a6a34
339-U1391B-2H-CC-PAL-NANNO,339,U1391,B,2,2-CC,H,CC,PAL,NANNO,0,5,19.49,19.54,G,VA,,,,,,F,R,F,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,A,,C,,VA,,,F,,,,,,,,,,,R,,,,,,,F,,,,,,R,,,,,,,,,,,,R,,,,,,R,,,,47326abf62d4eff6042c280a651da695
339-U1391B-3H-CC-PAL-NANNO,339,U1391,B,3,3-CC,H,CC,PAL,NANNO,0,7,28.82,28.89,G,VA,,,,,,F,,F,,,,,,,,,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,C,,,,R,F,,A,,,F,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,R,,,,e8444bb6bae9e7603b1358cf07614802
339-U1391B-4H-CC-PAL-NANNO,339,U1391,B,4,4-CC,H,CC,PAL,NANNO,0,5,38.53,38.58,M-P,VA,,,,,,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,F,,,C,,,,VA,,,F,,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,7def0df7fa53b2584baa6ed0157437d6
339-U1391B-5H-CC-PAL-NANNO,339,U1391,B,5,5-CC,H,CC,PAL,NANNO,0,5,47.84,47.89,G,VA,,,,,,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,F,,,C,,,,VA,,,R,,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,f5e3af5821ce627c259d4efeaf3fc31f
339-U1391B-6H-CC-PAL-NANNO,339,U1391,B,6,6-CC,H,CC,PAL,NANNO,0,5,57.66,57.71,M-P,VA,,,,,R,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,R,,,C,F,F,,VA,,,F,,,,,,,,,,,F,,,,,,,VA,,,,,,,,,,,,,,,,,,F,,,,,,,,,,2ea182ab8c57b4a0570c9831bc9991a1
339-U1391B-7H-CC-PAL-NANNO,339,U1391,B,7,7-CC,H,CC,PAL,NANNO,0,5,67.02,67.07,M-P,VA,,,,,,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,C,,,,VA,,,F,,,,,,,,,,,F,,,,,,,VA,,,,,,,,,,,,,,,,,,F,,,,,,,,,,9234658b5dace24a07379a81a8a0e1f4
339-U1391B-8H-CC-PAL-NANNO,339,U1391,B,8,8-CC,H,CC,PAL,NANNO,0,5,76.89,76.94,M-P,VA,,,,,,,,F,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,F,,VA,,,F,,,,,,,,,,,F,,,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,163839e488c8477e8f0aa7f2c349f145
339-U1391B-9H-CC-PAL-NANNO,339,U1391,B,9,9-CC,H,CC,PAL,NANNO,0,5,86.19,86.24,G,VA,,,,,,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,R,F,,F,,VA,,,F,,,,,,,,,,,,,,,,,,VA,,,,,,F,,,,,,,,,,,,,,,,,,,,,,aaa842b6d0560b47881ab134fee3a156
339-U1391B-10H-CC-PAL-NANNO,339,U1391,B,10,10-CC,H,CC,PAL,NANNO,0,5,95.64,95.69,M-P,VA,,,,,,,F,F,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,R,,VA,,,F,,,,,,,,,,,F,,,,,,,VA,,,,,,,,,,,,,,,,,,F,,,,,,,,,,ff7e6e7a6ecc0ffe212e4eea89342c23
