Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Calcareous spp. (indeterminate),Calcarina calcar,Cancris auricula,Cancris sp.,Cassidulina spp.,Cassidulinoides spp.,Cassidulina teretis,Ceratobulimina spp.,Ceratobulimina jonesiana,Chilostomella oolina,Chilostomella ovoidea,Chrysalogonium calomorphum,Chrysalogonium spp.,Cibicides cf. lobatulus,Cibicides lobatulus,Cibicides refulgens,Cibicides spp.,Cibicides/Cibicidoides spp.,Cibicidoides cf. pachyderma,Cibicidoides cf. refulgens,Cibicidoides cf. ungerianus,Cibicidoides cicatricosus,Cibicidoides incrassatus,Cibicidoides kullenbergi,Cibicidoides mollis,Cibicidoides pachyderma,Cibicidoides pseudoungerianus,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides subhaidingerii,Cibicidoides wuellerstorfi,Cibicorbis? sp.,Clavulina mexicana,Conorbina spp.,Cribroloculina sp.,Cribronodosaria sp.,Cribromiliolinella sp.,Cribrostomoides scitulum,Cribrostomoides spp.,Cribrostomoides subglobosus,Crithionina hispida,Crithionina mamilla,Crithionina pisum,Cyclammina cancellata,Cyclammina spp.,Cylindroclavulina spp.?,Dendrophyra spp.,Dentalina advena,Dentalina ariena,Dentalina bradyensis,Dentalina cf. filiformis,Dentalina spp.,Dentalina communis,Deuterammina ochracea,Discammina spp.,Discanomalina coronata,Discanomalina semipunctata,Discanomalina spp.,Discorbis spp.,Dorothia bradyana,Dorothia spp.,Eggerella bradyi,Eggerella spp.,Ehrenbergina pupa?,Ehrenbergina spp.,Elphidid taxa,Elphidiella spp.,Elphidium aculeatum,Elphidium cf. jenseni,Elphidium crispum,Elphidium spp.,Epistomina spp.,Epistominella exigua,Epistominella rugosa,Epistominella spp.,Eponides spp.,Eubuliminella exilis,Cibicidoides cf. wuellerstorfi,Comment,File Data,eodp_id
339-U1385A-1H-CC-PAL,339,U1385,A,1,1-CC,H,CC,PAL,0,5,1.39,1.44,,,,,,,P,,,,,,,,,,,R,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,64b45e99c580c63e81563e28083d18a8
339-U1385A-2H-CC-PAL,339,U1385,A,2,2-CC,H,CC,PAL,0,5,11.3,11.35,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,8224108c571885b6eeeb9d66a8bf51ab
339-U1385A-3H-CC-PAL,339,U1385,A,3,3-CC,H,CC,PAL,0,5,20.87,20.92,,,,,,,F,,,P,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,70f6c15ac7f3d3ef7e100d15e19e8c73
339-U1385A-4H-CC-PAL,339,U1385,A,4,4-CC,H,CC,PAL,0,5,30.66,30.71,,,,,,,R,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,854f57cb846c5e4f2df217199ba79744
339-U1385A-5H-CC-PAL,339,U1385,A,5,5-CC,H,CC,PAL,0,5,39.92,39.97,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,833472713b4290d952c1af09416b198e
339-U1385A-6H-CC-PAL,339,U1385,A,6,6-CC,H,CC,PAL,0,5,49.43,49.48,,,,,,,A,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,56fa5693a7e178c81a3287b6fc4c0e9d
339-U1385A-7H-CC-PAL,339,U1385,A,7,7-CC,H,CC,PAL,0,6,58.71,58.77,,,,,,,A,,,,,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,c4c33cb9fbb89268d849cae0d5a8ae8c
339-U1385A-8H-CC-PAL,339,U1385,A,8,8-CC,H,CC,PAL,0,6,68.58,68.64,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,06f44cfe378fde1cdce561a675a9e3ff
339-U1385A-9H-CC-PAL,339,U1385,A,9,9-CC,H,CC,PAL,0,5,77.78,77.83,,,,,,P,F,,,,,,,,R,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,5316df59360a0caa3a86b45138014c00
339-U1385A-10H-CC-PAL,339,U1385,A,10,10-CC,H,CC,PAL,0,5,87.73,87.78,,,,,,,,,,,,,,,,,,P,,,,,,F,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,1a500c715eeb635998e3bdabe44479bb
