Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,,eodp_id
342-U1407A-1H-CC-PAL,342,U1407,A,1,1-CC,H,CC,PAL,0,6,6.75,6.81,6.78,VG,P,P,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,P,,,P,,,,,,,,P,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,P,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,d36d28a930ffdb3823377d7a81bd7717
342-U1407A-2H-CC-PAL,342,U1407,A,2,2-CC,H,CC,PAL,0,5,15.92,15.97,15.95,M,F,,P,,F,,P,F,F,,,,,P,P,,,,F,F,,F,,,,F,,,,,F,,,F,P,,,,,,,,,,,,,,,,,,F,,,,,P,,,,,,,,,,F,F,F,,F,,,P,,F,F,,,,F,,,,,,,,,,,A,,F,A,,,P,,,,,F,,,,b9bd8467baeec17ba15f2aa13967a970
342-U1407A-3H-CC-PAL,342,U1407,A,3,3-CC,H,CC,PAL,0,12,25.43,25.55,25.49,VG,P,,P,,P,,F,,F,,,,,,F,,,,,,P,P,,,,P,,,P,,,,,F,,,,,F,,,,,,F,,,,,P,F,,,,,F,,F,,,P,,,,,,A,F,F,P,,A,,,F,,,,,F,,F,P,,,,,,,,,F,,,F,A,,,,,,,,F,,,,7db5fe1be2159bf81fdc9f58dcadc48d
342-U1407A-4H-CC-PAL,342,U1407,A,4,4-CC,H,CC,PAL,0,5,35.25,35.3,35.28,VG,P,,,,,,F,P,F,,,,,,F,,,,F,,A,F,,,,,P,,F,,P,,,F,,,,,P,,F,,,,P,,,,,,F,,F,,,F,,,,,P,,,,,,A,P,,F,,A,,,F,,P,,,F,,,F,,,,,P,,,,F,,,,F,P,P,,,,P,,F,,,,aa0173ae4bc50b0c8d5c7560242f6112
342-U1407A-5H-CC-PAL,342,U1407,A,5,5-CC,H,CC,PAL,0,12,44.97,45.09,45.03,VG,P,,,,,,F,,F,,,F,,,F,,,,A,F,,F,,,,,,,F,P,P,,,F,P,,,,P,,,,,,F,,,,,,P,,F,,,P,,P,,,F,,,,,,F,,,,,A,,,P,,,,,F,,F,F,,,,,P,,P,,F,P,,,F,,P,,,,,,F,,,,e55c76eeaba40d86c1071df2bf8af878
342-U1407A-6H-CC-PAL,342,U1407,A,6,6-CC,H,CC,PAL,0,5,54.67,54.72,54.7,VG,P,,F,,,,,P,F,,,,,,F,,,,,F,F,F,,,,,,,F,,,,,F,,,,,F,,P,,,P,F,,,,,,,,F,,,,,,,,F,,,,,,A,,,,,A,,,F,,F,,,F,,F,P,,,,P,,,,,F,,,,F,,P,,,,,,F,,,,6c03acf52b751afeb74b8dba291821e2
342-U1407A-7H-CC-PAL,342,U1407,A,7,7-CC,H,CC,PAL,0,7,64.12,64.19,64.16,VG,P,,,,,,F,P,F,,,,,,F,,,,F,,,P,,F,,,P,,F,,,,,A,,,,,P,,,,,,F,,,,,,F,,F,,,F,,F,,F,F,,,,,,A,,,,,A,,,P,,F,,,F,,F,P,,,,,,F,,,F,,,,P,,,,,,,,F,,,,77d3a540d6cef80e0db87c753ea52b0a
342-U1407A-8H-CC-PAL,342,U1407,A,8,8-CC,H,CC,PAL,0,5,73.6,73.65,73.63,VG,P,,,,,,F,,F,,,,,,F,,,,F,,P,,,F,,,,,F,,,,,P,,,,,,P,,,,,F,,,,,,P,,A,,,P,,F,,F,F,,,,,,A,,,,,F,,,P,,,,,,,P,F,,,,,,,,,F,,,F,F,,,,,,,,P,,,,cbe54913ddae2ba2cc6ca7bc11f832db
342-U1407A-9H-CC-PAL,342,U1407,A,9,9-CC,H,CC,PAL,0,5,83.13,83.18,83.16,G,P,,,,,,F,P,A,,,P,,,A,,,,A,F,F,,,F,,,,,F,,F,,,A,,,,,F,P,P,,,,,,,,,P,F,,F,,,F,,P,,F,F,,,,,,A,,,,,F,,,F,,,,,F,,P,P,,,,,,,,,F,F,,F,F,,,,,,,,F,,,,28d35394ba718f93948a2b850d53ac78
342-U1407A-10H-CC-PAL,342,U1407,A,10,10-CC,H,CC,PAL,0,10,92.27,92.37,92.32,G,P,,,,,,F,P,F,,,,,,A,,,,,,F,,,,,,,,P,,,,,A,,,,,F,F,,,,P,,,,,,,,,P,,,F,,,,P,F,,,,,,A,,P,,,A,,,,,P,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,e732e8e5de78e7de8972f5985e215be6
342-U1407A-11H-CC-PAL,342,U1407,A,11,11-CC,H,CC,PAL,0,10,101.99,102.09,102.04,G,P,,,,,,F,P,A,,,,,,A,,,,,,A,F,,,,,,,,P,F,,,F,,,,,F,,P,,,F,,,,,,,,,,,,F,,,,F,F,,,,,,F,,P,,,A,,,F,,,,,,,,P,,,P,,,,,,F,,,,,,,,,,,,F,,,,fea832eb2a43f3deaeb5de5345815395
342-U1407A-12H-CC-PAL,342,U1407,A,12,12-CC,H,CC,PAL,0,8,102.8,102.88,102.84,G,P,,,,,,P,,,,,,,,P,,,,,,P,,,,,,,,,,,,,F,,,,,A,,,,,,,,,,,,,,,,,,,,,,P,,,,,,A,,P,,,F,,,,,,,,,,,,,,,,,,,,A,,,,A,,,,,,,,P,,,,5c7ba7e861ffcbf4c6a0f617e30bb574
342-U1407A-15H-CC-PAL,342,U1407,A,15,15-CC,H,CC,PAL,0,3,121.8,121.83,121.82,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,only 4 specimens from chert sample!,,,6addde42f5aa74cc674fb3a515855c1b
342-U1407A-16X-CC-PAL,342,U1407,A,16,16-CC,X,CC,PAL,0,10,124.56,124.66,124.61,M,R,,,,,,F,F,,,,,,,P,,,,,,,,,,,,,,,A,P,,A,F,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,9facfd03626f8305f147415bf6b96cad
