Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Alabaminella sp.,Alabaminella weddellensis,Angulogerina fluens,Astacolus sp.,Astrononion sp.,Astrorhiza sp.,Baggina philippinensis,Bolivina alata,Bolivina decussata,Bolivina pacifica,Bolivina sp.,Bolivina spathulata,Bolivina spissa,Bolivina spp.,Botellina labyrinthica,Brizalina earlandi,Brizalina pygmaea,Buccella frigida,Buccella inusitata,Buccella sp.,Buccella spp.,Bulimina sp.,Bulimina striata,Buliminella elegantissima,Buliminella sp.,Buliminella tenuata,Cassidulina californica,Cassidulina cushmani,Cassidulina laevigata var. carinata,Cassidulina mexicana,Cassidulina sp.,Cassidulina teretis,Cassidulina translucens,Cassidulinoides cornuta,Cassidulinoides parkerianus,Cassidulinoides tenuis,Chilostomella oolina,Chilostomellina frimbriata,Cibicides fletcheri,Cibicides lobatulus,Cibicides mckannai,Cibicides sp.,Cibicides spiralis,Cibicides spp.,Cibicidoides mundulus,Cibicidoides sp.,Cibicidoides subhaidingerii,Cribrostomoides jeffreysii,Cribrostomoides subglobosus,Cyclammina cancellata,Dentalina sp.,Dentalinoides sp.,Discorbis sp.,Dorothia pseudofiliformis,Eggerella advena,Eggerella bradyi,Ehrenbergina sp.,Eilohedra vitrea,Elphidiella sp.,Elphidiellia groenlandica,Elphidium bartletti,Elphidium batialis,Elphidium clavatum,Elphidium excavatum,Elphidium frigidum,Elphidium hughesi,Elphidium sp.,Elphidium spp.,Epistominella pacifica,Epistominella pulchella,Epistominella sp.,Epistominella vitrea,Eponides healdi,Eponides sp.,Eubuliminella exilis,Fissurina lucida,Fissurina sp.,Fursenkoina bradyi,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidina gemma,Gyroidina lamarckiana,Gyroidina spp.,Gyroidinoides soldanii,Gyroidinoides sp.,Haplophragmoides sp.,Haynesina sp.,Hormosinella guttifera,Hyalinonetrion gracillima,Hyperammina sp.,Ioanella sp.,Islandiella norcrossi,Islandiella sp.,Karreriella baccata,Karreriella parkerae,Laevidentalina advena,Lagena elongata,Lagena gracilis,Lagena laevis,Lagena meridionalis,Lagena sp.,Lagena spp.,Lagena striata,Laticarinina pauperata,Lenticulina sp.,Lenticulina spp.,Liebusella soldanii,Martinottiella communis,Melonis barleeanus,Melonis pompilioides,Neugeborina longiscata,Nodosaria aff. pyrula,Nodosaria sp.,Nonion sp.,Nonionella labradorica,Nonionella pulchella,Nonionella sp.,Nonionella spp.,Nonionella turgida,Nonionella turgida digitata,Oolina globosa,Oolina laevigata,Oolina sp.,Oolina spp.,Oridorsalis sp.,Oridorsalis umbonatus,Paratrochammina challengeri,Planulina ariminensis,Planulina wuellerstorfi,Plectofrondicularia sp.,Pleurostomella alternans,Portatrochammina karica,Psammosphaera fusca,Pseudononion auricula,Pullenia bulloides,Pullenia salisburyi,Pullenia sp.,Pygmaeoseistron hispidum,Pyrgo sp.,Pyrgo spp. N/A,Quinqueloculina sp.,Quinqueloculina stalkeri,Reophax dentaliniformis,Reophax pilulifer,Reophax sp.,Reussella sp.,Rhabdammina sp.,Rhizammina algaeformis,Saccammina sp.,Sigmoilina distorta,Sigmoilinita sp.,Sphaeroidina bulloides,Spiroculina sp.,Stainforthia fusiformis,Stainforthia sp.,Subreophax aduncus,Takayanagia delicata,Trichohyalus ornatissimus,Trifarina angulosa,Trifarina sp.,Triloculina sp.,Triloculina trihedra,Trochammina globigeriniformis,Trochammina globorotaliformis,Trochammina sp.,Uvigerina akitaensis,Uvigerina auberiana,Uvigerina cf. proboscidea,Uvigerina juncea,Uvigerina peregrina,Uvigerina senticosa,Uvigerina sp.,Uvigerina spp.,Valvulineria sp.,Veleroninoides sp.,Comment,Ship File Links,Shore File Links,File Data,Top [cm],eodp_id
341-U1417A-1H-CC-PAL,341,U1417,A,1,1-CC,H,CC,PAL,5,5.43,5.48,G [P20],P,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,F,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98bf683d9038d133820eaac492f44785
341-U1417A-2H-CC-PAL,341,U1417,A,2,2-CC,H,CC,PAL,5,15.32,15.37,G [P20],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,A,,,D,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,R,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,eb0a2d4eb81cba17cecbc523c901b448
341-U1417A-3H-CC-PAL,341,U1417,A,3,3-CC,H,CC,PAL,5,24.62,24.67,M [P20],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d72ba06adc2eb0c17d67b4cdeebc909a
341-U1417A-4H-CC-PAL,341,U1417,A,4,4-CC,H,CC,PAL,4,34.54,34.58,M [P20],F,,,R,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,R,,,,R,,,R,R,,,,,,,,R,,,,,A,,,,,,,,,,,F,,,,,,F,,,,,,,,,,F,,,A,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,R,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,R,A,,,,,,,,,,,9df5db4bac814e8a8773f1153aa5064d
341-U1417A-5H-CC-PAL,341,U1417,A,5,5-CC,H,CC,PAL,5,42.19,42.24,G [P20],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,64e835d531fb52b1f9eab7a2250db89a
341-U1417A-6H-CC-PAL,341,U1417,A,6,6-CC,H,CC,PAL,5,44.85,44.9,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36a380c6c2102c6bc64ce84d67e0a65d
341-U1417A-7H-CC-PAL,341,U1417,A,7,7-CC,H,CC,PAL,3,54.92,54.95,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69fa11b1b1273abcf766dd55d414ff6d
341-U1417A-8H-CC-PAL,341,U1417,A,8,8-CC,H,CC,PAL,5,56.86,56.91,M [P20],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f6e06c3b0a34dd3a915d62eeb4699367
341-U1417A-9H-CC-PAL,341,U1417,A,9,9-CC,H,CC,PAL,5,65.87,65.92,G [P20],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081f9e972e31e5399310921131cd3779
341-U1417A-11H-CC-PAL,341,U1417,A,11,11-CC,H,CC,PAL,5,83.67,83.72,G [P20],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66815de63ff7cad353c131af9916b3a3
