Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data,eodp_id
339-U1386A-1H-CC-PAL-FORAM,339,U1386,A,1,1-CC,H,CC,PAL,FORAM,0,5,3.81,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,d51acafa1c58b521f52103761a78d340
339-U1386A-2H-CC-PAL-FORAM,339,U1386,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.48,13.53,,,,P,,,,,,,,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a56258a24c41dc011bf56ebae51932c
339-U1386A-3H-CC-PAL-FORAM,339,U1386,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.22,23.27,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cde65d6655b781822b71bb089086c4d4
339-U1386A-4H-CC-PAL-FORAM,339,U1386,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.11,33.16,,,,R,,,,,,,,,,,P,,,,,,,,,,,P,F,,,,,,,,,,,,,,R,,,,,,,,,P,,,,F,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,,,,4b876c81db44b6ef3b8c141e21aa96a3
339-U1386A-5H-CC-PAL-FORAM,339,U1386,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.18,42.23,,,,P,,,,,,,,,,,,,,,,,,,,,P,,F,,,,,,,,,,,,,,R,,,,,,,,,P,,,,A,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,ce34018780d86b63a4486e62b920c4f7
339-U1386A-6H-CC-PAL-FORAM,339,U1386,A,6,6-CC,H,CC,PAL,FORAM,0,5,50.31,50.36,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d307a7917b26fba9dcebdf1ca9af8ad8
339-U1386A-7H-CC-PAL-FORAM,339,U1386,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.22,61.27,,,,R,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,3a523db7c4bbc411bea25803b0ee4521
339-U1386A-8H-CC-PAL-FORAM,339,U1386,A,8,8-CC,H,CC,PAL,FORAM,0,5,70.62,70.67,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10638e2d8a3777c07a81d6f8740978e1
339-U1386A-9H-CC-PAL-FORAM,339,U1386,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.13,80.18,,,,,,,,,,,P,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7b7de69b09990210f732336708fa2e38
339-U1386A-10H-CC-PAL-FORAM,339,U1386,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.23,90.28,,,,R,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,3629368cf61cd3edc1ca76eedbaf3672
