Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data,eodp_id
323-U1339D-1H-CC-PAL-FORAM74,323,U1339,D,1,1-CC,H,CC,PAL,FORAM74,0,0,6.52,6.52,dominant IRD,G,A,,,,,,A,,,,,,,,,,,F,F,,,,,,,,,209adb20e3627c399cf8dbd4318c12db
323-U1339D-2H-CC-PAL-FORAM79,323,U1339,D,2,2-CC,H,CC,PAL,FORAM79,0,0,16.04,16.04,dominant IRD,G,A,,,,,,A,,,,,,,,,,,,R,,,,,,,,,302deda78428befb44595f1551b73414
323-U1339D-3H-CC-PAL-FORAM85,323,U1339,D,3,3-CC,H,CC,PAL,FORAM85,0,0,25.59,25.59,dominant IRD,G,F,,,,,,F,,,,,,,,,,,,P,,,,,,,,,c3788ca72ed7e6e293c2f888303e95b5
323-U1339D-4H-CC-PAL-FORAM90,323,U1339,D,4,4-CC,H,CC,PAL,FORAM90,0,0,33.38,33.38,dominant IRD,G,A,,,,,,A,,,,,,,,,,,,F,,,,,,,,,f8561d1a1cebaf50ab90fb313d9979b2
323-U1339D-5H-CC-PAL-FORAM19,323,U1339,D,5,5-CC,H,CC,PAL,FORAM19,0,0,43.24,43.24,dominant IRD,G,R,,,,,,R,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerinita glutinata (Egger, 1893)",,,,596971024556bda97d76068a1365cb0c
323-U1339D-6H-CC-PAL-FORAM26,323,U1339,D,6,6-CC,H,CC,PAL,FORAM26,0,0,52.97,52.97,dominant IRD,G,D,,,,,,D,,,,,,,,,,,,F,,P,,,,,,,8ed44e84e3d63777abae7d502923e395
323-U1339D-7H-CC-PAL-FORAM31,323,U1339,D,7,7-CC,H,CC,PAL,FORAM31,0,0,62.48,62.48,dominant IRD,G,F,,,,,,F,,,,,,,,,,,,R,,,,,,,,,b24fa9f0c2bfa7f2c91f763513e047d4
323-U1339D-8H-CC-PAL20     -FORAM36,323,U1339,D,8,8-CC,H,CC,PAL20,FORAM36,0,0,71.2,71.2,dominant IRD,G,A,,,,,,A,,,,,,,,,,,R,F,,,,,,,,,03abdbf3e800b2b8b1be9bbd8eedfc89
323-U1339D-9H-CC-FORAM25,323,U1339,D,9,9-CC,H,CC,FORAM25,,0,0,80.35,80.35,dominant IRD,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,c8f5498156f46a897563561fe9910432
323-U1339D-10H-CC-FORAM50,323,U1339,D,10,10-CC,H,CC,FORAM50,,0,0,90.53,90.53,few IRD,M,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,a368ea4280215f95127698faf95d552a
323-U1339D-11H-CC-FORAM24,323,U1339,D,11,11-CC,H,CC,FORAM24,,0,0,100.38,100.38,few IRD,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,b0bd4e3c7287e6eacdd8acb34cd9964a
