Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Acervulinid taxa,Agglutinates (indeterminant fragments),Ammobaculites sp.,Ammonia beccarii,Ammonia sp.,Ammonia tepida,Amphicoryna spp.,Amphistegina gibbosa,Amphistegina lessonii,Amphistegina radiata,Amphistegina sp.,Astacolus sp.,Asterigerina sp.,Bigenerina sp.,Biloculina sp.,Bolivina spp.,Bolivinita quadrilatera,Bulimina aculeata,Bulimina costata,Bulimina marginata,Bulimina pupoides,Bulimina sp.,Cassidulina sp.,Cassidulina teretis,Chilostomella sp.,Cibicides  bradyi,Cibicides pachyderma,Cibicides refulgens,Cibicides sp.,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides lobatulus,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides wuellerstorfi,Cornuspira sp.,Cribrononion kerguelenense,Cribrononion sp.,Cyclorbiculina compressa,Cymbaloporetta sp.,Dentalina advena,Dentalina inornata,Dentalina sp.,Dentalina subemaciata,Dentalina subsoluta,Discorbina sp.,Dorothia exilis,Eggerella sp.,Ehrenbergina sp.,Elphidium excavatum,Eponides repandus,Fissurina marginata,Fissurina orbignyana,Fissurina semimarginata,Fissurina sp.,Fissurina wiesneri,Florilus spp.,Fursenkoina sp.,Gavelinopsis sp.,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides spp,Hauerinella inconstans,Heterostegina sp.,Hoeglundina elegans,Karreriella bradyi,Lagena laevis,Lagena sp.,Lagena striata,Laticarinina pauperata,Lenticulina iota,Lenticulina orbicularis,Lenticulina peregrina,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marinittiella sp.,Melonis spp.,Myllostomella costai,Myllostomella huygaensis,Myllostomella spp.?,Nodosaria albatrossi,Nodosaria sp.,Oolina melo,Oolina spp.,Oridorsalis umbonatus,Orthomorphina cf. jedlitschkai,Orthomorphina perversa,Orthomorphina sp.,Osangularia spp.,Parasorites orbitolitoides,Peneroplis sp.,Planctostoma luculenta,Planispirinoides bucculentus,Planulina ariminensis,Planulina sp.,Pleurostomella alternans,Pleurostomella sp.,Proxifrons inaequalis,Pullenia bulloides,Pyrgo comata,Pyrgo depressa,Pyrgo elongata,Pyrgo murrhina,Pyrgo serrata,Pyrgo sp.,Pyrgoella irregularis,Pyrgoella sp.,Pyrulina cylindroides,Quinqueloculina agglutinans,Quinqueloculina bicostata,Quinqueloculina bosciana,Quinqueloculina bradyana,Quinqueloculina candeiana,Quinqueloculina granulocostata,Quinqueloculina seminulum,Quinqueloculina sp.,Rectobolivina sp.,Rectoglandulina sp.,Reophax sp.,Robertina bradyi,Robertina sp. A,Robertinoides spp.,Rupertina stabilis,Sigmavirgulina tortuosa,Sigmoilopsis spp.,Siphonina bradyana,Siphonina sp.,Siphonodosaria cooperensis,Siphonodosaria insecta,Siphonodosaria pomuligera,Siphonodosaria sargrinensis,Siphonodosaria sp.,Siphouvigerina ampullacea,Sphaerogypsina globulus,Sphaeroidina bulloides,Spirillina sp.,Spiroloculina sp.,Stilostomella antillea,Stilostomella fistuca,Stilostomella sp.,Trifarina sp.,Triloculina insignis,Triloculina spp.,Uvigerina auberiana,Uvigerina cf. canariensis,Uvigerina hispida,Uvigerina hollicki,Uvigerina peregrina,Uvigerina peregrina f. parvula,Uvigerina sp.,Vaginulina americana,Vertebralina sp.,Virgulina cf texturata,Vulvulina pennatula,Comment,File Data,eodp_id
340-U1394A-1H-CC-PAL-FORAMB,340,U1394,A,1,1-CC,H,CC,PAL,FORAMB,0,0,4.8,4.8,G,D,,,,,,,,,,,,,,,,P,,P,,,,,,,,,P,,,P,F,R,,,,P,P,R,,,,,,,R,,,,,,,,P,P,P,,,,,P,R,,,,,,,,,R,,,,,R,,P,R,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,P,R,P,,,F,,,,,R,,,,P,,P,,,R,,P,,,,,,,,,,,,,,,R,,,,,R,R,,,,,,,,,,,,,,e2d68e3bfa4578940080631cf8b45da6
340-U1394A-2H-CC-PAL-FORAMB,340,U1394,A,2,2-CC,H,CC,PAL,FORAMB,0,0,14.55,14.55,P,D,,,,,,,,,,,A,,P,,,,,,,,,,R,,,R,,R,,R,,P,,,,,,,,,P,P,,,,,,,,,,R,,,R,,,,,,,,A,,,,,,,,,,,R,P,F,,P,,,,,,,,R,,,,,,,,,,,,R,,F,,,,,,P,,,,P,,,,,R,,,,R,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,6cb9c6651ce0d5f2ad4c0c2763f9a9f2
340-U1394A-3H-CC-PAL-FORAMB,340,U1394,A,3,3-CC,H,CC,PAL,FORAMB,0,0,23.67,23.67,M,D,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191fabba619edf7dd980a17d2213a00d
340-U1394A-4H-CC-PAL-FORAMB,340,U1394,A,4,4-CC,H,CC,PAL,FORAMB,0,0,23.85,23.85,P,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb7c4fcc967ecbda11d717c86d6ab8ba
340-U1394A-7X-CC-PAL-FORAMB,340,U1394,A,7,7-CC,X,CC,PAL,FORAMB,0,0,43.47,43.47,P,P,,,,,,,,,,,F,,R,,,F,,,P,,,,R,,,,R,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,P,,P,P,,,,,R,,,,,R,,,,,,,,,,,,,R,,,,,,,R,R,,,,,,,,,,,,,,e8bf7705f6b38e85f493517e94d6fcb6
340-U1394A-9X-CC-PAL-FORAMB,340,U1394,A,9,9-CC,X,CC,PAL,FORAMB,0,0,63.14,63.14,M,D,,,,,,,,,,,P,,,,,,,,,,,,,,,P,P,,,,,R,,,,,,,,,R,,R,,,,,,,,,,,,P,P,,,,,,,R,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,R,,R,P,R,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,R,,,,,8bc1216c9ab5631d27cd3c2edc83122b
340-U1394A-10X-CC-PAL-FORAMB,340,U1394,A,10,10-CC,X,CC,PAL,FORAMB,0,0,72.41,72.41,M,D,,,,,,,,,,,A,R,R,,R,P,,,,,,,,P,,,,F,,,,,P,,F,A,,,P,,,,R,,,R,,R,,,R,,A,P,P,,,,,,,,,F,P,,,,,,,R,R,,P,R,,P,,,,,,,,,,,,R,,,,P,,,,,F,,,,,,,,,R,,,,,,,,R,,,,,F,,,,,R,,,R,,F,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,87a5b6d8b3cb8dc983d5deaf6b24221a
340-U1394A-13X-CC-PAL-FORAMB,340,U1394,A,13,13-CC,X,CC,PAL,FORAMB,0,0,100.96,100.96,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ef9b336b11aacc0279312b190b29f944
340-U1394A-14X-CC-PAL-FORAMB,340,U1394,A,14,14-CC,X,CC,PAL,FORAMB,0,0,112.83,112.83,P,D,,,,,,,,,,,A,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642f97ba97551255e4fbf977583c6b8a
340-U1394A-15X-CC-PAL-FORAMB,340,U1394,A,15,15-CC,X,CC,PAL,FORAMB,0,0,120.78,120.78,P,D,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,F,,,,,,,A,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,,,,,,,,,,R,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,,0be9f5fb92b711f28857fcd95ca55f8e
