Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (sinsitral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,eodp_id
341-U1417B-2H-CC-PAL,341,U1417,B,2,2-CC,H,CC,PAL,0,5,14.73,14.78,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,R,,,D,R,,,,,,,,,,D,R,,R,,,,,,,3b38d0cd7f6966d0e48ce2085d426795
341-U1417B-4H-CC-PAL,341,U1417,B,4,4-CC,H,CC,PAL,0,5,31.07,31.12,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,C,,,A,P,,,,,,,,,,D,R,,,,,sandy,,,,7adb25ee67c5a81bfb115860b69bca04
341-U1417B-6H-CC-PAL,341,U1417,B,6,6-CC,H,CC,PAL,0,5,48.99,49.04,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P,P,,,D,,,,,,,,,,,D,,,,,,diatom ooze. pyritilize foram,,,,f8ed7a78bdbe5f307f90d541da60fbd1
341-U1417B-9H-CC-PAL,341,U1417,B,9,9-CC,H,CC,PAL,0,5,76.25,76.3,,,,,B,,,,,,,,,,,,,,,,,,,,Rich in sandy terrigenous grains with presence of IRD grains. Partial pyritilization were visible on foraminifer shells.,,,,fc5833f641f14bbcdc0f6977973229da
341-U1417B-10H-CC-PAL,341,U1417,B,10,10-CC,H,CC,PAL,0,10,86.11,86.21,CM2,"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",LO Neogloboquadrina inglei Kucera and Kennet (2000),G,A,,,D,P,,,,,,P,,,,D,R,,,,,"Rich in planktic foraminifers, pebbles, pyrite",,,,69a20afc5b40cb9faa1bddab9587a6b8
341-U1417B-12H-CC-PAL,341,U1417,B,12,12-CC,H,CC,PAL,0,5,103.75,103.8,,,,P,P,,,D,,,,,,,,,,,D,,,,,,LO N. inglei ? Their presence are not confirmed in any CCs in this hole. Rich in sandy terrigenous grains and pumice,,,,d3e3eb6f3b32206964b57b35e85a1bf7
341-U1417B-21H-2-PAL,341,U1417,B,21,21-2,H,2,PAL,0,5,178.14,178.19,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,06b05b70935d32a72af76a5e37cbee1a
341-U1417B-23H-CC-PAL,341,U1417,B,23,23-CC,H,CC,PAL,0,5,187.68,187.73,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,c51d94b4d25f478aa9bb591e485b7369
341-U1417B-25H-CC-PAL,341,U1417,B,25,25-CC,H,CC,PAL,0,5,196.27,196.32,,,,,B,,,,,,,,,,,,,,,,,,,,IRD (>710 micro meters) present,,,,ba6d169217af540bef543ce568de1456
341-U1417B-28H-CC-PAL,341,U1417,B,28,28-CC,H,CC,PAL,0,5,207.26,207.31,,,,,B,,,,,,,,,,,,,,,,,,,,Diatom and Radiolarian rich with presence of the IRD (>710 micro meters).,,,,2a30a8d51e7d66ce56bf1b4a6a7a22cf
341-U1417B-29H-CC-PAL,341,U1417,B,29,29-CC,H,CC,PAL,0,5,211.75,211.8,,,,,B,,,,,,,,,,,,,,,,,,,,IRD present.,,,,0b0e74a0e79b871d3f7f14f9d470106a
341-U1417B-31H-CC-PAL,341,U1417,B,31,31-CC,H,CC,PAL,0,5,220.98,221.03,,,,,B,,,,,,,,,,,,,,,,,,,,Rich in the sand-sized terrigenous grain with presence of the IRD (>710 micro meters).,,,,62e397ef2dd94c021248bd74b431faa1
341-U1417B-32H-CC-PAL,341,U1417,B,32,32-CC,H,CC,PAL,0,5,222.16,222.21,,,,P,P,,,D,,,,,,,,,,,,,,,,,Rich in the sand-sized terrigenous grain with presence of the IRD (>710 micro meters).,,,,0239e7c4dcbe98cee847ed555700a133
341-U1417B-34X-CC-PAL,341,U1417,B,34,34-CC,H,CC,PAL,0,5,230.75,230.8,CM5,N. kagaensis partial range zone,LO Neogloboquadrina kagaensis Kucera and Kennet (2000),M,P,,,,,,,,,,,D,,,,,,,,,LO N. kagaensis ? Rich in sandy terrigenous grains.,,,,56e1a8ffe949b2fe56f3cc01f5202374
341-U1417B-39X-CC-PAL,341,U1417,B,39,39-CC,H,CC,PAL,0,5,276.27,276.32,,,,M,P,,,D,,,,,,,,,,,,D,,,,,Rich in sandy terrigenous grains.,,,,2b7fb89578ae4dbf21b21a874ef32b3f
341-U1417B-41X-CC-PAL,341,U1417,B,41,41-CC,H,CC,PAL,0,5,293.77,293.82,,,,M,P,,,D,,,,,,,,,,,D,A,,,,,Rich in sandy terrigenous grains with the resence of light brown colored foraminifers.,,,,96517d2a22afa08dd6cfa520521edaf5
341-U1417B-45X-CC-PAL,341,U1417,B,45,45-CC,H,CC,PAL,0,5,332.12,332.17,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,f20b3d79a68d14a0fafddefb48289826
