Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus leptoporus (small 3-5 um),Calcidiscus macintyrei (>11 um),Calcidiscus premacintyrei (> 9 microns),Catinaster calyculus,Catinaster coalitus,Catinaster spp.,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus braarudii,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites spp. (small),Dictyococcites spp. (medium),Discoaster berggrenii,Discoaster brouweri,Discoaster deflandrei,Discoaster hamatus,Discoaster kugleri,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster sp.,Emiliania huxleyi,Gephyrocapsa sp. (large),Gephyrocapsa sp. medium,Gephyrocapsa spp. (small),Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera sellii,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra minuta,Reticulofenestra minutula (3-5 microns),Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus sp.,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,comments,eodp_id
323-U1341B-1H-CC-PAL-NANNO69,323,U1341,B,1,1-CC,H,CC,PAL,NANNO69,0,0.0,8.62,8.62,G,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,c3c324cd8d15683cb4e5f177d7867b2e
323-U1341B-2H-CC-PAL-NANNO3,323,U1341,B,2,2-CC,H,CC,PAL,NANNO3,0,0.0,18.48,18.48,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e39b420566390e135d362f4a8163d8e8
323-U1341B-3H-CC-PAL-NANNO8,323,U1341,B,3,3-CC,H,CC,PAL,NANNO8,0,0.0,28.08,28.08,M-P,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,c74fd594d125e188c6740f367ae3ee2c
323-U1341B-4H-CC-PAL-NANNO19,323,U1341,B,4,4-CC,H,CC,PAL,NANNO19,0,0.0,37.6,37.6,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576fae38a581553a0b128ea722170fdd
323-U1341B-5H-CC-PAL-NANNO13,323,U1341,B,5,5-CC,H,CC,PAL,NANNO13,0,0.0,47.04,47.04,M,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,6cbd6b2e91c176c7adc09511a7fde051
323-U1341B-6H-CC-PAL-NANNO14,323,U1341,B,6,6-CC,H,CC,PAL,NANNO14,0,0.0,56.58,56.58,M,A,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,A,,,,,,,,,,,,,,,,,,7aa0b25febf6a8783d4f8dcb1714f47c
323-U1341B-7H-CC-PAL-NANNO71,323,U1341,B,7,7-CC,H,CC,PAL,NANNO71,0,0.0,66.08,66.08,M,A,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,A,,,,,,,R,,,,,,,,,,,e2d23a7547eddfb48234c80fb0c08869
323-U1341B-8H-3-W,323,U1341,B,8,8-3,H,3,W,,0,0.015,68.7,68.7,M-P,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,D,,,,,,,A,,,,,,,,,,,345c1cc6b02d3e75ee61abf58a01774c
323-U1341B-8H-3-W 50/50-NANNO64,323,U1341,B,8,8-3,H,3,W,50/50-NANNO64,0,0.0,69.2,69.2,G,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,C,C,,,,,,,R,,,,,,,,,,,6e2a27fbed6c304d80e321c224f449f3
323-U1341B-8H-3-W 60/60-NANNO65,323,U1341,B,8,8-3,H,3,W,60/60-NANNO65,0,0.0,69.3,69.3,M,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,D,,,,,,,A,,,,,,,,,,,5e3a4e1d6c11cec9b27b9c42497b3567
323-U1341B-8H-3-W 66/66-NANNO66,323,U1341,B,8,8-3,H,3,W,66/66-NANNO66,0,0.0,69.36,69.36,M-P,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,D,,,,,,,A,,,,,,,,,,,21d63ba9113551fb0785bb89887aeb55
323-U1341B-8H-3-W 70/70-NANNO67,323,U1341,B,8,8-3,H,3,W,70/70-NANNO67,0,0.0,69.4,69.4,M-P,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,D,,,,,,,A,,,,,,,,,,,8c71e520e06ec492c80556a36fc24ba3
323-U1341B-8H-3-W 80/80-NANNO68,323,U1341,B,8,8-3,H,3,W,80/80-NANNO68,0,0.0,69.5,69.5,M-P,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,D,,,,,,,A,,,,,,,,,,,3ce4a9af264bd3107029135a1de1eb28
323-U1341B-8H-3-W 86/86-NANNO69,323,U1341,B,8,8-3,H,3,W,86/86-NANNO69,0,0.0,69.56,69.56,M-P,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,D,,,,,,,A,,,,,,,,,,,b8f4cdac55771dcef6488353f1c1431f
323-U1341B-8H-3-W 90/90-NANNO70,323,U1341,B,8,8-3,H,3,W,90/90-NANNO70,0,0.0,69.6,69.6,M-P,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,be5f714f27ea851159ec37099fde6739
323-U1341B-8H-3-W 97/97-NANNO71,323,U1341,B,8,8-3,H,3,W,97/97-NANNO71,0,0.0,69.67,69.67,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,ed5f8f133f515ec41e283a7a13b27a6d
323-U1341B-8H-CC-PAL-NANNO19,323,U1341,B,8,8-CC,H,CC,PAL,NANNO19,0,0.0,75.65,75.65,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,22cee015067bacb3d6b6cbaa941f0b57
323-U1341B-9H-CC-PAL-NANNO24,323,U1341,B,9,9-CC,H,CC,PAL,NANNO24,0,0.0,85.14,85.14,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4bd7caac46db04e4d961598e60b3840
323-U1341B-10H-CC-PAL-NANNO29,323,U1341,B,10,10-CC,H,CC,PAL,NANNO29,0,0.0,94.1,94.1,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e63882c31404e4a2b6a55a24beae53b
323-U1341B-11H-CC-PAL-NANNO34,323,U1341,B,11,11-CC,H,CC,PAL,NANNO34,0,0.0,104.15,104.15,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a0f296e8645e6f66c881813a9b11766
323-U1341B-12H-CC-PAL-NANNO76,323,U1341,B,12,12-CC,H,CC,PAL,NANNO76,0,0.0,113.49,113.49,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c0bd03bab05fb22f928de9e5447456cb
323-U1341B-13H-CC-PAL-NANNO81,323,U1341,B,13,13-CC,H,CC,PAL,NANNO81,0,0.0,123.14,123.14,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,c7d9b64e823c7a0b526dd92ba0ce4243
323-U1341B-14H-CC-PAL-NANNO86,323,U1341,B,14,14-CC,H,CC,PAL,NANNO86,0,0.0,132.74,132.74,P,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42f35c7feb4c5f6fa9d4c1b4a5829d6d
323-U1341B-15H-CC-PAL-NANNO52,323,U1341,B,15,15-CC,H,CC,PAL,NANNO52,0,0.0,142.26,142.26,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93e22f5fd7a88608088c9a89dc404481
323-U1341B-16H-CC-PAL-NANNO57,323,U1341,B,16,16-CC,H,CC,PAL,NANNO57,0,0.0,151.58,151.58,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c2f1aaa4a3028db632230b18abd705a9
323-U1341B-17H-CC-PAL-NANNO62,323,U1341,B,17,17-CC,H,CC,PAL,NANNO62,0,0.0,158.09,158.09,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e94d5a2ebc939f1fbfdeb6d2b56c8117
