Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data
339-U1390B-1H-CC-PAL-FORAM,339,U1390,B,1,1-CC,H,CC,PAL,FORAM,0,5,9.07,9.12,,,VG,D,A,R,,,,F,,,,,R,,,,,,,R,,R,R,,,,,,,,,,,P,,,,,,,R,,R,,,,,,,,,
339-U1390B-2H-CC-PAL-FORAM,339,U1390,B,2,2-CC,H,CC,PAL,FORAM,0,5,19.07,19.12,,,VG,A,A,R,,,,F,,,,,P,,,,,,,,,R,R,,,,,,,,,,,P,,,,,,,R,,R,,,,,,,P,,
339-U1390B-3H-CC-PAL-FORAM,339,U1390,B,3,3-CC,H,CC,PAL,FORAM,0,5,28.3,28.35,,,VG,D,D,P,,,,F,,,,,P,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,A,,R,,,,,,,P,,
339-U1390B-4H-CC-PAL-FORAM,339,U1390,B,4,4-CC,H,CC,PAL,FORAM,0,5,38.21,38.26,,,VG,A,A,R,,,,R,,,,,,P,,,,,,,,,R,,,,,,,,,,,P,,,,,,,D,,R,,,,,,,P,,
339-U1390B-5H-CC-PAL-FORAM,339,U1390,B,5,5-CC,H,CC,PAL,FORAM,0,5,48.09,48.14,,,G,A,A,P,,,,R,,,,,P,P,,,,P,,,,P,R,B,,,,,,,,,,R,,,,,,,D,,R,,,,,,,R,,
339-U1390B-6H-CC-PAL-FORAM,339,U1390,B,6,6-CC,H,CC,PAL,FORAM,0,5,57.53,57.58,R,,VG,A,A,R,,,,F,,,,P,P,,,,,P,,R,,P,B,,,,,,,,,,,P,,,,,,,A,P,R,,,,,,,P,,
339-U1390B-7H-CC-PAL-FORAM,339,U1390,B,7,7-CC,H,CC,PAL,FORAM,0,5,66.89,66.94,,,G,A,A,P,,,,A,,,,P,P,,,,,P,,P,,P,P,,,,,,,,,,,P,,,,,,,A,P,R,,,,,,,P,,
339-U1390B-8H-CC-PAL-FORAM,339,U1390,B,8,8-CC,H,CC,PAL,FORAM,0,5,76.05,76.1,R,,G,F,F,R,,,,R,,,,,P,P,,,,,,R,,P,R,,,,,,,,,,,P,,,,,,,D,P,R,,,,,,,P,,
339-U1390B-9H-CC-PAL-FORAM,339,U1390,B,9,9-CC,H,CC,PAL,FORAM,0,6,84.73,84.79,,,G,A,F,R,,,,F,,,,P,,R,,,,,,P,,R,R,,,,,P,,,,,,R,,,,,,,D,,P,,,,,,,P,,
339-U1390B-10H-CC-PAL-FORAM,339,U1390,B,10,10-CC,H,CC,PAL,FORAM,0,4,93.62,93.66,,,G,A,A,R,,,,A,,,,,P,P,,,,,,R,,P,R,,,,,,,,,,,P,,P,,,,,A,,P,,,,,,,P,,
339-U1390B-11H-CC-PAL-FORAM,339,U1390,B,11,11-CC,H,CC,PAL,FORAM,0,5,104.98,105.03,,,G,A,A,P,,,,A,P,,,,R,P,,,,,,R,,P,R,,,,,,,,,,,P,,,,,,,R,,P,,,,,,,,,
339-U1390B-12H-CC-PAL-FORAM,339,U1390,B,12,12-CC,H,CC,PAL,FORAM,0,5,108.93,108.98,,,VG,D,A,R,,,,A,,,,P,,R,,,,R,,P,,R,P,P,,,,,,,,,,R,,P,P,,,,F,,R,,,,,,,R,,
339-U1390B-13H-CC-PAL-FORAM,339,U1390,B,13,13-CC,H,CC,PAL,FORAM,0,5,118.88,118.93,R,,VG,D,P,A,R,P,R,F,,P,,R,R,R,,,,R,,,,R,P,R,,,,,,,,,,P,,R,R,,,P,R,,R,,,,,,,P,,
339-U1390B-14H-CC-PAL-FORAM,339,U1390,B,14,14-CC,H,CC,PAL,FORAM,0,5,128.63,128.68,,,VG,D,A,A,,,,A,,,,,P,,,,,R,,P,,F,P,P,,,,,,,,,,R,,R,,,,P,F,,F,,,,,,,P,,
339-U1390B-15H-CC-PAL-FORAM,339,U1390,B,15,15-CC,H,CC,PAL,FORAM,0,5,135.53,135.58,,,G,A,F,A,,,,A,P,P,,,P,,,,,F,,,,F,R,,,,,,,,,,,P,,P,P,,,P,A,,R,,,,,,,,,
339-U1390B-16H-CC-PAL-FORAM,339,U1390,B,16,16-CC,H,CC,PAL,FORAM,0,5,144.77,144.82,,,G,D,D,,,,,A,P,,P,,,,,,,,,,,P,P,,,,,P,,,,,,P,,,,,,P,D,,R,,,,,,,R,,
339-U1390B-17H-CC-PAL-FORAM,339,U1390,B,17,17-CC,H,CC,PAL,FORAM,0,5,157.6,157.65,,,VG,D,A,R,,,,R,,,,,R,P,,,,,,P,,P,P,,,,,,,,,,,P,,P,P,,,,A,R,F,,,,,,,R,,
339-U1390B-18H-CC-PAL-FORAM,339,U1390,B,18,18-CC,H,CC,PAL,FORAM,0,5,164.62,164.67,,,VG,D,D,R,,,,F,P,,,,R,,,,,,,R,,P,R,,,,,,,,,,,P,,P,P,,,R,A,R,R,,,,,,,R,,
339-U1390B-19H-CC-PAL-FORAM,339,U1390,B,19,19-CC,H,CC,PAL,FORAM,0,6,175.72,175.78,,,G,D,A,R,,,,F,,,P,,R,,,,,,,P,,P,R,,,,,,,,,,,R,,P,P,,,P,A,,R,,,,,,,P,,
339-U1390B-20H-CC-PAL-FORAM,339,U1390,B,20,20-CC,H,CC,PAL,FORAM,0,5,180.33,180.38,,,G,D,F,A,,,,F,,,P,,F,,,,,R,,,,R,P,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,
339-U1390B-21H-CC-PAL-FORAM,339,U1390,B,21,21-CC,H,CC,PAL,FORAM,0,6,189.64,189.7,,,G,D,D,P,,,,R,,,P,,R,P,,,,,,,,,P,,,,,,,,,,,P,,,,,,,F,,R,,,,,,,R,,
