Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Unnamed: 14,Preservation,Group abundance,Nonionellina labradorica,Nonionella sp.,Quinqueloculina sp.,Stainforthia sp.,Nonion ?,Cassidulina minuta,Islandiella australis,Lagena caudata,Fissurina sp.,Praeglobobulimina ovata,Sigmoilina obesa,Melonis affine,Nonionella turgida,Ship File Links,Shore File Links,eodp_id
342-U1402B-1H-CC-PAL,342,U1402,B,1,1-CC,H,CC,PAL,,0,5,6.97,7.02,7.0,VG [P21],R,F,,P,,A,D,D,P,,P,P,F,F,,,0879da9c6e8baa22e5b900ef3de3dde9
342-U1402B-2H-CC-W 0/5-PAL,342,U1402,B,2,2-CC,H,CC,W,0/5-PAL,0,5,14.21,14.26,14.24,VG [P21],R,F,P,F,F,F,A,D,,P,,,,,,,1028a27bc7d4335fac321074d55b29f9
