Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,physical_constituent_name,pc_fossil_name,pc_fossil_group,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1342C-1H-CC-RADS35,323,U1342,C,1,1-CC,H,CC,RADS35,0,0,7.09,7.09,,G [323_Rs],C [323_Rs],,,F,,,C,,,,A,,,,,,,,,,F,,,,F,,,,,,,F,,,,,F,F,,,,,,,
323-U1342C-2H-CC-RADS40,323,U1342,C,2,2-CC,H,CC,RADS40,0,0,16.94,16.94,,P [323_Rs],F [323_Rs],F,,,F,,C,,,,C,,,,,F,,,,,,,,,F,,,,,F,,F,,,,,,F,,,,,,,
323-U1342C-3H-CC-RADS45,323,U1342,C,3,3-CC,H,CC,RADS45,0,0,26.6,26.6,,M [323_Rs],C [323_Rs],C,F,,F,,C,,,,C,,,,,F,,,,,,,,,,,,,,F,,F,,,,,,F,,,,,,,
323-U1342C-4H-CC-RADS52,323,U1342,C,4,4-CC,H,CC,RADS52,0,0,35.9,35.9,,M [323_Rs],F [323_Rs],,,,,F,F,,,,C,,,,,,,,,,,,,,F,,,,,F,,F,,,,,,,,,,,,,
323-U1342C-5H-CC-RADS57,323,U1342,C,5,5-CC,H,CC,RADS57,0,0,45.58,45.58,,M [323_Rs],F [323_Rs],,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,F,,,,,F,F,,,,,,,
323-U1342C-6H-CC-RADS55,323,U1342,C,6,6-CC,H,CC,RADS55,0,0,45.37,45.37,,P [323_Rs],N [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
