Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data,eodp_id
323-U1343E-1H-CC-PAL-FORAM44,323,U1343,E,1,1-CC,H,CC,PAL,FORAM44,0,0,8.12,8.12,dominant IRD,M,D,,,,,,,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,0e7fbb5dc23e27bec1b9a730b41b6a48
323-U1343E-2H-CC-PAL-FORAM58,323,U1343,E,2,2-CC,H,CC,PAL,FORAM58,0,0,17.7,17.7,dominant IRD,M,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,db48e1bc761a908fa0e64152af7f8896
323-U1343E-3H-CC-PAL-FORAM63,323,U1343,E,3,3-CC,H,CC,PAL,FORAM63,0,0,26.3,26.3,"dominant IRD, abundant diatoms",M,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,9206b82e002c76c4fe144702cd12b751
323-U1343E-4H-CC-PAL-FORAM68,323,U1343,E,4,4-CC,H,CC,PAL,FORAM68,0,0,37.07,37.07,"pyrite tubes, yellow foraminiferal tests",M,D,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,fe9edc620e0cf1e9e54d85aed6211f51
323-U1343E-5H-CC-PAL-FORAM6,323,U1343,E,5,5-CC,H,CC,PAL,FORAM6,0,0,42.96,42.96,,P,P,,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,15124d6a3ee237980b46eb6cb37fd71a
323-U1343E-6H-CC-PAL-FORAM73,323,U1343,E,6,6-CC,H,CC,PAL,FORAM73,0,0,55.45,55.45,"few yellow foraminiferal tests, dominant IRD, few diatoms",M,A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,fe5ca55f99be00cfa8cebbde6e7bcf13
323-U1343E-7H-CC-PAL-FORAM11,323,U1343,E,7,7-CC,H,CC,PAL,FORAM11,0,0,63.9,63.9,"pyrite tubes, yellow foraminiferal tests",P,D,,,,,,,,,,,,,,,,,D,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,,bd3f31eac402b6a47b683434a2107de9
323-U1343E-8H-CC-PAL-FORAM93,323,U1343,E,8,8-CC,H,CC,PAL,FORAM93,0,0,74.79,74.79,"pyrite tubes, yellow foraminiferal tests",M,A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,28c9edffb9081fe4c29f2e80c902e385
323-U1343E-9H-CC-PAL-FORAM98,323,U1343,E,9,9-CC,H,CC,PAL,FORAM98,0,0,84.05,84.05,pyrite tubes,G,A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,ffacafe3f6f87369b16ef258f6c99b1e
323-U1343E-10H-CC-PAL-FORAM3,323,U1343,E,10,10-CC,H,CC,PAL,FORAM3,0,0,90.9,90.9,pyrite tubes,M,A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,1c0003299fcc1c0118b74a9612bc25b6
323-U1343E-11H-CC-PAL-FORAM8,323,U1343,E,11,11-CC,H,CC,PAL,FORAM8,0,0,101.67,101.67,"dominant IRD, pyrite tubes",G,F,,,,,,,,,,,,,,,,,F,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,6a6c26e24b8de18f738d087cdbd9f63f
323-U1343E-12H-CC-PAL-FORAM13,323,U1343,E,12,12-CC,H,CC,PAL,FORAM13,0,0,106.59,106.59,"pyrite tubes, yellow foraminiferal tests",M,D,,,,,,,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,,1818ed374ed8d735fdc614e6d5113bbc
323-U1343E-15H-CC-PAL-FORAM65,323,U1343,E,15,15-CC,H,CC,PAL,FORAM65,0,0,123.35,123.35,"pyrite tubes, yellow foraminiferal tests",M,D,,,,,,P,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,944ecd1372152fa7a24daf3d9f530931
323-U1343E-16H-CC-PAL-FORAM70,323,U1343,E,16,16-CC,H,CC,PAL,FORAM70,0,0,129.46,129.46,"mica, wood fragments?",M,F,,,,,,,,,,,,,,,,,F,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,517a20660b3d22239ab75b5357adab0c
323-U1343E-17H-CC-PAL-FORAM75,323,U1343,E,17,17-CC,H,CC,PAL,FORAM75,0,0,138.34,138.34,"dominant IRD, few diatoms",G,A,,,,,,,,,,,,,,,,,A,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,e42645f144afd57b246efcba4a2a7d2a
323-U1343E-18H-CC-PAL-FORAM10,323,U1343,E,18,18-CC,H,CC,PAL,FORAM10,0,0,148.21,148.21,"dominant IRD, pyrite",M,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,c3239f189f2b6da62822d4b0bf80293e
