Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data,eodp_id
323-U1341A-1H-CC-PAL26     -FORAM68,323,U1341,A,1,1-CC,H,CC,PAL26,FORAM68,0,0,2.92,2.92,"abundant IRD, abundant diatoms, rare sponge spicules",G [323_PF],D,,,,,,F,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,1f206122df23a173192d1a03dd43aa86
323-U1341A-2H-CC-PAL72     -FORAM73,323,U1341,A,2,2-CC,H,CC,PAL72,FORAM73,0,0,12.54,12.54,"abundant IRD (large rock fragments > 0.5 mm), abundant diatoms, rare sponge spicules",M [323_PF],A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,a0be7be9a84148b1c6400dc9f25d2bb3
323-U1341A-3H-CC-PAL70     -FORAM78,323,U1341,A,3,3-CC,H,CC,PAL70,FORAM78,0,0,22.33,22.33,"abundant IRD, few diatoms, rare sponge spicules",G [323_PF],F,,,,,,,,,,,,,,,,,F,,,,,,,,,,8ab1a285b3393ade702f11e7758e5599
323-U1341A-4H-CC-PAL57     -FORAM83,323,U1341,A,4,4-CC,H,CC,PAL57,FORAM83,0,0,31.67,31.67,"dominant IRD, abundant diatoms, rare sponge spicules",G [323_PF],A,,,,,,P,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,413fdeca90856f7a2e688fa2ab09b37a
323-U1341A-5H-CC-PAL42     -FORAM67,323,U1341,A,5,5-CC,H,CC,PAL42,FORAM67,0,0,41.22,41.22,dominant IRD,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,916305226b820c0b5299c0215c9ce19f
323-U1341A-6H-CC-PAL16     -FORAM81,323,U1341,A,6,6-CC,H,CC,PAL16,FORAM81,0,0,50.85,50.85,dominant IRD,G [323_PF],A,,,,,,R,,,,,,,,,,,A,,,,,,,,,,a61eeb41b56b432c9cbc0b308acdb277
323-U1341A-7H-CC-PAL70     -FORAM86,323,U1341,A,7,7-CC,H,CC,PAL70,FORAM86,0,0,60.41,60.41,dominant IRD,G [323_PF],A,,,,,,P,,,,,,,,,,,A,,,,,,,,,,4e18f14abc3068d2e2515773c32d2e9d
323-U1341A-8H-CC-PAL23     -FORAM91,323,U1341,A,8,8-CC,H,CC,PAL23,FORAM91,0,0,69.31,69.31,dominant IRD,G [323_PF],A,,,,,,,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,5d0f71b04095dd859fe36ff1d00cdd3d
323-U1341A-9H-CC-PAL92     -FORAM0,323,U1341,A,9,9-CC,H,CC,PAL92,FORAM0,0,0,79.56,79.56,dominant IRD,G [323_PF],D,,,,,,R,,,,,,,,,,,D,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,64ccfa8ae40d9af20713e9d38b1d9ec7
323-U1341A-10H-CC-PAL-FORAM66,323,U1341,A,10,10-CC,H,CC,PAL,FORAM66,0,0,89.02,89.02,dominant IRD,G [323_PF],A,,,,,,P,,,,,,,,,,,A,,,,,,,,,,c6f42c00a294f06ad2f30ca24257202c
