Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Acrobotrys tritubus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidium jenghisi,Anthocyrtidium pliocenica,Botryostrobus miralestense,Buccinosphaera invaginata,Calocycletta caepa,Calocycletta cladara,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis favosa,Collosphaera tuberosa,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Didymocyrtis avita,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris dentata,Eucyrtidium diaphanes,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Liriospyris parkerae,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnodictyum audax,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Pterocorys campanula,Pterocorys hertwigii,Siphostichartus corona,Solenosphaera omnitubus omnitubus,Solenosphaera omnitubus procera,Spongaster berminghami,Spongaster pentas,Spongaster tetras tetras,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium trachelium,Theocorythium vetulum,Theocyrtis annosa,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1471A-1H-CC-PAL-RADS,0,5,4.57,4.62,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,1,H,CC,PAL,434a75950e86c71542de6cb78777dfbd
359-U1471A-5H-CC-PAL-RADS,0,5,42.62,42.67,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,5,H,CC,PAL,c6b3395a64b4ceec60840c569d035d41
359-U1471A-10H-CC-PAL-RADS,0,5,90.29,90.34,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,10,H,CC,PAL,79f4f4bd3386267e16cf61b67ae85867
359-U1471A-15H-CC-PAL-RADS,0,5,138.05,138.1,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,15,H,CC,PAL,1e06b0560724ee8aa41d389a11d34213
359-U1471A-20H-CC-PAL-RADS,0,5,185.19,185.24,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,20,H,CC,PAL,b63226b206a8f520243502c918aea4f8
359-U1471A-25H-CC-PAL-RADS,0,5,233.11,233.16,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,25,H,CC,PAL,242134eb40177d0271b6f68a499d81e3
359-U1471A-30H-CC-PAL-RADS,0,5,276.11,276.16,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,30,H,CC,PAL,2a344a78979d1a6f5f78d0ac5f47e605
359-U1471A-35F-CC-PAL-RADS,0,5,305.73,305.78,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,35,F,CC,PAL,0007716a602fd3410d4dd6a2abf988c6
359-U1471A-40X-CC-PAL-RADS,0,5,335.43,335.48,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,40,X,CC,PAL,7e654799a89e861481ab79b07cf8b316
359-U1471A-45F-CC-PAL-RADS,0,5,384.46,384.51,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,45,F,CC,PAL,550536b5d04289c56a41990760079600
359-U1471A-50X-CC-PAL-RADS,0,5,423.13,423.18,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,50,X,CC,PAL,b4e02be43c0b5fa70a6ed9bdd26d34b0
359-U1471A-55X-CC-PAL-RADS,0,5,471.83,471.88,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,55,X,CC,PAL,8b36f212ac67f1a550bae177deafe099
359-U1471A-61F-CC-PAL-RADS,0,5,518.19,518.24,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,61,F,CC,PAL,e94998f7af9bb14dd5e8b647b08441cc
359-U1471A-65X-CC-PAL-RADS,0,5,539.5,539.55,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,65,X,CC,PAL,6ae23c82df890c41d71d01dc683e1267
359-U1471A-69X-CC-PAL-RADS,0,5,578.77,578.82,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,69,X,CC,PAL,55163c18c3ba47d9cba1046d8f87b62b
359-U1471A-75X-CC-PAL-RADS,0,5,639.14,639.19,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,75,X,CC,PAL,8ce83be42251322bb6a0a7e6867db181
