Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus leptoporus (small 3-5 um),Calcidiscus macintyrei (>11 um),Calcidiscus premacintyrei (> 9 microns),Catinaster calyculus,Catinaster coalitus,Catinaster spp.,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus braarudii,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites spp. (small),Dictyococcites spp. (medium),Discoaster berggrenii,Discoaster brouweri,Discoaster deflandrei,Discoaster hamatus,Discoaster kugleri,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster sp.,Emiliania huxleyi,Gephyrocapsa sp. (large),Gephyrocapsa sp. medium,Gephyrocapsa spp. (small),Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera sellii,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra minuta,Reticulofenestra minutula (3-5 microns),Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus sp.,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,comments,,,eodp_id
323-U1340C-1H-CC-PAL-NANNO66,323,U1340,C,1,1-CC,H,CC,PAL,NANNO66,0,0,9.75,9.75,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7c70d580fa46825878f1ef53c2979167
323-U1340C-2H-CC-PAL-NANNO83,323,U1340,C,2,2-CC,H,CC,PAL,NANNO83,0,0,19.47,19.47,G [323_Na],A,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,C,D,,,,,,,,,,,,,,,,,more than 50 spc/FOV,,,4bb018550d9cbd0edf4181171a92a3c7
323-U1340C-3H-CC-PAL-NANNO71,323,U1340,C,3,3-CC,H,CC,PAL,NANNO71,0,0,28.98,28.98,G [323_Na],A,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,C,D,,,,,,,,,,,,,,,,,more than 50 spc/FOV,,,4e81772fb7a9091f9b06a192a49ff392
