Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,calcispheres,Neobiscutum spp.,Coccolithus pelagicus,Cruciplacolithus primus,Cruciplacolithus intermedius,Chiasmolithus danicus,Prinsius tenuiculus,Fasciculithus magnus,Ellipsolithus macellus,Toweius pertusus,Sphenolithus moriformis,Neochiastozygus perfectus,Fasciculithus ullii,Fasciculithus tympaniformis,Sphenolithus anarrhopus,Discoaster mohleri,Heliolithus kleinpellii,Heliolithus cantabriae,Fasciculithus richardii,Discoaster multiradiatus,Fasciculithus alanii,Ericsonia robusta,Rhomboaster spp.,Rhomboaster bramlettei,Fasciculithus spp.,Discoaster diastypus,Tribrachiatus orthostylus,Sphenolithus radians,Tribrachiatus contortus,Discoaster lodoensis,Discoaster sublodoensis,Girgisia gammation,Nannotetrina cristata,Nannotetrina  fulgens,Chiasmolithus gigas,Sphenolithus furcatolithoides,Reticulofenestra umbilicus (>14µm),Reticulofenestra reticulata,Chiasmolithus solitus,Dictyococcites bisectus (>10 µm),Isthmolithus recurvus,Chiasmolithus grandis,Chiasmolithus oamaruensis,Discoaster barbadiensis,Discoaster saipanensis,Coccolithus formosus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus predistentus,Triquetrorhabdulus sp. (long),Triquetrorhabdulus carinatus,Sphenolithus delphix,Biantholithus sparsus,Biantholithus? flosculus,Blackites amplus bases,Blackites creber,Blackites gladius,Blackites herculesii,Blackites inflatus,Blackites perlongus,Blackites spinosus,Blackites tenuis,Bomolithus elegans,Bomolithus megastypus,Bomolithus supremus,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus pacificanus,Calcidiscus protoannulus,Calciosolenia aperta,Calciosolenia fossilis,Campylosphaera dela,Chiasmolithus altus,Chiasmolithus bidens,Chiasmolithus californicus (>13µm),Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus nitidus,Chiasmolithus titus,Chiphragmolithus acanothodes,Chiphragmolithus armatus,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Clausicoccus vanheckiae,Coccolithus bownii,Coccolithus cachaoi,Coccolithus eopelagicus ( >14µm),Coronocyclus nitescens, Cruciplacolithus asymmetricus,Cruciplacolithus cruciformis,Cruciplacolithus edwardsii,Cruciplacolithus frequens,Cruciplacolithus latipons,Cyclagelosphaera reinhardtii,Cyclicargolithus abisectus (11 µm),Cyclicargolithus floridanus (5-11µm),Cyclicargolithus floridanus small (<5µm),Cyclicargolithus? luminis,Daktylethra punctulata,Dictyococcites scrippsae (<10µm),Discoaster anartios,Discoaster araneus,Discoaster backmanii,Discoaster bifax,Discoaster binodosus,Discoaster deflandrei,Discoaster delicatus,Discoaster distinctus,Discoaster falcatus,Discoaster kuepperi,Discoaster lenticularis,Discoaster mahmoudii,Discoaster mediosus,Discoaster nodifer,Discoaster ornatus,Discoaster pacificus,Discoaster paelikei,Discoaster salisburgensis,Discoaster tanii,Discoaster wemmelensis,Ellipsolithus anadoluensis,Ellipsolithus distichus,Ericsonia robusta (small),Ericsonia subpertusa,Fasciculithus involutus,Fasciculithus lilianae,Fasciculithus pileatus,Fasciculithus shaubii,Fasciculithus clinatus,Futyania petalosus,Goniolithus fluckigeri,Hayella situliformis,Helicosphaera bramlettei,Helicosphaera clarissima,Helicosphaera compacta,Helicosphaera ethologa,Helicosphaera euphratis,Helicosphaera gartneri,Helicosphaera heezenii,Helicosphaera lophota,Helicosphaera obliqua,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera reticulata,Helicosphaera seminulum,Helicosphaera wilcoxonii,Ilselithina fusa,Jakubowskia leoniae,Lanternilithus duocavus,Lanternithus minutus,Lapideacassis sp.,Lophodolithus acutus,Lophodolithus mochlophorus,Lophodolithus nascens,Lophodolithus reniformis,Lophodolithus rotundus,Markalius apertus,Markalius inversus,Micrantholithus attenuatus,Micrantholithus flos,Neochiastozygus junctus,Neochiastozygus modestus,Neochiastozygus rosenkrantzii,Neochiastozygus saepes,Neococcolithes dubius,Neococcolithes protenus,Neocrepidolithus cruciatus,Neocrepidolithus dirimosus,Neocrepidolithus fossus,Neocrepidolithus neocrassus,Octolithus multiplus,Pedinocyclus larvalis,Pemma basquense,Pemma papillatum,Pontosphaera exilis,Pontosphaera multipora,Pontosphaera plana,Pontosphaera versa,Prinsius martinii,Prinsius bisulcus,Pseudotriquetrorhabdulus inversus,Reticulofenestra daviesii,Reticulofenestra dictyoda  (10-14µm),Reticulofenestra dictyoda  (3-10µm),Reticulofenestra lockeri,Reticulofenestra minuta (<3µm),Rhomboaster calcitrapa,Rhomboaster cuspis,Scyphosphaera apsteinii,Semihololithus biskayae,Sphenolithus akropodus,Sphenolithus arthurii,Sphenolithus conicus,Sphenolithus conspicuus,Sphenolithus editus,Sphenolithus obtusus,Sphenolithus orphanknollensis,Sphenolithus pseudoradians,Sphenolithus runus,Sphenolithus spiniger,Sphenolithus strigosus,Sphenolithus tribulosus,Sphenolithus villae,Toweius callosus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius occultatus,Toweius serontinus,Tribrachiatus digitalis,Umbilicosphaera bramlettei,Umbilicosphaera jordanii,Zeugrhabdotus sigmoides,Zygodiscus plectopons,Zygrhablithus bijugatus,Comments,File Data,
342-U1406A-12H-7-PAL,342,U1406,A,12,12-7,H,7,PAL,,0,7,110.66,110.73,NP25,"NP25 - Sphenolithus ciperoensis (Gradstein et al., 2012)",,G [P07],A [A22],,,C [A23],,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,R [A23],,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,,,,,,,Freq [A23],C [A23],,,,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-13H-7-PAL,342,U1406,A,13,13-7,H,7,PAL,,0,15,119.98,120.13,NP25,"NP25 - Sphenolithus ciperoensis (Gradstein et al., 2012)",,M-G,A [A22],,,C [A23],,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,,,R [A23],,Freq [A23],R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,Freq [A23],Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-14H-CC-PAL,342,U1406,A,14,14-CC,H,CC,PAL,,0,6,128.52,128.58,NP25,"NP25 - Sphenolithus ciperoensis (Gradstein et al., 2012)",,M-G,A [A22],R [A23],,C [A23],,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-C,,,,,,,R [A23],R [A23],,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,R [A23],,,,,,,,C [A23],Freq [A23],,,,,,,,,,Freq [A23],,,,,,,,R [A23],,,,,R [A23],,,,,,,,,,,,,,,,,,R [A23],,,,,,F-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,Freq [A23],Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-15H-CC-PAL,342,U1406,A,15,15-CC,H,CC,PAL,,0,7,139.64,139.71,NP25,"NP25 - Sphenolithus ciperoensis (Gradstein et al., 2012)",,M-G,A [A22],R [A23],,C [A23],,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,1,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,R [A23],,,,,,R [A23],,,,R [A23],Freq [A23],,,,,,,C [A23],Freq [A23],,,,,,,,,,Freq [A23],,,,,,,,R [A23],,,,,R [A23],,,,,,,,,,,,,,,,,,R [A23],,,,,,R [A23],,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-16H-4-W 100/102-PAL,342,U1406,A,16,16-4,H,4,W,100/102-PAL,0,2,144.7,144.72,NP25,"NP25 - Sphenolithus ciperoensis (Gradstein et al., 2012)",,M-G,A,,,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,1?,F,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,R,,,,R,,,,,,,,C,F,,,,,,,,,,F,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-16H-5-W 75/75-NANNO,342,U1406,A,16,16-5,H,5,W,75/75-NANNO,0,0,145.95,145.95,NP25,"NP25 - Sphenolithus ciperoensis (Gradstein et al., 2012)",,M-G,A,,,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,-,F,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,R,,,,,,,,C,F,,,,,,,,,,F,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-16H-CC-PAL,342,U1406,A,16,16-CC,H,CC,PAL,,0,13,147.97,148.1,NP24,"NP24 - Sphenolithus distentus (Gradstein et al., 2012)","T Sphenolithus distentus ( Gradstein et al., 2012)",M-G,A [A22],,,C [A23],,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,cf.,,,Freq [A23],,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,R [A23],,,,,,R [A23],,,,R [A23],R [A23],,1?,,,,,C [A23],Freq [A23],,,,,,,,,,R [A23],,,,,,,,R [A23],,,,,R [A23],,,,,,,,,,,,,,,,,,R [A23],,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-17H-CC-PAL,342,U1406,A,17,17-CC,H,CC,PAL,,0,7,157.23,157.3,NP24,"NP24 - Sphenolithus distentus (Gradstein et al., 2012)",,M-G,A [A22],,,C [A23],,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,,Freq [A23],R [A23],R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,R [A23],R [A23],,,,,,,Freq [A23],A [A23],,,,,,,,,,Freq [A23],,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],C [A23],C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-18H-1-W 75/75-NANNO,342,U1406,A,18,18-1,H,1,W,75/75-NANNO,0,0,158.05,158.05,NP24,"NP24 - Sphenolithus distentus (Gradstein et al., 2012)","B Sphenolithus ciperoensis ( Gradstein et al., 2012)",M-G,A,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,RR,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,R,,,,,,,,F,A,,,,,,,,,,R,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,R,,R,,,,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-18H-3-W 75/75-NANNO,342,U1406,A,18,18-3,H,3,W,75/75-NANNO,0,0,160.89,160.89,NP23,"NP23 - Sphenolithus predistentus (Gradstein et al., 2012)",,M-G,A,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,?,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,F,A,,,,,,,,,,F,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,R,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
