Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus leptoporus (small 3-5 um),Calcidiscus macintyrei (>11 um),Calcidiscus premacintyrei (> 9 microns),Catinaster calyculus,Catinaster coalitus,Catinaster spp.,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus braarudii,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites spp. (small),Dictyococcites spp. (medium),Discoaster berggrenii,Discoaster brouweri,Discoaster deflandrei,Discoaster hamatus,Discoaster kugleri,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster sp.,Emiliania huxleyi,Gephyrocapsa sp. (large),Gephyrocapsa sp. medium,Gephyrocapsa spp. (small),Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera sellii,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra minuta,Reticulofenestra minutula (3-5 microns),Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus sp.,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,comments,eodp_id
323-U1341A-1H-CC-PAL26-NANNO65,323,U1341,A,1,1-CC,H,CC,PAL26,NANNO65,0,0,2.92,2.92,G [323_Na],F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,d4ecdab6ec87fe30088d0f6ada8a6270
323-U1341A-2H-CC-PAL72-NANNO70,323,U1341,A,2,2-CC,H,CC,PAL72,NANNO70,0,0,12.54,12.54,M [323_Na],F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,2e6072f42976110fed0440d84234f085
323-U1341A-3H-5-W 75/75-NANNO7,323,U1341,A,3,3-5,H,5,W,75/75-NANNO7,0,0,19.25,19.25,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5193dd9f5bc44697a8bb69e07cfb6f5a
323-U1341A-3H-CC-PAL70-NANNO75,323,U1341,A,3,3-CC,H,CC,PAL70,NANNO75,0,0,22.33,22.33,M [323_Na],R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,a45e0fa2bb367ba59078e3f2c7210485
323-U1341A-4H-CC-PAL57-NANNO80,323,U1341,A,4,4-CC,H,CC,PAL57,NANNO80,0,0,31.67,31.67,M-P [323_Na],A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,1255d6b72f21f2744088707668a690d9
323-U1341A-5H-CC-PAL42-NANNO64,323,U1341,A,5,5-CC,H,CC,PAL42,NANNO64,0,0,41.22,41.22,M [323_Na],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,11399500a15db59533979627b53a0d4a
323-U1341A-6H-CC-PAL16-NANNO78,323,U1341,A,6,6-CC,H,CC,PAL16,NANNO78,0,0,50.85,50.85,G [323_Na],C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,C,,,,,,,F,,,,,,,,,,,5fed3c2ce20880607b3436e53541c9c7
323-U1341A-7H-CC-PAL70-NANNO83,323,U1341,A,7,7-CC,H,CC,PAL70,NANNO83,0,0,60.41,60.41,G [323_Na],A,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,R,A,,,,,,,C,,,,,,,,,,,616a85b23d98e31e0eb8067ea6b0d83a
323-U1341A-8H-7-A 10/10-NANNO24,323,U1341,A,8,8-7,H,7,A,10/10-NANNO24,0,0,68.6,68.6,G [323_Na],A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,D,A,,,,,,,,,,,,,,,,,,7367d39e9b30c6392c376a7153f3e615
323-U1341A-8H-CC-PAL23-NANNO88,323,U1341,A,8,8-CC,H,CC,PAL23,NANNO88,0,0,69.31,69.31,M-P [323_Na],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,047c615c5732b4089cc9e0aa75ecf1ae
