Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,eodp_id
339-U1387A-1H-CC-PAL-FORAM,339,U1387,A,1,1-CC,H,CC,PAL,FORAM,0,5,5.02,5.07,G,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,P,,,,,A,,R,,,,P,,,R,P,,,,,,,,6452fd5fb3055c316055491d2a5ab580
339-U1387A-3H-CC-PAL-FORAM,339,U1387,A,3,3-CC,H,CC,PAL,FORAM,0,4,24.27,24.31,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,,,A,,R,,,,,,,,,,,,,,,,23c9df7a9db3d865340a3a60a3d487a2
339-U1387A-5H-CC-PAL-FORAM,339,U1387,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.64,42.69,G,D,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,R,,P,,,A,,R,,,,F,,,,,,,,,,,,8e28be722695f4d871b092501d08544f
339-U1387A-7X-CC-PAL-FORAM,339,U1387,A,7,7-CC,X,CC,PAL,FORAM,0,5,52.51,52.56,M,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,D,,R,,,,R,,,,R,,,,,P,,,c6f3d5691eb2bb45a85a1819458529fb
339-U1387A-9X-CC-PAL-FORAM,339,U1387,A,9,9-CC,X,CC,PAL,FORAM,0,4,74.72,74.76,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,P,,,P,,,,,,F,,,,P,,,,,,,,73a28c96392e450044b49618e99bc7ea
339-U1387A-11X-6-PAL-FORAM,339,U1387,A,11,11-6,X,6,PAL,FORAM,0,5,92.37,92.42,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,A,,,,,,F,,,F,,,P,,,,,,4d862f368ea9343824621566ddfdb841
339-U1387A-13X-CC-PAL-FORAM,339,U1387,A,13,13-CC,X,CC,PAL,FORAM,0,5,113.34,113.39,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,P,,,P,R,R,R,,,,,,5897010dc05c7a927b6f4f83b8bb0740
339-U1387A-15X-CC-PAL-FORAM,339,U1387,A,15,15-CC,X,CC,PAL,FORAM,0,5,132.38,132.43,G,D,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,R,,P,,,,P,,,,,,P,,,,,,fc26dd30fdfe43c963584856fb40d071
339-U1387A-17X-CC-PAL-FORAM,339,U1387,A,17,17-CC,X,CC,PAL,FORAM,0,5,151.28,151.33,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,R,,,F,,P,,,,F,,,P,R,,,,,,,,8784db0c78cb1a48a989dab4d54369ba
339-U1387A-19X-CC-PAL-FORAM,339,U1387,A,19,19-CC,X,CC,PAL,FORAM,0,5,170.6,170.65,G,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,,F,,,,,,R,,,,,R,,P,,,,R,,,P,R,,,,,,,,2d65cda31af919c76d88dda2f9d8c4c2
339-U1387A-21X-CC-PAL-FORAM,339,U1387,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.64,189.69,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,e96bd44f70d83805430d7167002c9115
339-U1387A-24X-CC-PAL-FORAM,339,U1387,A,24,24-CC,X,CC,PAL,FORAM,0,5,218.66,218.71,G,D,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,R,,,,,F,,R,,,,,P,,,P,,,,,,,,0f399d4e0b345ad1bc3f724fd12eb79f
339-U1387A-26X-CC-PAL-FORAM,339,U1387,A,26,26-CC,X,CC,PAL,FORAM,0,5,237.78,237.83,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,A,P,R,,,,A,,,P,R,,,,,,,,ba0cd6550744b405f3dfb065fe5cb2c3
339-U1387A-28X-CC-PAL-FORAM,339,U1387,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.69,256.74,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,R,,R,,,,R,,,,,,,,,,,,56b86c4d90c0a213f476cd83d09c8788
339-U1387A-30X-CC-PAL-FORAM,339,U1387,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.24,276.29,G,A,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,P,,P,,,,,,2d5ffe719f2ec3cfd40d02178c167975
339-U1387A-32X-CC-PAL-FORAM,339,U1387,A,32,32-CC,X,CC,PAL,FORAM,0,5,295.24,295.29,G,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,A,,,,,,P,,,P,,,R,,,,,,f4b87300647e4ed66d715c6525409921
339-U1387A-34X-CC-PAL-FORAM,339,U1387,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.97,315.02,G,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,R,,P,,,D,,,,,,R,,,,,,,,,,,,bac4b84a16c3d9fb8833f861679271f1
339-U1387A-36X-CC-PAL-FORAM,339,U1387,A,36,36-CC,X,CC,PAL,FORAM,0,6,333.43,333.49,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,D,,,,,,,,,,,P,,,,,,,1df5f4c718bc9aa60d9868827ad05f43
