Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1389A-1H-1-W 61/63-7447-FORAM,339,U1389,A,1,1-1,H,1,W,61/63-7447-FORAM,0,2,0.61,0.63,R,,G,D,F,F,P,R,F,F,P,,,,R,,,,,P,,,,R,F,,,,,,,,,,,P,,,,,,,R,,,P,,,,,,,,,
339-U1389A-1H-3-W 28/30-7448-FORAM,339,U1389,A,1,1-3,H,3,W,28/30-7448-FORAM,0,2,3.28,3.3,B,,G,D,F,A,P,,P,A,,P,P,P,P,P,,,,P,,,,R,R,,,,,,,,,,,,,,,,,,R,,P,,,,,,,,,,
339-U1389A-1H-CC-PAL-FORAM,339,U1389,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.25,4.3,R,,VG,A,A,A,P,,,F,,,,,P,P,,,,,,,,R,P,P,,,,,,,,,,P,,,P,,,,A,,,,,,,,P,,,,
339-U1389A-2H-1-W 59/61-7443-FORAM,339,U1389,A,2,2-1,H,1,W,59/61-7443-FORAM,0,2,4.89,4.91,R,,G,A,F,P,,,,A,,,,,R,,,,,R,,,,F,R,,,,,,,,,,,P,,P,,,,,F,,,,,,,,,P,,,
339-U1389A-2H-3-W 59/61-7444-FORAM,339,U1389,A,2,2-3,H,3,W,59/61-7444-FORAM,0,2,7.89,7.91,B,,G,A,A,F,,P,,F,P,,,,R,,,,,P,,,,R,R,,,,,,,,,,,P,,,,,,,A,,,,,,,,,P,,,
339-U1389A-2H-CC-PAL-FORAM,339,U1389,A,2,2-CC,H,CC,PAL,FORAM,0,5,14.13,14.18,R,,G,A,A,R,,,,F,,,,,P,,,,,R,,R,,F,P,,,,,,,,,,,P,,,,,,,A,,R,,,,,,,P,,,
339-U1389A-3H-CC-PAL-FORAM,339,U1389,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.66,23.71,B,,G,A,A,F,,,,R,,,,,P,,,,,R,,P,,R,P,,,,,,,,,,,R,,,,,,,A,,P,,,,,,,P,,,
339-U1389A-4H-CC-PAL-FORAM,339,U1389,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.34,33.39,B,,G,A,A,R,,,,A,P,,,,P,,P,,,,,P,,R,R,,,,,,,,,,,P,,P,,,,,A,,P,,,,,,,R,,,
339-U1389A-5H-CC-PAL-FORAM,339,U1389,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.99,43.04,B,,G,A,A,R,,,,A,,,,,P,P,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,R,,R,,,,,,,R,,,
339-U1389A-6H-CC-PAL-FORAM,339,U1389,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.38,52.43,B,,G,A,A,R,,,,A,,,,,P,R,,,,,,,,R,P,,,,,,,,,,,P,,,,,,,R,,R,,,,,,,P,,,
