Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Acervulinid taxa,Agglutinates (indeterminant fragments),Ammobaculites sp.,Ammonia beccarii,Ammonia sp.,Ammonia tepida,Amphicoryna spp.,Amphistegina gibbosa,Amphistegina lessonii,Amphistegina radiata,Amphistegina sp.,Astacolus sp.,Asterigerina sp.,Bigenerina sp.,Biloculina sp.,Bolivina spp.,Bolivinita quadrilatera,Bulimina aculeata,Bulimina costata,Bulimina marginata,Bulimina pupoides,Bulimina sp.,Cassidulina sp.,Cassidulina teretis,Chilostomella sp.,Cibicides  bradyi,Cibicides pachyderma,Cibicides refulgens,Cibicides sp.,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides lobatulus,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides wuellerstorfi,Cornuspira sp.,Cribrononion kerguelenense,Cribrononion sp.,Cyclorbiculina compressa,Cymbaloporetta sp.,Dentalina advena,Dentalina inornata,Dentalina sp.,Dentalina subemaciata,Dentalina subsoluta,Discorbina sp.,Dorothia exilis,Eggerella sp.,Ehrenbergina sp.,Elphidium excavatum,Eponides repandus,Fissurina marginata,Fissurina orbignyana,Fissurina semimarginata,Fissurina sp.,Fissurina wiesneri,Florilus spp.,Fursenkoina sp.,Gavelinopsis sp.,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides spp,Hauerinella inconstans,Heterostegina sp.,Hoeglundina elegans,Karreriella bradyi,Lagena laevis,Lagena sp.,Lagena striata,Laticarinina pauperata,Lenticulina iota,Lenticulina orbicularis,Lenticulina peregrina,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marinittiella sp.,Melonis spp.,Myllostomella costai,Myllostomella huygaensis,Myllostomella spp.?,Nodosaria albatrossi,Nodosaria sp.,Oolina melo,Oolina spp.,Oridorsalis umbonatus,Orthomorphina cf. jedlitschkai,Orthomorphina perversa,Orthomorphina sp.,Osangularia spp.,Parasorites orbitolitoides,Peneroplis sp.,Planctostoma luculenta,Planispirinoides bucculentus,Planulina ariminensis,Planulina sp.,Pleurostomella alternans,Pleurostomella sp.,Proxifrons inaequalis,Pullenia bulloides,Pyrgo comata,Pyrgo depressa,Pyrgo elongata,Pyrgo murrhina,Pyrgo serrata,Pyrgo sp.,Pyrgoella irregularis,Pyrgoella sp.,Pyrulina cylindroides,Quinqueloculina agglutinans,Quinqueloculina bicostata,Quinqueloculina bosciana,Quinqueloculina bradyana,Quinqueloculina candeiana,Quinqueloculina granulocostata,Quinqueloculina seminulum,Quinqueloculina sp.,Rectobolivina sp.,Rectoglandulina sp.,Reophax sp.,Robertina bradyi,Robertina sp. A,Robertinoides spp.,Rupertina stabilis,Sigmavirgulina tortuosa,Sigmoilopsis spp.,Siphonina bradyana,Siphonina sp.,Siphonodosaria cooperensis,Siphonodosaria insecta,Siphonodosaria pomuligera,Siphonodosaria sargrinensis,Siphonodosaria sp.,Siphouvigerina ampullacea,Sphaerogypsina globulus,Sphaeroidina bulloides,Spirillina sp.,Spiroloculina sp.,Stilostomella antillea,Stilostomella fistuca,Stilostomella sp.,Trifarina sp.,Triloculina insignis,Triloculina spp.,Uvigerina auberiana,Uvigerina cf. canariensis,Uvigerina hispida,Uvigerina hollicki,Uvigerina peregrina,Uvigerina peregrina f. parvula,Uvigerina sp.,Vaginulina americana,Vertebralina sp.,Virgulina cf texturata,Vulvulina pennatula,Comment,File Data
340-U1396A-1H-CC-PAL-FORAMB,340,U1396,A,1,1-CC,H,CC,PAL,FORAMB,0,0,5.6,5.6,M [P27],D [A29],,,P [A29],,,,,,,,,,,P [A29],,,,,,,,,,,,,,,,P [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A29],,,,,,R [A29],,,,P [A29],,,,P [A29],,,,,,,,,,,,,,,,,,,,,P [A29],,,,,,P [A29],,,P [A29],,,,,,,,,,,,,,,,,,,,,,F [A29],R [A29],,,,,,,R [A29],,R [A29],,,,,,,,,,,,,,,,,,,,,
340-U1396A-2H-CC-PAL-FORAMB,340,U1396,A,2,2-CC,H,CC,PAL,FORAMB,0,0,14.75,14.75,M [P27],D [A29],,,,,,,,,,,,,,P [A29],,,,,,P [A29],,,,,,,,,P [A29],,,,,,,P [A29],,,,,,,,,P [A29],,,,,,P [A29],,,,,,,,,,,,,P [A29],,,,,,,,,,P [A29],,,P [A29],P [A29],,,,,,,,,,,,,,,,,,,,,,P [A29],P [A29],,,,,,,P [A29],,,,,,,,,,,,,P [A29],,,,,,,,,P [A29],P [A29],,F [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1396A-3H-CC-PAL-FORAMB,340,U1396,A,3,3-CC,H,CC,PAL,FORAMB,0,0,25.15,25.15,M [P27],D [A29],,,,,,,,,,,,,,R [A29],,,,,,,,,,,,,,,,,,,,,,P [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A29],,,,,,,,,P [A29],,,,,,,,,,,,,P [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1396A-4H-CC-PAL-FORAMB,340,U1396,A,4,4-CC,H,CC,PAL,FORAMB,0,0,34.8,34.8,M [P27],D [A29],,,,,,,,,,,,,,P [A29],,,,,,,,,,,,,,,,,,P [A29],,,,,P [A29],,,,,,,,,,R [A29],,,,,,,,R [A29],,,,,,,,,,,,,,,,,,,P [A29],,,,,,,,,,,,,,,,,,,P [A29],,,,,,,P [A29],P [A29],,R [A29],R [A29],,,,,,,,,,,,,,,,,,,,,,,,,,P [A29],,,A [A29],,,R [A29],,,,,,,,,,,,,,,,,,,,,,,R [A29],,
340-U1396A-5H-CC-PAL-FORAMB,340,U1396,A,5,5-CC,H,CC,PAL,FORAMB,0,0,44.18,44.18,M [P27],D [A29],,,,,,,,,,,,,,P [A29],,P [A29],,,,,,,,,,P [A29],P [A29],,,P [A29],,,,,,,R [A29],,,,,,,,R [A29],,,,,,R [A29],,,,,,,,,,,,,,,,,,A [A29],P [A29],,,,R [A29],,,,,,,,,,A [A29],R [A29],,P [A29],,,,A [A29],P [A29],,,,,,,,,,F [A29],,,,,,P [A29],,,,,,,,,,,,,,,,,,,,,,P [A29],P [A29],,A [A29],,,P [A29],P [A29],F [A29],,,,R [A29],,,,,,,,,,,,,,,,,R [A29],,
340-U1396A-6H-CC-PAL-FORAMB,340,U1396,A,6,6-CC,H,CC,PAL,FORAMB,0,0,53.74,53.74,M [P27],D [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A29],,,,,,,,,,,,,,,,,,,,,,,,,P [A29],,,,,,,,P [A29],,,,,,,P [A29],R [A29],,,,,,,,,,,,,P [A29],,,R [A29],,,,,,R [A29],,,,,,,,,,,,,,,,,,,,,,P [A29],,,A [A29],,,R [A29],,R [A29],,,,,,,,,,,,,,,,,R [A29],,,,,,
340-U1396A-7H-CC-PAL-FORAMB,340,U1396,A,7,7-CC,H,CC,PAL,FORAMB,0,0,63.03,63.03,M [P27],A [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A29],,,,,,,,,,,,,,,R [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A29],,,,,,,,,,,,,R [A29],,,,,,,,,,,,,,,,,P [A29],,,,,,,,,,,,,,,,,,,,,,,,,P [A29],,P [A29],,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1396A-8H-CC-PAL-FORAMB,340,U1396,A,8,8-CC,H,CC,PAL,FORAMB,0,0,72.72,72.72,M [P27],A [A29],,,,,,,R [A29],,,,,,,R [A29],,,,,,,,,,,,,,,,P [A29],,,,P [A29],,,,,,,,,,,,,,,,,R [A29],,,,,,,,,,,,R [A29],,,,,,,,,,,,,,,,,,,,,,P [A29],,,,,,,,R [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A29],,,,,,,,R [A29],,,,,,,,,,,,,,,,,
340-U1396A-9H-CC-PAL-FORAMB,340,U1396,A,9,9-CC,H,CC,PAL,FORAMB,0,0,82.04,82.04,M [P27],A [A29],,,,,,,R [A29],,,,,,,R [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A29],,,,,,,,,,,,R [A29],,,,,,,,,,,,,,,P [A29],,,,,,,,,,,,R [A29],,,,,P [A29],,,,R [A29],,,,,,,,,P [A29],,R [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A29],,,P [A29],P [A29],F [A29],P [A29],,,,,,,,,,,,,R [A29],,,,,,,,,,,,
340-U1396A-10H-CC-PAL-FORAMB,340,U1396,A,10,10-CC,H,CC,PAL,FORAMB,0,0,91.14,91.14,M [P27],A [A29],,,,,,,,,,,,,,R [A29],,,,,,,,,,,,,,,,P [A29],,,,,,,P [A29],,,,,,,,,,,,,,R [A29],,,,,,,R [A29],,,,,,,,,,,,,,,,,,,,P [A29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A29],,,,,P [A29],,,,,,,,,,,,,,,,,,,,,,,,,
