Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Marginulina pediformis,Marginulina spp.,Marginulinopsis spp.,Marsipella elongata,Martinotiella bacillaris,Martinottiella communis,Martinottiella spp.,Massilina sp.,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Melonis zaandamae,Miliammina spp.,Miliolid taxa (large),Miliolid taxa,Miliolinella sp.,Miliolinella subrotunda,Myllostomella cf. advena,Myllostomella fijiensis,Myllostomella spp.?,Neoconorbina spp.,Neoeponides spp.?,Neolenticulina variabilis,Neodiscorbinella rarescens,Nodosariidae indet.,Nodogenerina spp.,Nodosaria spp.,Nonion asterizans,Nonion commune,Nonion spp.,Nonionella cf. bradii,Nonionella labradorica,Nonionidae indet.,Nonionella spp.,Nonionella turgida,Nothia latissima,Nummoloculina contraria,Nuttallides sp,Oolina spp.,Operculina sp.,Oridorsalis spp.,Oridorsalis umbonatus,Orthomorphina challengeriana,Orthomorphina cf. jedlitschkai,Orthomorphina spp.,Osangularia sp.,Osangulariella? sp.,Pattelina corrugata,Parafissurina sp.,Parafissurina spp.,Pararotalia spp.,Paratrochamminoides spp.,Placopsilina confusa,Planulina ariminensis,Planulina sp.,Planoglabratella cf. opercularis,Planorbulina mediterranensis,Plectofrondicularia spp.,Pleurostomella alternans,Pleurostomella cf. alternans,Pleurostomellidae indet.,Pleurostomella recens,Pleurostomella spp.,Porosononion sp.,Praebulimina spp.,Praeglobobulimina ovata,Protelphidium sp.,Proxifrons inaequalis,Psammosphaera spp.,Pseudoclavulina spp.,Pseudoglandulina spp.,Pseudoglandulina spp.?,Pullenia bulloides,Pullenia quinqueloba,Pullenia spp.,Pyramidulina sp.,Pyrgo anomala,Pyrgo laevis,Pyrgo lucernula,Pyrgo murrinha,Pyrgo oblonga,Pyrgo spp.,Pyrgoella sphaera,Pyrgoella spp.?,Pyrulina? angusta,Comment,File Data,eodp_id
339-U1387C-2R-CC-PAL-FORAM,339,U1387,C,2,2-CC,R,CC,PAL,FORAM,0,5,299.54,299.59,,,,,,P,,,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,8b8c1fd12d114a4ed28dcad2349e9572
339-U1387C-3R-CC-PAL-FORAM,339,U1387,C,3,3-CC,R,CC,PAL,FORAM,0,5,308.31,308.36,,P,,,,,,,F,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,R,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,ccb0d7c7e59a9ee09fd075495636938c
339-U1387C-5R-CC-PAL-FORAM,339,U1387,C,5,5-CC,R,CC,PAL,FORAM,0,5,327.64,327.69,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,dd274593b2610e443999967c218bb8cd
339-U1387C-7R-CC-PAL-FORAM,339,U1387,C,7,7-CC,R,CC,PAL,FORAM,0,5,346,346.05,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,9ce9eaacb2076862c33352b1b5a31513
339-U1387C-9R-CC-PAL-FORAM,339,U1387,C,9,9-CC,R,CC,PAL,FORAM,0,5,365.2,365.25,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,58d3f61833dba4dae9bbda8be53e0ce3
339-U1387C-11R-CC-PAL-FORAM,339,U1387,C,11,11-CC,R,CC,PAL,FORAM,0,5,386.08,386.13,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,e9f14dd3f27b710f0690676deb9e84af
339-U1387C-13R-CC-PAL-FORAM,339,U1387,C,13,13-CC,R,CC,PAL,FORAM,0,5,404.86,404.91,,,,,,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,,2daaaebf77c409d7104f735f5018598c
339-U1387C-15R-CC-PAL-FORAM,339,U1387,C,15,15-CC,R,CC,PAL,FORAM,0,6,422.92,422.98,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,P,,,,,,,,,,R,,,R,,,,,,,,,,,,,,R,,,,,R,P,,,,,,,,,,,,,,e2c18e39a2676e1cb00daae39ec9b2e3
339-U1387C-17R-CC-PAL-FORAM,339,U1387,C,17,17-CC,R,CC,PAL,FORAM,0,5,436.81,436.86,,,,,,,,,A,P,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b296211e80e0e3ac0be3b2940c561ba7
339-U1387C-18R-CC-PAL-FORAM,339,U1387,C,18,18-CC,R,CC,PAL,FORAM,0,5,452.57,452.62,,,,,,,,,F,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fb8b8c683eadb53aae6466af0e75a72f
