Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 µm),Calcidiscus macintyrei,Gephyrocapsa (>5.5 µm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus (acutus),Ceratolithus atlanticus,Ceratolithus cristatus (rugosus),Clausicoccus fenestratus (subdist),Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus   (>7µm),Reticulofenestra pseudoumbilicus  (5-7µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,small Gephyrocapsa (<4µm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,File Data,eodp_id
342-U1406A-1H-1-W 75/75-NANNO,342,U1406,A,1,1-1,H,1,W,75/75-NANNO,0,0,0.75,0.75,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e622eb78e148689cfca342dd1d0075b
342-U1406A-1H-2-W 75/75-NANNO,342,U1406,A,1,1-2,H,2,W,75/75-NANNO,0,0,2.25,2.25,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)","T Discoaster brouweri ( Gradstein et al., 2012)",M-G,A,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724cdca848cf3ebd8979b1aeb81284ec
342-U1406A-1H-3-W 75/75-NANNO,342,U1406,A,1,1-3,H,3,W,75/75-NANNO,0,0,3.75,3.75,NN4,"NN4 - Helicosphaera ampliaperta (Gradstein et al., 2012)","T Helicosphaera ampliaperta ( Gradstein et al., 2012)",M-G,A,,,,F,,,F,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7cebcb34f854df36da7933f3a5ce319e
342-U1406A-1H-4-W 70/70-NANNO,342,U1406,A,1,1-4,H,4,W,70/70-NANNO,0,0,5.2,5.2,NN4,"NN4 - Helicosphaera ampliaperta (Gradstein et al., 2012)",,M,A,,,,R,,,C,C,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54e6e2fa004ad70c06b7891a86645520
342-U1406A-1H-5-W 30/30-NANNO,342,U1406,A,1,1-5,H,5,W,30/30-NANNO,0,0,5.8,5.8,NN4,"NN4 - Helicosphaera ampliaperta (Gradstein et al., 2012)",,M,A,,,,F,,,C,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6488a6fa800ddf4d19bb599d81f3e94d
342-U1406A-1H-CC-PAL,342,U1406,A,1,1-CC,H,CC,PAL,,0,5,6.2,6.25,NN4,"NN4 - Helicosphaera ampliaperta (Gradstein et al., 2012)",,G [P07],A,,,,,,,C,C,A,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,C,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,Freq,Freq,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,R,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,Freq,,,,,,32c0d5e6ba0b70e8e95514e0f3c21dad
342-U1406A-2H-2-W 100/100-NANNO,342,U1406,A,2,2-2,H,2,W,100/100-NANNO,0,0,8.7,8.7,NN4,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedf3fcf767a15e2c3c9baddca2f9b51
342-U1406A-2H-4-W 100/100-NANNO,342,U1406,A,2,2-4,H,4,W,100/100-NANNO,0,0,11.7,11.7,NN3,"NN3 - Sphenolithus belemnos (Gradstein et al., 2012)",,M,A,,,,F,2,,,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41ea18034c26ced8aef6c8da58c8b422
342-U1406A-2H-6-W 75/75-NANNO,342,U1406,A,2,2-6,H,6,W,75/75-NANNO,0,0,14.45,14.45,NN2,"NN2 - Discoaster druggii (Gradstein et al., 2012)","T Triquetrorhabdulus carinatus ( Gradstein et al., 2012)",M-G,A,,,,R,C,F,,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3f3240206faaff73428ad8bbba0b6cba
342-U1406A-2H-CC-PAL,342,U1406,A,2,2-CC,H,CC,PAL,,0,5,16.01,16.06,NN2,"NN2 - Discoaster druggii (Gradstein et al., 2012)",,G [P07],A,,,,,C,R,,Freq,C,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,Freq,Freq,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,R,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,Freq,,,,,,0d4f81f05d1109de7d12d005579a520a
