Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,physical_constituent_name,Shore File Links,pc_fossil_group,pc_abundance_name_mode,pc_preservation_name_average,File Data,eodp_id
323-U1341B-1H-CC-PAL-RADS72,323,U1341,B,1,1-CC,H,CC,PAL,RADS72,0,0,8.62,8.62,,G [323_Rs],F,,,,,,F,,,,F,,,,,,,,,,,,,,F,,,,,F,,F,,,,,F,F,,,,,,,,a872f01c3d68a17d91689778c1f3d27b
323-U1341B-2H-CC-PAL-RADS5,323,U1341,B,2,2-CC,H,CC,PAL,RADS5,0,0,18.48,18.48,,G [323_Rs],C,,,F,,F,F,,,,A,,,,,F,,,,,,,,,F,,,,,,,F,,,,,F,F,,,,,,,,d3ff2ab0372addb6c30d3b5ba69bf5b4
323-U1341B-3H-CC-PAL-RADS10,323,U1341,B,3,3-CC,H,CC,PAL,RADS10,0,0,28.08,28.08,,G [323_Rs],C,F,,F,,,C,,F,,A,,,,,,,,,,,,,,C,,,,,F,,F,,,,,,F,,,,,,,,ed4a6d70f872f0900a3733b3839f873e
323-U1341B-4H-CC-PAL-RADS21,323,U1341,B,4,4-CC,H,CC,PAL,RADS21,0,0,37.6,37.6,,G [323_Rs],C,F,,F,,,F,,F,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,F,F,,,,,,,,4787014994d879b93e3cee18d15addbf
323-U1341B-5H-CC-PAL-RADS15,323,U1341,B,5,5-CC,H,CC,PAL,RADS15,0,0,47.04,47.04,,G [323_Rs],C,C,,,,,F,,F,,A,,,,,F,,,,,,,,,,,,,F,F,F,F,,,,,,,,,,,,,,03919ad2a821e5b24d0333947589c189
323-U1341B-6H-CC-PAL-RADS16,323,U1341,B,6,6-CC,H,CC,PAL,RADS16,0,0,56.58,56.58,,G [323_Rs],C,C,,,,,F,,,,C,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,198f77f9ff2fd694b483fe0bd1e3c886
323-U1341B-7H-CC-PAL-RADS73,323,U1341,B,7,7-CC,H,CC,PAL,RADS73,0,0,66.08,66.08,,G [323_Rs],F,F,,,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,ba0e2c451e15d4c48e4fd3a1ccd426ef
323-U1341B-8H-CC-PAL-RADS21,323,U1341,B,8,8-CC,H,CC,PAL,RADS21,0,0,75.65,75.65,,G [323_Rs],F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,5c85bf8538159f5e75c239728ce2c74a
323-U1341B-9H-CC-PAL-RADS26,323,U1341,B,9,9-CC,H,CC,PAL,RADS26,0,0,85.14,85.14,,M [323_Rs],C,F,,F,F,,F,,F,,A,,,,,,,,,,,,,,,,,,F,F,,F,,,,,,F,,,,,,,,57f85cbffdf00434b75181ea6e7b8c63
323-U1341B-10H-CC-PAL-RADS31,323,U1341,B,10,10-CC,H,CC,PAL,RADS31,0,0,94.1,94.1,,G [323_Rs],F,F,,,,F,F,,,,F,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,cdf698abb21c925d3cd9a3f92a9e00ef
323-U1341B-11H-CC-PAL-RADS36,323,U1341,B,11,11-CC,H,CC,PAL,RADS36,0,0,104.15,104.15,,G [323_Rs],F,,,,,F,F,,,,F,F,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,c79d2217043c6916872179615541dc9a
323-U1341B-12H-CC-PAL-RADS78,323,U1341,B,12,12-CC,H,CC,PAL,RADS78,0,0,113.49,113.49,,G [323_Rs],C,F,,,F,,C,,F,,C,F,,,,,,,F,,,,,,,,,,F,F,F,C,,,,,,F,,,,,,,,f2f5acc8c059d1c1b54a526ffbe683a3
323-U1341B-13H-CC-PAL-RADS83,323,U1341,B,13,13-CC,H,CC,PAL,RADS83,0,0,123.14,123.14,,M [323_Rs],F,,,,,,F,,F,,F,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,7feaccee113e607ebcfb51aac6cc6b0e
323-U1341B-14H-CC-PAL-RADS88,323,U1341,B,14,14-CC,H,CC,PAL,RADS88,0,0,132.74,132.74,,G [323_Rs],F,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3638e7174d8274a8a69a165ffbe8e9b6
323-U1341B-15H-CC-PAL-RADS54,323,U1341,B,15,15-CC,H,CC,PAL,RADS54,0,0,142.26,142.26,,G [323_Rs],F,,,,F,,F,,F,,F,,,,,,,,F,,,,,,,,,,,,F,,,,,F,,,,,,,,,,f5dae54d1e5a157da67cfa471b6b3114
323-U1341B-16H-CC-PAL-RADS59,323,U1341,B,16,16-CC,H,CC,PAL,RADS59,0,0,151.58,151.58,,M [323_Rs],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98e54c645cea7a6d6748871d1037a807
323-U1341B-17H-CC-PAL-RADS64,323,U1341,B,17,17-CC,H,CC,PAL,RADS64,0,0,158.09,158.09,,G [323_Rs],F,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62e00bd6ba4cf07a9309335158f8de82
323-U1341B-18H-CC-PAL-RADS69,323,U1341,B,18,18-CC,H,CC,PAL,RADS69,0,0,166.71,166.71,,M [323_Rs],F,,,,,,F,,,,C,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,6f2535712dfe11e0f08614730b4d7aa9
323-U1341B-19H-CC-PAL-RADS45,323,U1341,B,19,19-CC,H,CC,PAL,RADS45,0,0,176.55,176.55,,M [323_Rs],F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,6518d34952f77dcd8ef0a1dd2adfde98
323-U1341B-20H-CC-PAL-RADS50,323,U1341,B,20,20-CC,H,CC,PAL,RADS50,0,0,180.07,180.07,,M [323_Rs],F,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,C,C,F,,,,,,,,,,,,,093aa19032d3d466193e7ff303a6ae5c
323-U1341B-21H-CC-PAL-RADS55,323,U1341,B,21,21-CC,H,CC,PAL,RADS55,0,0,190.62,190.62,,G [323_Rs],F,,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,a216d2ca844a3e84cf2ca0b72ba5fb77
323-U1341B-22H-CC-PAL-RADS60,323,U1341,B,22,22-CC,H,CC,PAL,RADS60,0,0,199.87,199.87,,G [323_Rs],F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,0a19ec7bbcb95cb470369f9244fc8822
323-U1341B-23H-CC-PAL-RADS15,323,U1341,B,23,23-CC,H,CC,PAL,RADS15,0,0,209.68,209.68,,M [323_Rs],F,,,,,,F,,,,C,F,,,,F,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,816977ef44930643ece5e8af6cb4bf0b
323-U1341B-24H-CC-PAL-RADS20,323,U1341,B,24,24-CC,H,CC,PAL,RADS20,0,0,218.83,218.83,,M [323_Rs],F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26ae2ffeb0abed1426007d34cd3cd6bd
323-U1341B-25H-CC-PAL-RADS25,323,U1341,B,25,25-CC,H,CC,PAL,RADS25,0,0,228.42,228.42,,G [323_Rs],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,F,,,,,,,,9228c70600d7aa0ec7b739f243e3e651
323-U1341B-26H-CC-PAL-RADS30,323,U1341,B,26,26-CC,H,CC,PAL,RADS30,0,0,238.11,238.11,,M [323_Rs],F,,,,,,,,F,,F,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cdb1a035296387fa6f0378c6022649cb
323-U1341B-27H-CC-PAL-RADS35,323,U1341,B,27,27-CC,H,CC,PAL,RADS35,0,0,247.5,247.5,,M [323_Rs],F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,12998879b9caf5e30b9b31c5da871a59
323-U1341B-28H-CC-PAL-RADS35,323,U1341,B,28,28-CC,H,CC,PAL,RADS35,0,0,257.09,257.09,,M [323_Rs],F,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,d46ebf68cf5ad7854ec7f1e5596b2734
323-U1341B-29H-CC-PAL-RADS40,323,U1341,B,29,29-CC,H,CC,PAL,RADS40,0,0,265.92,265.92,,M [323_Rs],F,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,8349167dd73e02ac6946f6c9ac831144
323-U1341B-30H-CC-PAL,323,U1341,B,30,30-CC,H,CC,PAL,,0,0,276.09,276.09,,G [323_Rs],F,F,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,F,,,,,,,,aecceb61581c5946e623b4b9aa184044
