Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Diatom abundance,Actinocyclus curvatulus,Actinocyclus ellipticus,Actynocyclus ellipticus fa. lanceolata,Actynocyclus ellipticus var. javanica,Actynocyclus elongatus,Actinocyclus endoi,Actinocyclus ingens,Actinocyclus ochotensis,Actinocyclus moronensis,Actinocyclus octonarius,Actinocyclus subtilis,Actinoptychus senarius,Alveus marinus,Asterolampra acutiloba,Asterolampra eximia,Asterolampra marylandica,Asteromphalus arachne,Asteromphalus cleveanus,Asteromphalus elegans,Asteromphalus flabellatus,Asteromphalus grevillei,Asteromphalus heptactis,Asteromphalus hookerii,Asteromphalus robustus,Azpeitia aeginensis,Azpeitia africana,Azpeitia apiculata,Azpeitia barronii,Azpeitia neocrenulata,Azpeitia nodulifera,Azpeitia nodulifera fa. cyclopa,Azpeitia praenodulifera,Azpeitia salisburyana,Azpeitia tabularis,Bogorovia lancettula,Bogorovia barronii,Cavitatus jouseanus,Cestodiscus peplum,Cestodiscus pulchellus,Coscinodiscus argus,Coscinodiscus lewisianus,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Craspedodiscus coscinodiscus,Crucidenticula nicobarica,Denticulopsis hustedtii,Ethmodiscus sp.,Fragilariopsis doliolus,Haslea sp.,Hemidiscus cuneiformis,Hemidiscus simplicissimus,Lioloma spp. or Thalassiothrix spp.,Nitzschia bicapitata,Nitzschia cylindrica,Nitzschia fossilis,Nitzschia interruptestriata,Nitzschia jouseae,Nitzschia malinterpretaria,Nitzschia miocenica,Nitzschia pliocena,Nitzschia porteri,Nitzschia reinholdii,Nitzschia sicula,Planktoniella sol,Rhizosolenia bergonii,Rhizosolenia curvirostris,Rhizosolenia hebetata fa. hiemalis,Rhizosolenia praebergonii,Rhizosolenia stilyformis,Roperia tesselata,Rossiella elongata,Rossiella paleaceae,Rouxia californica,Rouxia peragalli,Synedra sp.1,Thalassionema bacillare,Thalassionema frauenfeldii,Thalassionema nitzschioides var. nitzschioides,Thalassionema nitzschioides var. capitulata,Thalassionema nitzschioides var. inflata,Thalassionema nitzschioides var. parva,Thalassiosira brunii,Thalassiosira burckliana,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira decipiens,Thalassiosira aff. eccentrica,Thalassiosira ferelineata,Thalassiosira fraga,Thalassiosira grunowii,Thalssiosira leptopus,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira nodulolineata,Thalassiosira oestrupii var. oestrupii,Thalassiosira oestrupii var. venrickae,Thalassiosira praeconvexa,Thalassiosira symbolophora,Thalassiosira tappanae,Thalassiosira yabei,Thalassiosira yabei var. elliptica,Thalassiosira sp. 1,Thalassiosira sp.6,Thalassiosira sp.8,Thalassiosira sp.9,Thalassiosira sp.10,Triceratium cinnamomeum,Triceratium cinnamomeum var. minor,Triceratium cinamomeum var. quadrangulata,File data,
321-U1338A-26H-2-W 25/26-DIAT30,321,U1338,A,26,26-2,H,2,W,25/26-DIAT30,0,0,232.45,232.45,M ,C ,R ,,,,,,,F ,,F ,,,,,,,,,,,,,,,,,R ,,R ,,,,R ,,R ,,,,,,,,,,,,,,,,,,C ,,,,,,,,,F ,,,,,,,,,,,,,R ,,,,,,,C ,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,
321-U1338A-26H-6-W 117/118-DIAT38,321,U1338,A,26,26-6,H,6,W,117/118-DIAT38,0,0,239.37,239.37,G-M ,A ,,,,,,,R ,,R ,,,,,,,,,,,,,,,,,,F ,,,,,,,,C ,,,,,,,,,,,,A ,,,,R ,,A ,,,,,,,,,F ,,,,,,,,,,F ,F ,,,,,,F ,,,,R ,,,,,,,,,F ,,,,,,,,,R ,,,F ,,,,F ,,,,
321-U1338A-26H-CC-PAL,321,U1338,A,26,26-CC,H,CC,PAL,,0,0,240.64,240.64,M ,C ,,R ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,R ,,C ,,,,,,,,,F ,,,,,,,,,,,F ,,,F ,,,F ,,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,
321-U1338A-27X-2-W 5/6-DIAT52,321,U1338,A,27,27-2,X,2,W,5/6-DIAT52,0,0,241.75,241.75,M-G ,A ,,R ,,,,R ,,,,R ,,,,,,,,,,,,,,,,,F ,,,,,,C ,,,,,,,,,R ,,,,,,,,,F ,,A ,,,,,,,,,,,,,,,,,,,C ,R ,,,,,,C ,,,F ,,,,,,,,,,R ,,,,,,,,,R ,,,,,,,,,,,
321-U1338A-27X-4-W 26/27-DIAT60,321,U1338,A,27,27-4,X,4,W,26/27-DIAT60,0,0,244.96,244.96,M ,C ,R ,R ,,,,,,,,R ,,,,R ,,,,,,,,,,,,,F ,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,F ,,,,,,,,,F ,,,,,,,,,,,,,,,,,F ,,R ,R ,,,,,,,,,,R ,,,,,,,,,R ,,,,,,,F ,,,,
321-U1338A-27X-CC-PAL,321,U1338,A,27,27-CC,X,CC,PAL,,0,0,247.6,247.6,M ,C ,,,,,,,,R ,,,,R ,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,R ,,,,,F ,,,,,,,,,,,,,,,F ,,,,,,,,,,R ,,,,,,,C ,,,,R ,,,,,,,,,,,,,,,,,,F ,,,,,,,R ,,,,
321-U1338A-28X-CC-PAL,321,U1338,A,28,28-CC,X,CC,PAL,,0,0,249.8,249.8,M ,C ,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,,,,,,F ,,F ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,F ,,,,,,,,,,,R ,,R ,F ,,,C ,,,,R ,,,,,,,,,,,,,,,,,,R ,,,R ,,,,F ,,,,
321-U1338A-29X-2-W 120/121-DIAT74,321,U1338,A,29,29-2,X,2,W,120/121-DIAT74,0,0,262.1,262.1,P ,F ,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,C ,,,,,,,,,R ,,,,,,,,,,,R ,,,R ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-29X-4-W 7/8-DIAT77,321,U1338,A,29,29-4,X,4,W,7/8-DIAT77,0,0,263.97,263.97,M-P ,C ,,R ,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,,,,R ,,F ,,,,,,,R ,,,,,F ,,,,,,C ,,,,,,,,,R ,,,,,,,,,,,R ,,,F ,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,
321-U1338A-29X-CC-PAL,321,U1338,A,29,29-CC,X,CC,PAL,,0,0,268.33,268.33,M ,C ,,R ,,,,,R ,,,,,,,,,,,,,,,,,,R ,,,,,,,,F ,,F ,,R ,,R ,,,F ,,,,,R ,R ,,,,,C ,,,,,,,,,,,,,,,,,,,,R ,,,F ,,,C ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,
321-U1338A-30X-CC-PAL,321,U1338,A,30,30-CC,X,CC,PAL,,0,0,269.0,269.0,M ,C ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,R ,,,,,,,,,,,,,,,,,C ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-31X-CC-PAL,321,U1338,A,31,31-CC,X,CC,PAL,,0,0,278.5,278.5,M ,A ,,R ,,,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,F ,F ,,,,,,C ,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,C ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,
321-U1338A-32X-1-W,321,U1338,A,32,32-1,X,1,W,,0,0,288.1,288.1,M ,C ,,R ,,,,,R ,,,R ,,R ,,,,,,,,,,,,,,,F ,,,,,,,,,R ,,,R ,,R ,,,,R ,F ,,,,,,,C ,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,,,F ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,
321-U1338A-32X-2-W 86/87-DIAT89,321,U1338,A,32,32-2,X,2,W,86/87-DIAT89,0,0,290.46,290.46,M ,C ,,R ,,,,,,,,,,R ,,,,,,,,,,,,,,,R ,,,,,,,,F ,,,,F ,,F ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,R ,F ,,,F ,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,,,,,R ,,,
321-U1338A-32X-3-W,321,U1338,A,32,32-3,X,3,W,,0,0,291.1,291.1,M-G ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,F ,,F ,,,,,F ,,,,,,,A ,,,,,,,,,,,,,,,,,,,,R ,,,F ,,,F ,,C ,F ,,,,,,R ,,,,R ,,,,,,,,,R ,,,,,,,R ,,R ,,
321-U1338A-32X-4-W 70/70-NANNO7,321,U1338,A,32,32-4,X,4,W,70/70-NANNO7,0,0,293.3,293.3,M-P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,R ,,F ,,,,,F ,,R ,,,,,F ,,,,,,,,,,,,,,,,,,,,F ,,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,
321-U1338A-32X-5-W,321,U1338,A,32,32-5,X,5,W,,0,0,294.1,294.1,M-P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,R ,,,,,,,R ,R ,,,,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,
321-U1338A-32X-CC-PAL,321,U1338,A,32,32-CC,X,CC,PAL,,0,0,296.57,296.57,M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,F ,R ,,,,,,F ,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-33X-1-W,321,U1338,A,33,33-1,X,1,W,,0,0,297.7,297.7,M-P ,C ,R ,R ,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,R ,,F ,,,,R ,F ,R ,,,,,,C ,,,,,,,,,,,,,,,,,,,,R ,,,,,,C ,,,F ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,R ,,
321-U1338A-33X-2-W 80/80-NANNO16,321,U1338,A,33,33-2,X,2,W,80/80-NANNO16,0,0,300.0,300.0,M ,C ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,R ,,,R ,,,R ,,,R ,F ,R ,,,,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-33X-3-W 60/61-DIAT52,321,U1338,A,33,33-3,X,3,W,60/61-DIAT52,0,0,301.3,301.3,M ,A ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,,,,F ,,,,R ,F ,,R ,,,,,C ,,,,,,,,,,,,,,,,,,,,F ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,
321-U1338A-33X-4-W 80/80-NANNO17,321,U1338,A,33,33-4,X,4,W,80/80-NANNO17,0,0,303.0,303.0,M ,C ,,,,,,,C ,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,F ,,,,,F ,R ,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-33X-5-W 72/73-DIAT55,321,U1338,A,33,33-5,X,5,W,72/73-DIAT55,0,0,304.42,304.42,M-P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-33X-CC-PAL,321,U1338,A,33,33-CC,X,CC,PAL,,0,0,306.45,306.45,M-G ,A ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,F ,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,R ,,,,,,,,F ,R ,,,,,,,,,,,
321-U1338A-34X-2-W 74/75-DIAT93,321,U1338,A,34,34-2,X,2,W,74/75-DIAT93,0,0,309.54,309.54,M-G ,C ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,F ,R ,,,,,F ,F ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,F ,,,F ,,,,,,,,,,R ,,,,,,,,R ,,,,,,,,,,,,
321-U1338A-34X-3-W,321,U1338,A,34,34-3,X,3,W,,0,0,310.3,310.3,M ,C ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,,F ,,,,F ,F ,,,,,,,A ,,,,,,,,,,,,,,,,,,,,R ,,,F ,,,F ,,,F ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,
321-U1338A-34X-4-W 101/102-DIAT94,321,U1338,A,34,34-4,X,4,W,101/102-DIAT94,0,0,312.81,312.81,M-P ,C ,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,,F ,,,,,,,,F ,,,,,,F ,R ,,,,F ,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,
321-U1338A-34X-5-W 80/80-NANNO1,321,U1338,A,34,34-5,X,5,W,80/80-NANNO1,0,0,314.1,314.1,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,F ,,F ,,,,R ,C ,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,R ,F ,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,
321-U1338A-34X-6-W 80/80-NANNO2,321,U1338,A,34,34-6,X,6,W,80/80-NANNO2,0,0,315.6,315.6,M-G ,C ,,,,,,,R ,,,,,R ,,,,,,,,,R ,,,,,,F ,,,,,,,,,,,,,,C ,R ,,,R ,C ,,,,,,,F ,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,F ,,R ,R ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,
321-U1338A-34X-CC-PAL,321,U1338,A,34,34-CC,X,CC,PAL,,0,0,316.1,316.1,M-P ,F ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,R ,,,,,,,F ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,F ,,,F ,,,F ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,
321-U1338A-35X-1-W,321,U1338,A,35,35-1,X,1,W,,0,0,316.9,316.9,M-P ,F ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,,,,,F ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,
321-U1338A-35X-2-W 80/80-NANNO96,321,U1338,A,35,35-2,X,2,W,80/80-NANNO96,0,0,319.2,319.2,M ,C ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,F ,F ,,,,,,,C ,,,,,,,,,,,,,,,,,,,R ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,
321-U1338A-35X-CC-PAL,321,U1338,A,35,35-CC,X,CC,PAL,,0,0,319.79,319.79,P-M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,R ,,,,,F ,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-36X-1-W 29/30-DIAT99,321,U1338,A,36,36-1,X,1,W,29/30-DIAT99,0,0,326.79,326.79,P-M ,F ,R ,,,,,,,,R ,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,R ,,,F ,,,,F ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-36X-CC-PAL,321,U1338,A,36,36-CC,X,CC,PAL,,0,0,327.68,327.68,M-P ,C ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,R ,,,F ,,,,F ,,,,,,,C ,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,,F ,R ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,
321-U1338A-37X-1-W 43/44-DIAT5,321,U1338,A,37,37-1,X,1,W,43/44-DIAT5,0,0,336.43,336.43,M-G ,C ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,R ,,,,,,,R ,,,,,,,A ,,,,,,,,,,,,,,,,,,,R ,,,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-37X-CC-PAL,321,U1338,A,37,37-CC,X,CC,PAL,,0,0,337.18,337.18,M-F ,F ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,R ,,,F ,,,R ,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,
321-U1338A-38X-2-W 33/34-DIAT52,321,U1338,A,38,38-2,X,2,W,33/34-DIAT52,0,0,347.33,347.33,M ,C ,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,F ,,,,R ,F ,,R ,,,,,F ,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-38X-4-W 70/70-NANNO21,321,U1338,A,38,38-4,X,4,W,70/70-NANNO21,0,0,350.7,350.7,M-P ,R ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-38X-5-W 91/92-DIAT53,321,U1338,A,38,38-5,X,5,W,91/92-DIAT53,0,0,352.41,352.41,M ,C ,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,F ,R ,,,F ,F ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-38X-6-A 20/20-SS14,321,U1338,A,38,38-6,X,6,A,20/20-SS14,0,0,353.2,353.2,M-P ,F ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-38X-CC-PAL,321,U1338,A,38,38-CC,X,CC,PAL,,0,0,354.7,354.7,M-G ,C ,,,,,,,F ,,,,,R ,,,,,,,,,R ,,,,,,,,,,,,,,R ,,R ,,R ,,,F ,,,,F ,,,,,,,A ,,,,,,,,,,,,,,,,,,,,R ,,,F ,,F ,C ,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,
321-U1338A-39X-2-W 71/72-DIAT15,321,U1338,A,39,39-2,X,2,W,71/72-DIAT15,0,0,357.01,357.01,M ,C ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,F ,F ,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-39X-5-W 91/92-DIAT20,321,U1338,A,39,39-5,X,5,W,91/92-DIAT20,0,0,361.71,361.71,P ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,R ,F ,,,R ,,,R ,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,
321-U1338A-39X-CC-PAL,321,U1338,A,39,39-CC,X,CC,PAL,,0,0,363.76,363.76,P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-40X-1-W 122/123-DIAT70,321,U1338,A,40,40-1,X,1,W,122/123-DIAT70,0,0,365.62,365.62,M ,C ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,,,R ,,,R ,F ,,,,,,,A ,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-40X-3-W 27/28-DIAT64,321,U1338,A,40,40-3,X,3,W,27/28-DIAT64,0,0,367.16,367.16,M-P ,F ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,,,,,,F ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-40X-CC-PAL,321,U1338,A,40,40-CC,X,CC,PAL,,0,0,367.74,367.74,M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-41X-2-W 52/53-DIAT1,321,U1338,A,41,41-2,X,2,W,52/53-DIAT1,0,0,376.02,376.02,M ,C ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,,R ,,,,F ,,,,,,,A ,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-41X-4-W 5/6-DIAT41,321,U1338,A,41,41-4,X,4,W,5/6-DIAT41,0,0,378.55,378.55,M-P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-41X-CC-PAL,321,U1338,A,41,41-CC,X,CC,PAL,,0,0,382.72,382.72,M-P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-42X-2-W 25/26-DIAT20,321,U1338,A,42,42-2,X,2,W,25/26-DIAT20,0,0,385.35,385.35,M-G ,C ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,F ,,,,F ,R ,,,,,,,,,,,A ,,,,,,R ,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-42X-4-W 122/123-DIAT25,321,U1338,A,42,42-4,X,4,W,122/123-DIAT25,0,0,389.32,389.32,M-P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,,,F ,,,,,R ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,F ,,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-42X-CC-PAL,321,U1338,A,42,42-CC,X,CC,PAL,,0,0,391.07,391.07,M-P ,F ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-43X-2-W 70/71-DIAT81,321,U1338,A,43,43-2,X,2,W,70/71-DIAT81,0,0,395.4,395.4,P-M ,F ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,F ,,,,R ,F ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-43X-CC-PAL,321,U1338,A,43,43-CC,X,CC,PAL,,0,0,396.41,396.41,M-P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,R ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-44X-2-W 43/44-DIAT31,321,U1338,A,44,44-2,X,2,W,43/44-DIAT31,0,0,404.73,404.73,M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-44X-3-W 105/106-DIAT32,321,U1338,A,44,44-3,X,3,W,105/106-DIAT32,0,0,406.85,406.85,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-44X-CC-PAL,321,U1338,A,44,44-CC,X,CC,PAL,,0,0,408.34,408.34,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
