Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Group preservation,Group abundance,XBroken,XCorroded,XCrumpled,Unknown taxa,Exotic,Pinus,Cedrus,Abies,Picea,Acer,Alnus,Betula,Carpinus,Castanea,Corylus,Fagus,Fraxinus excelsior type,Fraxinus ornus type,Ilex,Juglans,Platanus,Populus,Pterocarya,Taxus,Tilia,Ulmus,Ulmus Zelkova,Quercus deciduous type,Quercus evergreen type,Quercus suber type,Buxus,Cistus,Coriaria myrtifolia,Daphne,Olea,Phillyrea,Pistacia,Rhamnus type,Rhus type,Ulex type,Cupressaceae,Euonymus,Helianthemum,Halimium_Tuberaria,Hedera helix,Hippophäe,Myrica,Salix,Sambucus,Tamarix,Viburnum,Vitis,Ericaceae,Calluna,Chenopodiaceae,Ephedra distachya type,Ephedra fragilis type,Artemisia,Ambrosia type,Anthemis type,Aster type,Centaurea cyanus type,Centaurea nigra type,Centaurea scabiosa type,Cirsium type,Echinops,Serratula type,Taraxacum,Apiaceae,Brassicaceae,Cannabis_Humulus,Convolvulus,Caryophyllaceae,Corrigiola litoralis,Epilobium,Lamiaceae,Liliaceae,Asphodelus,Mercurialis type,Plantago,Plantago lanceolata type,Plumbaginaceae,Poaceae,Lygeum spartum,Ranunculaceae,Rumex,Sanguisorba minor,Sanguisorba officinalis,Saxifragaceae,Scabiosa,Arceuthobium,Boraginaceae,Bupleurum type,Campanulaceae,Centaurium,Crassulaceae,Cereal type,Cyperaceae,Erodium,Euphorbia,Fabaceae,Filipendula,Galium type,Gentianaceae,Geranium,Herniaria type,Jasione type,Knautia type,Linum,Littorella uniflora,Lythrum,Melampyrum,Mentha type,Papaveraceae,Pedicularis,Polygonum aviculare type,Primulaceae,Resedaceae,Rosaceae,Scrofulariaceae,Sedum type,Solanaceae,Spartium junceum,Spergularia type,Thalictrum,Urtica,Valerianaceae,Veronica type,Vicia type,Viscum,Podocarpus,Stereisporites,Tsuga,Cryptomeria,Zelkova,Carya,Nyssa,Liquidambar,Sciadopitis,Taxodium,Sequoia,Engelhardia,Aesculus,Eleagnus,Palmae,Symplocos,Phellodendron,Eucommia,Ostrya,Alisma type,Lemna,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum verticillatum,Nuphar,Nymphaea alba type,Polygonum persicaria type,Potamogeton,Typha_Sparganium,Isoetes,Polypodium vulgare type,Monolete psilate,Monolete ornamented,Anogramma leptophylla,Botrychium type,Cryptogramma,Huperzia selago,Lycopodium clavatum type,Ophioglossum lusitanicum,Osmunda,Pilularia globulifera,Pteridium,Selaginella denticulata,Selaginella selaginoides,Sphagnum,Taxodiaceae/Cupressaceae,Trilete ornamented,Trilete psilate,Trilete reworked,Comments,File Data,Unnamed: 197,eodp_id
339-U1385A-1H-CC-PAL-PALY,339,U1385,A,1,1-CC,H,CC,PAL,PALY,0,5,1.39,1.44,G,A,1,,2,,101,A,,,,,R,,,,,,R,,,,,,,R,,,,C,C,,,,,,R,F,,,,,,,,,,,,,,,,,R,,C,R,,C,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,,,,,,,,,,,,F,,Also observed microcharcoal particles and dinocysts,,,04f4c22254403cd3bb02a7ff06c62787
339-U1385A-2H-CC-PAL-PALY,339,U1385,A,2,2-CC,H,CC,PAL,PALY,0,5,11.3,11.35,M,A,,2,1,,75,A,,,,,,F,,,,,,,,,,,,,,,,,F,,,F,,,,,,,,,F,,,,,,,,,,,,C,,,F,,,,,F,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,,,b6868f1a5477b5353a8c2858e12a1783
339-U1385A-3H-CC-PAL-PALY,339,U1385,A,3,3-CC,H,CC,PAL,PALY,0,5,20.87,20.92,G,C,,2,,,146,F,R,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,Also observed microcharcoal particles and dinocysts,,,7f6ed418408b2d69c894c65018acc301
339-U1385A-5H-5-W 59/61-PALY,339,U1385,A,5,5-5,H,5,W,59/61-PALY,0,2,36.59,36.61,M,A,,4,,,100,C,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,,,72dbc45730942304b716153af3bc9663
339-U1385A-6H-CC-PAL-PALY,339,U1385,A,6,6-CC,H,CC,PAL,PALY,0,5,49.43,49.48,M,A,,2,,,190,F,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,,,R,,,,,,,,,,,,R,,R,F,,F,,,R,,,,,,,C,,R,,,,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,,,22b5ff33b48f41bb503bd2c7556c43c1
339-U1385A-10H-CC-PAL-PALY,339,U1385,A,10,10-CC,H,CC,PAL,PALY,0,5,87.73,87.78,M,A,,15,,,108,A,,,,,,R,,,,,,,,,,,,,,,,C,F,,,,,,R,,,,,,,,,,R,,,,,,,,C,,C,F,F,C,,,F,,,,,,,C,,R,,,,,,,,,,F,,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,,,9e2278dce8691d678eaa1ab022c5184b
339-U1385A-11H-CC-PAL-PALY,339,U1385,A,11,11-CC,H,CC,PAL,PALY,0,5,96.78,96.83,M,A,,17,2,,109,A,,,,,R,,R,,R,,,,,,,,,,,,,F,F,,,,,,R,,,,,,R,,,,,,,,,,,,F,,R,,,F,,,F,,,,,,,C,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,"Abundance of a species of Acritarchs
Also observed microcharcoal particles and dinocysts",,,aab76883cacebd9a41707b96251b7f4c
339-U1385A-13H-CC-PAL-PALY,339,U1385,A,13,13-CC,H,CC,PAL,PALY,0,5,116.07,116.12,M,A,2,,,,112,A,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,,R,C,R,F,,R,F,,,,,,,C,,R,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,,,07369353ccb788a8a479422493714a7c
339-U1385A-16H-CC-PAL-PALY,339,U1385,A,16,16-CC,H,CC,PAL,PALY,0,5,143.75,143.8,P,A,1,30,,,104,A,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,F,F,,,F,,,,,,,C,,F,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,,C,,,Also observed microcharcoal particles and dinocysts,,,25bf76747306a81630093b19aef2f2cd
