Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
341-U1419C-3H-CC-PAL-RADS,0,5,21.06,21.11,B. aquilonaris,Botyrostrobus aquilonaris,,P,F,,,,,,,,R,R,,,,,,,,,A,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,341,U1419,C,3,H,CC,PAL,8c1d4723a5cfca8d218df8a712ee5948
341-U1419C-4H-CC-PAL-RADS,0,5,31.33,31.38,B. aquilonaris,Botyrostrobus aquilonaris,,P,F,,,,,,,,R,F,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,F,,,,,,R,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,341,U1419,C,4,H,CC,PAL,ee63cffe6ac2c5f90c5dd605446fd083
341-U1419C-5H-CC-PAL-RADS,0,5,39.73,39.78,B. aquilonaris,Botyrostrobus aquilonaris,,P,F,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,341,U1419,C,5,H,CC,PAL,9909042f8e02f6ec55afc683ba01ce67
341-U1419C-6H-CC-PAL-RADS,0,5,49.27,49.32,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,R,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,C,6,H,CC,PAL,f9068581f1a294cdc2cf13221df48d0e
341-U1419C-7H-CC-PAL-RADS,0,3,53.51,53.54,B. aquilonaris,Botyrostrobus aquilonaris,,M,F,,,,,,,,F,R,,,,,,,,,C,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,A,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,341,U1419,C,7,H,CC,PAL,4699ea7a7015c86a827461a485d6d0f2
341-U1419C-8H-CC-PAL-RADS,0,5,63.77,63.82,B. aquilonaris,Botyrostrobus aquilonaris,,M,F,,,,,,,,R,R,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,341,U1419,C,8,H,CC,PAL,419ebe4f59d23da63f260be2527013e2
341-U1419C-9H-CC-PAL-RADS,0,5,72.46,72.51,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,C,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,R,,,,,341,U1419,C,9,H,CC,PAL,83af31b7fe91f647603766cb977a6fd3
341-U1419C-10H-CC-PAL-RADS,0,7,77.09,77.16,B. aquilonaris,Botyrostrobus aquilonaris,,M,F,,,,,,,,,R,,,,,,,,,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,,C,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,341,U1419,C,10,H,CC,PAL,92e09cb0eec9e7dba50ef58ae9123897
341-U1419C-11H-cc-PAL-RADS,0,5,78.65,78.7,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,R,F,,,,,R,,,,A,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,A,,,,,,R,,,,,,,,,,,R,,R,,,,,,,,,,R,,,,,,C,,,,,341,U1419,C,11,H,cc,PAL,c13defa42ee47b21e6a14b1ab8830b0a
341-U1419C-12H-CC-PAL-RADS,0,5,83.66,83.71,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,F,,,,,,,,,,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,A,,,,,,,,C,,,,,,,,R,,,,,,,,,F,,R,,,,,,,,,,,,,,,,A,,,,,341,U1419,C,12,H,CC,PAL,972ab27e2de6f39df4b612af7f6e7bc1
