Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,physical_constituent_name,pc_fossil_name,pc_fossil_group,pc_abundance_name_mode,pc_preservation_name_average,File Data,eodp_id
323-U1340A-1H-CC-PAL7      -RADS11,323,U1340,A,1,1-CC,H,CC,PAL7,RADS11,0,0,3.8,3.8,,G [323_Rs],C,F,,,,F,C,,,,C,,,,,,,,,,,,,,,,,,,,,F,,,,,F,F,,,,,,,,56ff9b23660012fc71e4e2404fcb6390
323-U1340A-2H-CC-PAL37     -RADS42,323,U1340,A,2,2-CC,H,CC,PAL37,RADS42,0,0,13.82,13.82,,G [323_Rs],A,C,,F,,C,A,,,,A,,,,,,,,,,C,,,,A,,,,,,,F,,,,,C,C,,,,,,,,70f788924b334ae07bfa2b2e37dfa8e9
323-U1340A-3H-CC-PAL74     -RADS81,323,U1340,A,3,3-CC,H,CC,PAL74,RADS81,0,0,23.39,23.39,,G [323_Rs],A,C,,F,F,,C,,,,C,,,,,,,,,,C,,,,C,,,,,F,,F,F,,,,C,C,,,,,,,,dba0107aff6548b64637243436f33a75
323-U1340A-4H-CC-PAL9      -RADS26,323,U1340,A,4,4-CC,H,CC,PAL9,RADS26,0,0,32.75,32.75,,G [323_Rs],F,,,F,,,F,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,F,,,,,,,,d6b604fa3844665c765da48d1541a135
323-U1340A-5H-CC-PAL54     -RADS61,323,U1340,A,5,5-CC,H,CC,PAL54,RADS61,0,0,42.35,42.35,,G [323_Rs],C,F,,,,,F,,,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,F,F,,,,,,,,2f05c9488f556c4972db1d1d6282bb8b
323-U1340A-6H-CC-PAL89     -RADS24,323,U1340,A,6,6-CC,H,CC,PAL89,RADS24,0,0,51.92,51.92,,M [323_Rs],C,F,,,F,F,F,,,,F,,,,,,,,,,,,,,,,,,,A,,,,,,,,C,,,,,,,,561a6b485b49f18b23fed0418e07d0bd
323-U1340A-7H-CC-PAL19     -RADS29,323,U1340,A,7,7-CC,H,CC,PAL19,RADS29,0,0,61.41,61.41,,G [323_Rs],C,F,,,,,C,,,,A,,,,,F,,,,,F,,,,F,,,,,C,,,,,,,,,,,,,,,,8aea51987735eec1353837929b468bc2
323-U1340A-8H-CC-PAL59     -RADS91,323,U1340,A,8,8-CC,H,CC,PAL59,RADS91,0,0,70.98,70.98,,M [323_Rs],C,F,,,F,,C,,,,A,,,,,C,,,,,,,,,,,,,,C,,,,,,,,F,,,,,,,,6bcf167aeebadadbac510733ce83dde1
323-U1340A-9H-CC-PAL-RADS96,323,U1340,A,9,9-CC,H,CC,PAL,RADS96,0,0,80.35,80.35,,G [323_Rs],F,F,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,b6acd9acefaf4d70ebe7b383836c01b4
323-U1340A-10H-CC-PAL-RADS1,323,U1340,A,10,10-CC,H,CC,PAL,RADS1,0,0,89.83,89.83,,G [323_Rs],C,,,,,,C,,,,A,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,78e5f221ca0206cfd7f285f6a967e6bd
