Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,calcispheres,Biantholithus sparsus,Cribrosphaerella daniae,Micula prinsii,Ceratolithoides kamptneri,Nephrolithus frequens,Micula murus,Cribrocorona gallica,Lithraphidites quadratus,Reinhardtites levis,Tranolithus orionatus,Uniplanarius trifidus,Broinsonia parca constricta,Eiffellithus eximius,Acuturris scotus,Ahmuellerella regularis,Arkhangelskiella confusa,Arkhangelskiella cymbiformis,Arkhangelskiella maastrichtiana,Biscutum coronum,Biscutum magnum,Calculites obscurus,Ceratolithoides ultimus,Ceratolithoides spp.,Chiastozygus amphipons,Chiastozygus litterarius,Corollithion exiguum,Corollithion completum,Cretarhabdus conicus,Cribrosphaerella ehrenbergii,Cylindralithus echinus,Cylindralithus nudus,Cylindralithus serratus,Discorhabdus ignotus,Eiffellithus turriseiffelii,Gartnerago segmentatum,Gorkaea pseudoanthophorus,Helicolithus anceps,Helicolithus trabeculatus,Loxolithus armilla,Manivitella pemmatoidea,Markalius inversus,Micula praemurus,Micula staurophora,Micula swastika,Misceomarginatus pleniporus,Lithraphidites carniolensis,Nephrolithus miniporus,Microrhabdulus spp.,Monomarginatus quaternarius,Neocrepidolithus cruciatus,Neocrepidolithus neocrassus,Orastrum campanensis,Perchnielsenella stradneri,Petrarhabdus copulatus,Placozygus fibuliformis,Prediscosphaera cretacea,Prediscosphaera grandis,Prediscosphaera stoveri,Prediscosphaera spinosa,Pseudomicula quadrata,Reinhardtites anthophorus,Retecapsa angustiforata,Retecapsa crenulata,Retecapsa schizobrachiata,Retecapsa surirella,Rhagodiscus angustus,Rhagodiscus indistinctus,Rhagodiscus reniformis,Rucinolithus magnus,Seribiscutum primitivum,Staurolithites spp.,Tegumentum stradneri,Tetrapodorhabdus decorus,Tortolithus caistorensis,Tranolithus minimus,Uniplanarius gothicus,Watznaueria barnesae,Zeugrhabodtus bricresenticus,Zeugrhabdotus embergeri,Zeugrhabdotus sigmoides,Comments,File Data,eodp_id
342-U1403B-28-X-3-W  50/51-NANNO,342,U1403,B,28,28-3,X,3,W,50/51-NANNO,0,1,220.1,220.11,,,,M [P07],A,,,,C,,,Freq,Freq,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,2720251fdd75e2923e90a476dc7aa973
342-U1403B-28-X-5-W  50/51-NANNO,342,U1403,B,28,28-5,X,5,W,50/51-NANNO,0,1,223.1,223.11,,,,M [P07],A,,,,?,Freq,,C,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1a680c39bff9e55cb655828022ff594f
342-U1403B-28-X-CC PAL,342,U1403,B,28,28-CC,X,CC,PAL,,0,5,224.42,224.47,,,,M [P07],A,,,,,,,Freq,Freq,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14b04c4c712572eb3df8bdbf8db73760
342-U1403B-29-X-CC PAL,342,U1403,B,29,29-CC,X,CC,PAL,,0,5,234.63,234.68,,,,M [P07],A,,,,,,,Freq,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb5ebc003ae247dadbff5f731a5b8e15
342-U1403B-30-X-3-W  45/46-NANNO,342,U1403,B,30,30-3,X,3,W,45/46-NANNO,0,1,239.45,239.46,,,,M [P07],A,,,,,,,?R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dd6bad6f7a042136087cf3ac7a394f6d
342-U1403B-30-X-4-W  40/41-NANNO,342,U1403,B,30,30-4,X,4,W,40/41-NANNO,0,1,240.9,240.91,,,,M [P07],A,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c7a553a92c72519738aab53dac9266a6
342-U1403B-30-X-CC PAL,342,U1403,B,30,30-CC,X,CC,PAL,,0,5,241.59,241.64,,,,M [P07],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4749d14679b0fc19ff9a52f5499324f
342-U1403B-31-X-2-W  61/62-NANNO,342,U1403,B,31,31-2,X,2,W,61/62-NANNO,0,1,247.81,247.82,,,,M [P07],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8268b5a3dfd647e40e26f1216bf8442b
342-U1403B-31-X-3 NANNO,342,U1403,B,31,31-3,X,3,NANNO,,0,1,249.22,249.23,,,,M [P07],A,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c2087fdcae20604425f7727df3c157c4
342-U1403B-31-X-4-W  18/19-NANNO,342,U1403,B,31,31-4,X,4,W,18/19-NANNO,0,1,250.38,250.39,,,,P-M,A,,,,,,,,,,Freq,,C,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,805c67da17b0e078a5356c5323fb72de
