Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data,eodp_id
323-U1342C-1H-CC-FORAM36,323,U1342,C,1,1-CC,H,CC,FORAM36,0,0.0,7.09,7.09,dominant foraminifera,VG [323_PF],D,,,,,,,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,f8b72b667ee5cfec9d276585ab19068e
323-U1342C-2H-2-W,323,U1342,C,2,2-2,H,2,W,0,0.02,8.7,8.7,"dominant foraminifera, abundant large bivalve fragments, abundant diatoms",G [323_PF],D,,,,,,R,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,79b7e7155053cb770653522e69bc9b6a
323-U1342C-2H-CC-FORAM41,323,U1342,C,2,2-CC,H,CC,FORAM41,0,0.0,16.94,16.94,"dominant sand, abundant sponge spicules, few bubblewalled glass shards",G [323_PF],A,,,,,,P,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,c54e507add9c137418f25ae580361146
323-U1342C-3H-CC-FORAM46,323,U1342,C,3,3-CC,H,CC,FORAM46,0,0.0,26.6,26.6,"dominant sand, abundant sponge spicules, few bubblewalled glass shards",G [323_PF],A,,,,,,,,,,,,,,,,,A,,,,,,,,,,2b8e12fdbb9ca8d549669f87c03096a5
323-U1342C-4H-CC-FORAM53,323,U1342,C,4,4-CC,H,CC,FORAM53,0,0.0,35.9,35.9,"dominant sand, abundant sponge spicules",G [323_PF],A,,,,,,,,,,,,,,,,,A,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,c0d2710d2457dbd0b1cc7e2ed5ebcd31
323-U1342C-5H-CC-FORAM58,323,U1342,C,5,5-CC,H,CC,FORAM58,0,0.0,45.58,45.58,"dominant sand, glauconite, rare sponge spicules",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,37928eef30050e9c9d4a01d13914077c
323-U1342C-6H-CC-FORAM56,323,U1342,C,6,6-CC,H,CC,FORAM56,0,0.0,45.37,45.37,"dominant rock fragments with ""breadcrust""-like surface, abundant sponge spicules and frames",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,dc4793283cc5edf559f3e4503fa72f39
