Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1388C-2R-CC-PAL-FORAM,339,U1388,C,2,2-CC,R,CC,PAL,FORAM,0,5,206.38,206.43,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,R,,F,,,,,,,,,,,,755d76a8cbcdbe165b0fe04801c8f380
339-U1388C-3R-CC-PAL-FORAM,339,U1388,C,3,3-CC,R,CC,PAL,FORAM,0,5,222.5,222.55,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,a646d826e15ca6960af68b7a4e73e541
339-U1388C-4R-1-PAL-FORAM,339,U1388,C,4,4-1,R,1,PAL,FORAM,0,5,224.93,224.98,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,,6fa56cd8cd66b2f0926c7f6ab29e6f11
