Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,Unnamed: 68,eodp_id
339-U1391A-1H-CC-PAL-FORAM,339,U1391,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.11,4.16,,,G,D,D,P,,,,R,,,,,P,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,F,F,P,,,,,,,A,Could be HE 1,,,6344720c4b8c0c4b3b3c1509e2ea7722
339-U1391A-2H-CC-PAL-FORAM,339,U1391,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.8,13.85,,,G,D,D,B,,,,F,,,,,P,P,,,,,,,,,R,,,,,,,,,,,F,,,,,,,F,P,R,,,,,,,R,,,,7653f784dea623a6a4499342dae0d2a9
339-U1391A-3H-CC-PAL-FORAM,339,U1391,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.27,23.32,,,G,D,A,R,,,,A,P,P,,,P,R,,,,R,,,,P,P,,,,,,,,,,,P,,,,,,P,F,,P,,,,,,,P,,,,f669d723ea92260943fb0af9eb582595
339-U1391A-4H-CC-PAL-FORAM,339,U1391,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.92,32.97,,,G,D,D,P,,,,A,P,,,,R,P,,,,,,P,,P,P,,,,,,,,,,,P,,P,,,,P,F,P,P,,,,,,,P,,,,0050353d5060ba99159eac2aaa8757d1
339-U1391A-5H-CC-PAL-FORAM,339,U1391,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.32,42.37,,,G,D,D,P,,,,F,,,P,P,P,P,,,,,,,,,P,,,,,,,,,,,P,,,,,,P,D,P,P,,,,,,,R,G crassaformis dex. 90% G truncat dex 50%,,,b2b63b059f4a0c9af2ff88b55fd56cfc
339-U1391A-6H-CC-PAL-FORAM,339,U1391,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.13,52.18,,,G,D,A,R,,,,F,P,,,,R,P,,,,,,R,,P,,P,,,,,,,,,,P,,P,P,,,P,A,P,R,,,,,,,R,G truncatul dex 90%,,,240db8e65ae211b677160b6017d9f778
339-U1391A-7H-CC-PAL-FORAM,339,U1391,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.66,61.71,,,G,D,A,F,P,,,A,P,,,,R,P,,,,,,P,,R,,P,,,,,,,,,,,,,P,,,P,R,,P,,,,,,,P,G truncatul dex 90%,,,948b9b86f335fee711d39b919569677f
339-U1391A-8H-CC-PAL-FORAM,339,U1391,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.13,71.18,,,G,D,F,F,,,,F,,,,,R,P,,,,P,,P,,P,P,,,,,,,,,,,P,,,,,,,D,P,R,,,,,,,R,Shell debris,,,699dbb21f5dd949955c53bec7b7855fb
339-U1391A-9H-CC-PAL-FORAM,339,U1391,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.72,80.77,,,G,D,A,R,,,,F,,,P,,P,R,,,,R,,,,R,P,,,,,,,,,,,P,,,P,,,P,A,,P,,,,,,,P,,,,37a8ff4781d9bbf2f8523f23b60fddab
339-U1391A-10H-CC-PAL-FORAM,339,U1391,A,10,10-CC,H,CC,PAL,FORAM,0,8,90.09,90.17,,,G,B,A,R,,,,A,,,P,,P,P,,,,,,,,P,P,,,,,,,,,,,P,,P,,,,P,A,,R,,,,,,,R,,,,a9821692aad397e0e84b0fcbdcbfca34
339-U1391A-11H-CC-PAL-FORAM,339,U1391,A,11,11-CC,H,CC,PAL,FORAM,0,5,99.47,99.52,,,G,D,R,P,,,,R,,,P,,P,P,,,,,,P,,R,P,,,,,,,,,,,P,,,,,,,D,P,R,,,,,,,F,,,,1241d962503bdbd4c756c9ddac23252f
339-U1391A-12H-CC-PAL-FORAM,339,U1391,A,12,12-CC,H,CC,PAL,FORAM,0,5,109.12,109.17,,,G,D,A,R,,,P,A,,,P,,P,,,,,,,,,R,P,,,,,,,,,,,P,P,P,P,,,,F,,P,,,,,,P,R,,,,dbc679b18b55b8d251af2725313fa401
339-U1391A-13H-CC-PAL-FORAM,339,U1391,A,13,13-CC,H,CC,PAL,FORAM,0,5,118.95,119,,,G,D,F,R,,P,,A,,,,,R,,,,,,,,,R,R,,,,,,,,,,,P,,P,P,,,,A,P,P,,,,,,,P,,,,5fb377aa715c48b66544e15bf0c87c1f
339-U1391A-14H-CC-PAL-FORAM,339,U1391,A,14,14-CC,H,CC,PAL,FORAM,0,5,128.14,128.19,,,G,D,A,R,,,,A,,,,,R,,,,,,,P,,P,R,,,,,,,,,,,P,,P,P,,,,D,,R,,,,,,,R,,,,f44550ee2417d5e9b976fe2e83db1fcf
339-U1391A-15H-CC-PAL-FORAM,339,U1391,A,15,15-CC,H,CC,PAL,FORAM,0,5,136.93,136.98,,,G,D,A,P,,,,F,,,,P,,,,,,,,F,,,R,,,,,,,,,,,,,P,,,,,R,,R,,,,,,,F,,,,541af1c3a36995a23ec127b4b2ef0212
339-U1391A-16H-CC-PAL-FORAM,339,U1391,A,16,16-CC,H,CC,PAL,FORAM,0,5,147.98,148.03,,,M,A,F,P,,,,F,,,,,R,,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,F,P,,,,,,,,D,,,,7f1b278a3b685358505f940970973e2a
339-U1391A-17H-CC-PAL-FORAM,339,U1391,A,17,17-CC,H,CC,PAL,FORAM,0,7,156.53,156.6,,,G,D,A,P,,,,F,,,P,P,P,,,,,,,P,,P,R,,,,,,,,,,,P,,,,,,,A,,P,,,,,,,R,"G. crassaformis dex 25%, G. truncatul dex 100%",,,6d8a779458c35b8eab349120407b528c
339-U1391A-18H-CC-PAL-FORAM,339,U1391,A,18,18-CC,H,CC,PAL,FORAM,0,5,167.17,167.22,,,G,D,A,R,,,,F,,,,P,P,,,,,,,P,,R,R,,,,,,,,,,,P,,P,P,,,,R,F,R,,,,,,,P,,,,7285fe690b92c3b82730f193b26892a2
339-U1391A-19H-4-PAL-FORAM,339,U1391,A,19,19-4,H,4,PAL,FORAM,0,5,171.05,171.1,,,G,D,F,B,,,,P,,,,,,,,,,,,,,,R,,,,,,,,,,,P,,,,,,,F,A,,,,,,,,F,,,,a1883a0ea5d1e00333bf6ed7121fcf66
339-U1391A-20X-CC-PAL-FORAM,339,U1391,A,20,20-CC,X,CC,PAL,FORAM,0,5,179.82,179.87,,,G,D,P,B,,,,P,,,,,,,,,,,,,,,R,,,,,,,,,,,P,,,,,,,A,A,P,,,,,,,P,,,,b13c259d79ddae53281f1e3d03f93c95
339-U1391A-21X-CC-PAL-FORAM,339,U1391,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.22,189.27,,,G,D,A,R,,,,F,,,P,,F,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,F,,R,,,,,,,P,,,,aed0b701a8e2919e8a4e6415729816e6
339-U1391A-22X-CC-PAL-FORAM,339,U1391,A,22,22-CC,X,CC,PAL,FORAM,0,5,199.35,199.4,,,G,D,D,R,,,,F,,,,,F,P,,,,P,,,,P,P,,,,,,,,,,,R,,,,,,,F,R,R,,,,,,,R,,,,7c92675dbb4d1cb97ea3c4fede0f3fb6
339-U1391A-23X-CC-PAL-FORAM,339,U1391,A,23,23-CC,X,CC,PAL,FORAM,0,5,208.42,208.47,,,G,D,A,P,,,,F,,,,,R,,,,,,,,,P,P,,,,,,,,,,,F,P,,,,,,A,P,R,,,,,,,F,,,,d75eb61cc8f96afc2733a72e23da7794
339-U1391A-25X-CC-PAL-FORAM,339,U1391,A,25,25-CC,X,CC,PAL,FORAM,0,5,227.41,227.46,,,G,D,A,B,,,,P,,,,,,,,,,,,,,P,P,,,,,,,,,,,R,,,,,,,R,D,P,,,,,,,F,,,,3e4796e7e6932f0b6ee9464a951a9528
339-U1391A-26X-CC-PAL-FORAM,339,U1391,A,26,26-CC,X,CC,PAL,FORAM,0,5,238.62,238.67,,,G,D,A,R,,,,F,,,,,R,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,A,P,R,,,,,,,P,,,,755ea7c3619061cc3cf4b5c9d41dcd20
339-U1391A-27X-CC-PAL-FORAM,339,U1391,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.53,246.58,,,G,D,R,P,,,,P,,,,P,,,P,,,,,,,P,P,,,,,,,,,,,P,,,,,,,A,A,P,,,,,,,P,,,,a41f994905513027aa60beb3a36008ef
