Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,calcispheres,Neobiscutum spp.,Coccolithus pelagicus,Cruciplacolithus primus,Cruciplacolithus intermedius,Chiasmolithus danicus,Prinsius tenuiculus,Fasciculithus magnus,Ellipsolithus macellus,Toweius pertusus,Sphenolithus moriformis,Neochiastozygus perfectus,Fasciculithus ullii,Fasciculithus tympaniformis,Sphenolithus anarrhopus,Discoaster mohleri,Heliolithus kleinpellii,Heliolithus cantabriae,Fasciculithus richardii,Discoaster multiradiatus,Fasciculithus alanii,Ericsonia robusta,Rhomboaster spp.,Rhomboaster bramlettei,Fasciculithus spp.,Discoaster diastypus,Tribrachiatus orthostylus,Sphenolithus radians,Tribrachiatus contortus,Discoaster lodoensis,Discoaster sublodoensis,Girgisia gammation,Nannotetrina cristata,Nannotetrina  fulgens,Chiasmolithus gigas,Sphenolithus furcatolithoides,Reticulofenestra umbilicus (>14µm),Reticulofenestra reticulata,Chiasmolithus solitus,Dictyococcites bisectus (>10 µm),Isthmolithus recurvus,Chiasmolithus grandis,Chiasmolithus oamaruensis,Discoaster barbadiensis,Discoaster saipanensis,Coccolithus formosus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus predistentus,Triquetrorhabdulus sp. (long),Triquetrorhabdulus carinatus,Sphenolithus delphix,Biantholithus sparsus,Biantholithus? flosculus,Blackites amplus bases,Blackites creber,Blackites gladius,Blackites herculesii,Blackites inflatus,Blackites perlongus,Blackites spinosus,Blackites tenuis,Bomolithus elegans,Bomolithus megastypus,Bomolithus supremus,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus pacificanus,Calcidiscus protoannulus,Calciosolenia aperta,Calciosolenia fossilis,Campylosphaera dela,Chiasmolithus altus,Chiasmolithus bidens,Chiasmolithus californicus (>13µm),Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus nitidus,Chiasmolithus titus,Chiphragmolithus acanothodes,Chiphragmolithus armatus,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Clausicoccus vanheckiae,Coccolithus bownii,Coccolithus cachaoi,Coccolithus eopelagicus ( >14µm),Coronocyclus nitescens,Cruciplacolithus asymmetricus,Cruciplacolithus cruciformis,Cruciplacolithus edwardsii,Cruciplacolithus frequens,Cruciplacolithus latipons,Cyclagelosphaera reinhardtii,Cyclicargolithus abisectus (11 µm),Cyclicargolithus floridanus (5-11µm),Cyclicargolithus floridanus small (<5µm),Cyclicargolithus? luminis,Daktylethra punctulata,Dictyococcites scrippsae (<10µm),Discoaster anartios,Discoaster araneus,Discoaster backmanii,Discoaster bifax,Discoaster binodosus,Discoaster deflandrei,Discoaster delicatus,Discoaster distinctus,Discoaster falcatus,Discoaster kuepperi,Discoaster lenticularis,Discoaster mahmoudii,Discoaster mediosus,Discoaster nodifer,Discoaster ornatus,Discoaster pacificus,Discoaster paelikei,Discoaster salisburgensis,Discoaster tanii,Discoaster wemmelensis,Ellipsolithus anadoluensis,Ellipsolithus distichus,Ericsonia robusta (small),Ericsonia subpertusa,Fasciculithus involutus,Fasciculithus lilianae,Fasciculithus pileatus,Fasciculithus shaubii,Fasciculithus clinatus,Futyania petalosus,Goniolithus fluckigeri,Hayella situliformis,Helicosphaera bramlettei,Helicosphaera clarissima,Helicosphaera compacta,Helicosphaera ethologa,Helicosphaera euphratis,Helicosphaera gartneri,Helicosphaera heezenii,Helicosphaera lophota,Helicosphaera obliqua,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera reticulata,Helicosphaera seminulum,Helicosphaera wilcoxonii,Ilselithina fusa,Jakubowskia leoniae,Lanternilithus duocavus,Lanternithus minutus,Lapideacassis sp.,Lophodolithus acutus,Lophodolithus mochlophorus,Lophodolithus nascens,Lophodolithus reniformis,Lophodolithus rotundus,Markalius apertus,Markalius inversus,Micrantholithus attenuatus,Micrantholithus flos,Neochiastozygus junctus,Neochiastozygus modestus,Neochiastozygus rosenkrantzii,Neochiastozygus saepes,Neococcolithes dubius,Neococcolithes protenus,Neocrepidolithus cruciatus,Neocrepidolithus dirimosus,Neocrepidolithus fossus,Neocrepidolithus neocrassus,Octolithus multiplus,Pedinocyclus larvalis,Pemma basquense,Pemma papillatum,Pontosphaera exilis,Pontosphaera multipora,Pontosphaera plana,Pontosphaera versa,Prinsius martinii,Prinsius bisulcus,Pseudotriquetrorhabdulus inversus,Reticulofenestra daviesii,Reticulofenestra dictyoda  (10-14µm),Reticulofenestra dictyoda  (3-10µm),Reticulofenestra lockeri,Reticulofenestra minuta (<3µm),Rhomboaster calcitrapa,Rhomboaster cuspis,Scyphosphaera apsteinii,Semihololithus biskayae,Sphenolithus akropodus,Sphenolithus arthurii,Sphenolithus conicus,Sphenolithus conspicuus,Sphenolithus editus,Sphenolithus obtusus,Sphenolithus orphanknollensis,Sphenolithus pseudoradians,Sphenolithus runus,Sphenolithus spiniger,Sphenolithus strigosus,Sphenolithus tribulosus,Sphenolithus villae,Toweius callosus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius occultatus,Toweius serontinus,Tribrachiatus digitalis,Umbilicosphaera bramlettei,Umbilicosphaera jordanii,Zeugrhabdotus sigmoides,Zygodiscus plectopons,Zygrhablithus bijugatus,Comments,File Data,eodp_id
342-U1409A-3H-CC-PAL,342,U1409,A,3,3-CC,H,CC,PAL,,0,8,20.56,20.64,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ce0413351f9c0e865a33109d7063978
342-U1409A-4H-CC-PAL,342,U1409,A,4,4-CC,H,CC,PAL,,0,10,30.03,30.13,NP23,"NP23 - Sphenolithus predistentus (Gradstein et al., 2012)",,G,A,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,F-C,,,,,,-,R,,F,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,3c99152ee1c4531b26ee26a090e76d9b
342-U1409A-5H-CC-PAL,342,U1409,A,5,5-CC,H,CC,PAL,,0,8,38.66,38.74,NP 16,"NP16 - Discoaster tani nodifer (Gradstein et al., 2012)",,G,A,C,,C,,,,,,,,C,,,,,,,,,,,,,,,,,R,,,,,-,-,,F,C,F,F,-,,F,,F,,F,,,,,,,,,,R,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,R,,,,R,,,,,,,,,C,,,,,,,,,F,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,R,,,,,,,,,,R,,,,R,,,b60428988ae455b4ac3c7be53f5ef9bb
342-U1409A-6H-6-W 80/80-NANNO,342,U1409,A,6,6-6,H,6,W,80/80-NANNO,0,0,47.4,47.4,NP15c,"NP15c (Gradstein et al., 2012)",,M-G,A,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,F,,,F,,F,,F,,,,,,,,,,,,,,,F,,,,,,F,,R,,,F,,,,,?,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,8ad8caa17bfedefe6ece62316f3312f5
342-U1409A-6H-6-W 81/81-NANNO,342,U1409,A,6,6-6,H,6,W,81/81-NANNO,0,0,47.41,47.41,NP15c,"NP15c (Gradstein et al., 2012)",,G,A,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,F,,,F,,F,,F,,,,,,,,,,,,,,,,F,,,,,F,,F,,,F,,,,,?,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,ff8321f1b9748fc151c104ce5b54ce22
342-U1409A-6H-CC-PAL,342,U1409,A,6,6-CC,H,CC,PAL,,0,8,49.14,49.22,NP15c,"NP15c (Gradstein et al., 2012)",,G-M,A,F,,C,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,-,,F,1,-,F,-,-,F,,,F,,F,,F,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,R,,,,,,,R,,,,,,,,,,,,,C,,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,b2b2e818be8943fdd80c5f5b996937d8
342-U1409A-7H-CC-PAL,342,U1409,A,7,7-CC,H,CC,PAL,,0,8,58.5,58.58,NP15b,"NP15b - Chiasmolithus gigas (Gradstein et al., 2012)",,G-M,A,R,,C,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,-,,F,,R,F,1?,-,F,,,F,,F,,F,,,,,,,,,,R,,,,,,R,,,,,,,,,,R,,,,,,R,,,,,,,R,,,,R,,,,,,,,,C,,,,,,,,,F,F,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,2d37eb4edb79d28b9aca3df69781b8eb
342-U1409A-8H-CC-PAL,342,U1409,A,8,8-CC,H,CC,PAL,,0,8,67.97,68.05,NP15b,"NP15b - Chiasmolithus gigas (Gradstein et al., 2012)",,G-M,A,R,,C,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,F,1,R,F,2?,,F,,,F,,F,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,8f9bef84a1f4934d4bf9bddf89a3129a
342-U1409A-9H-CC-PAL,342,U1409,A,9,9-CC,H,CC,PAL,,0,8,77.57,77.65,NP15b,"NP15b - Chiasmolithus gigas (Gradstein et al., 2012)",,G,A,R,,C,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,R,,R,,,,F,,,R,,F,,F,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,037ce73ed73255ebe19beab76249459b
342-U1409A-10H-CC-PAL,342,U1409,A,10,10-CC,H,CC,PAL,,0,10,86.86,86.96,NP15b,"NP15b - Chiasmolithus gigas (Gradstein et al., 2012)",,G,A,R,,C,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,F,R,R,,,,F,,,R,,F,F,F,,,,,,,,,,,R,,,,,R,,,,,1,R,,,,R,,,,R,,R,,,,,,,,R,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,R,,,a5f4f86d85c90e8ce12078d649848872
342-U1409A-11H-CC-PAL,342,U1409,A,11,11-CC,H,CC,PAL,,0,10,96.35,96.45,NP15a,"NP15a (Gradstein et al., 2012)",,M-G,A,F,,C,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,R,R,-,,,,F,,,R,,F,F,F,,,,,,,,,,R,R,,,,,R,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,R,F,,R,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,667e550946dde065e5ee900ad71665fc
342-U1409A-12H-4-W 41/43-FORAM,342,U1409,A,12,12-4,H,4,W,41/43-FORAM,0,2,101.01,101.03,NP14,"NP14 - Discoaster sublodoensis (Gradstein et al., 2012)",,M-G,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,R,F,2,,,,,,F,,,F,,F,R?,F,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,R,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,R,R,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,C,,,8a6e66c53b9daef94cc6d88fa59e8ab2
342-U1409A-12H-4-W 50/50-NANNO,342,U1409,A,12,12-4,H,4,W,50/50-NANNO,0,0,101.1,101.1,NP14,"NP14 - Discoaster sublodoensis (Gradstein et al., 2012)",,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,R,C,,,,,,,C,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,R,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,C,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,F,,,,C,,,2026d01cee0b1dadea296d4c0285f545
342-U1409A-12H-CC-PAL,342,U1409,A,12,12-CC,H,CC,PAL,,0,10,105.91,106.01,NP14,"NP14 - Discoaster sublodoensis (Gradstein et al., 2012)",,M-G,A,F,,C,,,,,,,,F,,,,,,,,,,,,,,,,,F,,C,R,R,-,-,,,,,F,,,R,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,R,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,C,,,606ef356608bb17fd9608d42ddb09619
342-U1409A-13H-CC-PAL,342,U1409,A,13,13-CC,H,CC,PAL,,0,10,115.41,115.51,NP14,"NP14 - Discoaster sublodoensis (Gradstein et al., 2012)",,M-G,A,R,,C,,,,,,,,F,,,,,,,,,,,,,,,R,-,F,,C,R,F,,,,,,,F,,,R,,R,,F,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,R,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,R,,R,,C,,,bc31bd18fff41a66b246c6e9f5501aca
342-U1409A-14H-CC-PAL,342,U1409,A,14,14-CC,H,CC,PAL,,0,10,124.86,124.96,NP12,"NP12 - Tribrachiatus orthostylus (Gradstein et al., 2012)",,M-G,A,,,C,,,,,,,,F,,,,,,,,,,,,,,,R,F,F,,C,-,F,,,,,,,F,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,?,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,?,F-C,,R,,,,R,,,,C,,,627434089530c39b3f0e9b534cbe5b2e
342-U1409A-15H-CC-PAL,342,U1409,A,15,15-CC,H,CC,PAL,,0,8,126.05,126.13,NP12,"NP12 - Tribrachiatus orthostylus (Gradstein et al., 2012)",,M-G,A,,,C,,,,,,,,F,,,,,,,,,,,,,,,R,F,F,,C,-,F,,,,,,,F,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,C,,,0a41c61ab00996db80d0c5a1d0110fa1
342-U1409A-16H-CC-PAL,342,U1409,A,16,16-CC,H,CC,PAL,,0,12,126.91,127.03,NP12,"NP12 - Tribrachiatus orthostylus (Gradstein et al., 2012)",,M,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,F,,F,,F,,,,1,,,F,,,F,,,,,,,,,,,,,,,,,,,R?,,,,,,,F,,,,C,,,,R,,F,,,,R,,?,,R?,,,,,,,,,,,,C,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,?,,,,,?,,,,,R,,,,,,F,,,,C,,,22f88ee89c678af4c1982d96ea598494
342-U1409A-17X-CC-PAL,342,U1409,A,17,17-CC,X,CC,PAL,,0,8,131.29,131.37,NP12,"NP12 - Tribrachiatus orthostylus (Gradstein et al., 2012)",,M,A,R,,C,,,,,,,F,F,,,,,,,,,,,,,,,2?,R,F,,F,,F?,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,F,,,,F,,,,,,F,,,,R,,F,F,,,,,,,,,,?,,,,,F,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,F,,,,,,,F,,,R,,,,F,,,,C,,,e3cb3d426e1642057d9b9ca43bd91992
