Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1418A-1H-CC-PAL-RADS,0,7,4.8,4.87,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,R,R,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,1,H,CC,PAL
341-U1418A-2H-CC-PAL-RADS,0,5,13.91,13.96,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,R,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,2,H,CC,PAL
341-U1418A-3H-CC-PAL-RADS,0,5,23.92,23.97,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,3,H,CC,PAL
341-U1418A-4H-CC-PAL-RADS,0,5,33.53,33.58,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,F,F,,,,,,,,,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,F,,R,,,,,,R,,,,,,,,C,,,,C,,,,,F,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,4,H,CC,PAL
341-U1418A-5H-CC-PAL-RADS,0,5,42.91,42.96,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],F [A81],,,,,,,,R,C,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,R,,,,,,R,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,5,H,CC,PAL
341-U1418A-6H-CC-PAL-RADS,0,5,52.68,52.73,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,6,H,CC,PAL
341-U1418A-7H-CC-PAL-RADS,0,5,62.14,62.19,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,7,H,CC,PAL
341-U1418A-8H-CC-PAL-RADS,0,5,71.3,71.35,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,F,R,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,F,,,,,,F,,,,,,,,,,,,R,,,,,A,R,,R,,,,,,,,,,,,,,,,,,,,341,U1418,A,8,H,CC,PAL
341-U1418A-9H-CC-PAL-RADS,0,5,80.95,81.0,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,R,F,,,,,,,,,F,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,F,,,,,,C,,,,,,,,R,,,,F,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,9,H,CC,PAL
341-U1418A-10H-CC-RADS,0,0,89.54,89.54,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,,R,,,,,,,,,R,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,F,,,,,,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,10,H,CC,RADS
