Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1388B-2X-CC-PAL-FORAM,339,U1388,B,2,2-CC,X,CC,PAL,FORAM,0,3,7.7,7.73,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,e83b526f4776f379536db7e390cc00db
339-U1388B-3X-CC-PAL-FORAM,339,U1388,B,3,3-CC,X,CC,PAL,FORAM,0,3,17.7,17.73,,,P,,,F,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,8923bacf5ded9d85a3bac8016fdfbc35
339-U1388B-4X-CC-PAL-FORAM,339,U1388,B,4,4-CC,X,CC,PAL,FORAM,0,5,28.95,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,c932cc089805e294623ac4c483f2cbaa
339-U1388B-6X-CC-PAL-FORAM,339,U1388,B,6,6-CC,X,CC,PAL,FORAM,0,5,47.42,47.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,1bd12d7799913b2805cb5537e6e4d723
339-U1388B-7X-CC-PAL-FORAM,339,U1388,B,7,7-CC,X,CC,PAL,FORAM,0,5,56.09,56.14,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,c8529a91a827ee2ab936d3131349f3bd
339-U1388B-8X-CC-PAL-FORAM,339,U1388,B,8,8-CC,X,CC,PAL,FORAM,0,10,63.3,63.4,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,540934f02b7dda616e3a9a5bcb7539e9
339-U1388B-9X-CC-PAL-FORAM,339,U1388,B,9,9-CC,X,CC,PAL,FORAM,0,5,74.13,74.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,443f8ea1435e6672a41ee1e0c762eef3
339-U1388B-10X-CC-PAL-FORAM,339,U1388,B,10,10-CC,X,CC,PAL,FORAM,0,5,85.87,85.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,P,,F,,,,R,,,,,,75bc0d48b85a370717125014565ac495
339-U1388B-11X-1-PAL-FORAM,339,U1388,B,11,11-1,X,CC,PAL,FORAM,0,5,92.01,92.06,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,fb2c476bae0890f3b666a6bc8510af78
339-U1388B-12X-CC-PAL-FORAM,339,U1388,B,12,12-CC,X,1,PAL,FORAM,0,5,110.88,110.93,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,R,F,,,,,,,,,,,,4f6f2e39597107a38420c6f3599079f8
